Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Akio Fujimoto;M;B;Raw;66.5;65-69;60-69;Masters 3;78.6;83;;;;;;110;112.5;115;;115;;;;;;115;3;80.14;79.40;76.57;59.41;Yes;Japan;;IPF;IPF;2016-05-15;South Africa;;Potchefstroom;World Classic Bench Press Championships
Akio Fujimoto;M;B;Single-ply;62.5;60-64;60-69;Masters 3;78.68;83;;;;;;135;140;-150;;140;;;;;;140;4;97.50;96.60;93.14;51.85;Yes;Japan;;IPF;IPF;2012-04-20;USA;CO;Aurora;World Masters Bench Press Championships
Akio Fujimoto;M;B;Single-ply;60.5;60-64;60-69;Masters 3;77.9;82.5;;;;;;130;132.5;-140;;132.5;;;;;;132.5;5;92.83;92.02;88.77;49.46;Yes;Japan;;IPF;IPF;2010-03-30;USA;FL;Orlando;World Masters Bench Press Championships
Akio Fujimoto;M;B;Single-ply;59.5;55-59;60-69;Masters 3;76.95;82.5;;;;;;130;132.5;-135;;132.5;;;;;;132.5;3;93.54;92.77;89.54;49.94;Yes;Japan;;IPF;IPF;2009-04-15;New Zealand;WKO;Taupo;World Masters Bench Press Championships
Akio Fujimoto;M;SBD;Single-ply;58.5;55-59;50-59;Masters 2;79.8;82.5;160;170;;;170;140;142.5;;;142.5;190;200;210;;210;522.5;7;360.82;357.27;344.28;61.76;Yes;Japan;;IPF;IPF;2008-09-30;USA;CA;Palm Springs;World Masters Powerlifting Championships
Akio Fujimoto;M;B;Single-ply;58.5;55-59;50-59;Masters 2;80.7;82.5;;;;;;140;145;-147.5;;145;;;;;;145;6;99.47;98.45;94.83;52.68;Yes;Japan;;IPF;IPF;2008-04-16;Slovakia;;Bratislava;World Masters Bench Press Championships
Akio Fujimoto;M;B;Single-ply;55.5;55-59;50-59;Masters 2;77.9;82.5;;;;;;-135;135;140;;140;;;;;;140;9;98.09;97.23;93.79;52.26;Yes;Japan;;IPF;IPF;2005-04-20;Czechia;;Zlin;World Masters Bench Press Championships
Akio Fujimoto;M;SBD;Single-ply;54.5;50-54;50-59;Masters 2;78.2;82.5;;;;;180;;;;;142.5;;;;;220;542.5;4;379.21;375.82;362.47;64.93;Yes;Japan;;IPF;IPF;2004-10-05;India;;Udaipur;World Masters Powerlifting Championships
Akio Fujimoto;M;B;Single-ply;52.5;50-54;50-59;Masters 2;100.5;110;;;;;;170;175;180;;180;;;;;;180;8;110.55;109.33;104.41;57.09;Yes;Japan;;IPF;IPF;2002-04-18;USA;TX;Killeen;World Masters Bench Press Championships
Akio Fujimoto;M;SBD;Single-ply;51.5;50-54;50-59;Masters 2;97.8;100;;;;;230;;;;;172.5;;;;;250;652.5;6;405.57;400.75;382.94;68.98;Yes;Japan;;IPF;IPF;2001-10-17;Canada;SK;Moose Jaw;World Masters Powerlifting Championships
Akio Fujimoto;M;B;Single-ply;51.5;50-54;50-59;Masters 2;94.7;100;;;;;;160;165;-170;;165;;;;;;165;5;104.08;102.78;98.31;54.01;Yes;Japan;;IPF;IPF;2001-04-13;Luxembourg;;Hamm;World Masters Bench Press Championships
