Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Ákos Nagy;M;B;Raw;25;24-34;24-39;Open;82.9;90;;;;;;170;175;180;;180;;;;;;180;2;121.60;120.24;115.67;90.47;;Hungary;;WUAP;WUAP;2018-10-15;Slovakia;;Trnava;World Championships
Ákos Nagy;M;B;Raw;25;24-34;24-39;O;80.6;82.5;;;;;;170;175;-180;;175;;;;;;175;7;120.14;118.91;114.54;89.24;;Hungary;;GPC;GPC;2018-09-16;Hungary;;Eger;World Championships
Ákos Nagy;M;B;Raw;24;24-34;24-39;MO;81;82.5;;;;;;165;170;172.5;;172.5;;;;;;172.5;2;118.09;116.86;112.53;87.74;;Hungary;;HPC;WPC;2018-05-11;Hungary;;Füzesgyarmat;Magyar Professzionális Erőemelő Liga Kupa
Ákos Nagy;M;B;Raw;24;24-34;24-39;O;80.1;82.5;;;;;;165;-172.5;-172.5;;165;;;;;;165;2;113.69;112.56;108.45;84.41;;Hungary;;GPC;GPC;2018-04-20;Hungary;;Győr;Visegrad World Cup
Ákos Nagy;M;B;Raw;24;24-34;24-39;Amateur Open;80.7;82.5;;;;;;162.5;165;-167.5;;165;;;;;;165;1;113.20;112.03;107.90;84.09;Yes;Hungary;;WPC;WPC;2017-11-03;Russia;MOW;Khimki;World Champions Cup
Ákos Nagy;M;B;Raw;24;24-34;24-39;O;80.9;82.5;;;;;;160;165;-170;;165;;;;;;165;2;113.03;111.86;107.73;83.98;;Hungary;;GPC;GPC;2017-10-06;Bosnia and Herzegovina;;Sarajevo;World Cup
Ákos Nagy;M;B;Raw;21;20-23;19-23;MJ;75.3;86;;;;;;120;130;-132.5;;130;;;;;;130;8;93.03;92.38;89.24;68.69;;Hungary;;HPC;WPC;2015-05-16;Hungary;;Szerencs;Erőemelő Fekvenyomó és Felhúzó Pofi Liga Kupa
Ákos Nagy;M;B;Raw;26;24-34;24-39;MO;70.3;74;;;;;;-110;-110;-110;;;;;;;;;DQ;;;;;;Hungary;;HPC;WPC;2015-05-16;Hungary;;Szerencs;Erőemelő Fekvenyomó és Felhúzó Pofi Liga Kupa
Ákos Nagy;M;B;Raw;21;20-23;19-23;MJ;75.3;86;;;;;;120;130;-132.5;;130;;;;;;130;8;93.03;92.38;89.24;68.69;;Hungary;;HPC;WPC;2014-09-27;Hungary;;Gyula;Fekvenyomó és Erőemelő Magyar Bajnokság
Ákos Nagy;M;B;Raw;26;24-34;24-39;MO;70.3;74;;;;;;-110;-110;-110;;;;;;;;;DQ;;;;;;Hungary;;HPC;WPC;2014-09-27;Hungary;;Gyula;Fekvenyomó és Erőemelő Magyar Bajnokság
