Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Ákos Oláh;M;B;Raw;32.5;24-34;24-39;O;99.4;100;;;;;;220;227.5;235;;235;;;;;;235;1;145.03;143.37;136.94;107.97;;Hungary;;GPC;GPC;2022-06-29;Czechia;;Trutnov;European Championships
Ákos Oláh;M;B;Raw;33;24-34;24-39;Open;99.3;100;;;;;;200;210;217.5;;217.5;;;;;;217.5;1;134.28;132.74;126.80;99.97;;Hungary;;WPC-SVK;WPC;2022-04-29;Slovakia;;Trnava;Slovakian Championships
Ákos Oláh;M;B;Raw;32;24-34;24-39;Open;99.2;100;;;;;;210;220;225;;225;;;;;;225;1;138.98;137.38;131.23;103.47;;Hungary;;XPC-Poland;XPC;2021-11-19;Poland;;Siedlce;World Cup
Ákos Oláh;M;B;Raw;32;24-34;24-39;O;98.7;100;;;;;;200;212.5;220;;220;;;;;;220;1;136.19;134.60;128.59;101.42;;Hungary;;GPC;GPC;2021-10-18;Poland;;Pabianice;World Championships
Ákos Oláh;M;B;Raw;31.5;24-34;24-39;Open;100.9;110;;;;;;202.5;210;220;;220;;;;;;220;4;134.89;133.42;127.41;100.36;;Hungary;;WUAP;WUAP;2021-09-19;Hungary;;Miskolc;World Championships
Ákos Oláh;M;B;Raw;31;24-34;24-39;MElite;102.6;110;;;;;;200;210;-220;;210;;;;;;210;1;127.86;126.54;120.83;95.05;;Hungary;;HPC;WPC;2020-09-19;Hungary;;Cross;Magyar Professzionális Erőemelő Liga Kupa & Elit Show
Ákos Oláh;M;B;Raw;31;24-34;24-39;O;103.4;110;;;;;;205;-215;-215;;205;;;;;;205;2;124.41;123.17;117.61;92.45;;Hungary;;GPC;GPC;2020-09-01;Slovakia;;Trnava;European Championships
Ákos Oláh;M;B;Raw;;;;Open;100;100;;;;;;215;225;-237.5;;225;;;;;;225;2;138.49;136.93;130.79;103.08;;Hungary;;XPC-Poland;XPC;2019-11-29;Poland;;Skórzec;World Cup
Ákos Oláh;M;B;Raw;29.5;24-34;24-39;Open;99.5;100;;;;;;210;220;227.5;;227.5;;;;;;227.5;1;140.34;138.73;132.52;104.47;;Hungary;;WRPF-Slovakia;WRPF;2019-11-23;Slovakia;;Trnava;International Winter Cup
Ákos Oláh;M;B;Raw;30;24-34;24-39;O;100;100;;;;;;215;222.5;232.5;;232.5;;;;;;232.5;1;143.11;141.50;135.15;106.51;;Hungary;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
