Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alain Cuvelier;M;B;Single-ply;69;65-69;60-69;Masters 3;65.1;66;;;;;;-100;100;-110;;100;;;;;;100;1;79.16;79.42;77.22;44.02;Yes;France;;FFForce;IPF;2022-08-13;France;;Sainte-Marie;Trophée de Sainte-Marie
Alain Cuvelier;M;SBD;Single-ply;69;65-69;60-69;Masters 3;65.1;66;-120;-120;-130;;;-90;;;;;-170;;;;;;DQ;;;;;Yes;France;;FFForce;IPF;2022-08-13;France;;Sainte-Marie;Trophée de Sainte-Marie
Alain Cuvelier;M;SBD;Raw;69;65-69;60-69;Masters 3;65.09;66;110;-130;-132.5;;110;80;-85;-85;;80;150;162.5;170;;170;360;1;285.01;285.94;278.04;56.53;Yes;France;;FFForce;IPF;2022-06-17;France;;Beuzeville;Championnats de France Masters de Force Athlétique
Alain Cuvelier;M;SBD;Raw;69;65-69;60-69;Masters 3;66;66;100;-110;-110;;100;70;-80;80;;80;150;170;-190;;170;350;1;274.23;274.82;267.04;54.56;Yes;France;;FFForce;IPF;2022-04-16;France;;L'Étang-Salé;Open de la Réunion
Alain Cuvelier;M;B;Raw;68;65-69;60-69;Masters 3;64.5;66;;;;;;60;70;-85;;70;;;;;;70;1;55.80;56.03;54.50;40.21;Yes;France;;FFForce;IPF;2021-12-11;France;;Saint-Paul;Qualificatif France DC
Alain Cuvelier;M;B;Single-ply;67;65-69;60-69;Masters 3;65.9;66;;;;;;-105;-110;-112.5;;;;;;;;;DQ;;;;;Yes;France;;FFForce;IPF;2021-01-23;France;;Sainte-Marie;Challenge d'Hiver DC BP La Réunion
Alain Cuvelier;M;SBD;Single-ply;67;65-69;60-69;Masters 3;66;66;-110;120;-142.5;;120;-100;-102.5;-102.5;;;;;;;;;DQ;;;;;Yes;France;;FFForce;IPF;2021-01-16;France;;L'Étang-Salé;Challenge d'Hiver FA PL La Réunion
Alain Cuvelier;M;SBD;Single-ply;67;65-69;60-69;Masters 3;65.5;66;-110;-120;-130;;;;;;;;;;;;;;DQ;;;;;Yes;France;;FFForce;IPF;2020-12-12;France;;Sainte-Marie;Régional FA PL La Réunion
Alain Cuvelier;M;B;Single-ply;67;65-69;60-69;Masters 3;65.7;66;;;;;;-100;-102.5;102.5;;102.5;;;;;;102.5;1;80.58;80.79;78.52;44.68;Yes;France;;FFForce;IPF;2020-11-22;France;;L'Étang-Salé;Départemental FA PL DC BP La Réunion
Alain Cuvelier;M;SBD;Single-ply;67;65-69;60-69;Masters 3;65.7;66;-110;-115;-115;;;100;;;;100;160;;;;160;;DQ;;;;;Yes;France;;FFForce;IPF;2020-11-22;France;;L'Étang-Salé;Départemental FA PL DC BP La Réunion
Alain Cuvelier;M;B;Single-ply;67;65-69;60-69;Masters 3;64.6;66;;;;;;60;70;80;;80;;;;;;80;1;63.70;63.95;62.20;35.50;Yes;France;;FFForce;IPF;2020-10-25;France;;L'Étang-Salé;Premier Pas FA PL DC BP La Réunion
Alain Cuvelier;M;SBD;Single-ply;67;65-69;60-69;Masters 3;64.6;66;100;-140;-160;;100;60;82.5;90;;90;150;-180;-180;;150;340;1;270.72;271.77;264.36;46.25;Yes;France;;FFForce;IPF;2020-10-25;France;;L'Étang-Salé;Premier Pas FA PL DC BP La Réunion
Alain Cuvelier;M;SBD;Raw;67;65-69;60-69;Masters 3;63.93;66;-100;100;120;;120;62.5;72.5;-77.5;;72.5;162.5;177.5;187.5;;187.5;380;3;304.98;306.44;298.24;60.25;Yes;France;;EPF;IPF;2020-03-09;France;;Albi;European Masters Classic Powerlifting Championships
Alain Cuvelier;M;S;Raw;66;65-69;60-69;Elite;64;;-140;-142.5;-150;;;;;;;;;;;;;;DQ;;;;;Yes;France;;FFForce;IPF;2020-02-01;France;;Saint-Paul;Eliminatoires Jean Villenave La Réunion
Alain Cuvelier;M;B;Single-ply;66;65-69;60-69;Masters 3;66;66;;;;;;-100;-100;100;;100;;;;;;100;1;78.35;78.52;76.30;43.39;Yes;France;;FFForce;IPF;2020-01-11;France;;Sainte-Marie;Challenge d'Hiver DC BP La Réunion
