Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alan Da Silva Osório;M;SBD;Wraps;21;20-23;19-23;Juniors 20-23;81;82.5;-165;165;175;;175;90;95;-100;;95;-165;165;175;;175;445;1;304.63;301.45;290.30;62.37;;Brazil;;WRPF-Brazil;WRPF;2022-03-19;Brazil;;Curitiba;Open Brasil
Alan Da Silva Osório;M;SBD;Wraps;21;20-23;19-23;Open;81;82.5;-165;165;175;;175;90;95;-100;;95;-165;165;175;;175;445;2;304.63;301.45;290.30;62.37;;Brazil;;WRPF-Brazil;WRPF;2022-03-19;Brazil;;Curitiba;Open Brasil
Alan Da Silva Osório;M;SBD;Raw;20;20-23;19-23;Juniors 20-23;;;;;;;;;;;;;;;;;;;NS;;;;;;Brazil;;WRPF-Brazil;WRPF;2021-10-02;Brazil;;Campina Grande Do Sul;Open Brasil
Alan Da Silva Osório;M;SBD;Wraps;20;20-23;19-23;Juniors 20-23;72.8;75;135;145;155;;155;72.5;-80;80;;80;132.5;-140;140;;140;375;1;274.29;272.93;264.05;55.52;;Brazil;;WRPF-Brazil;WRPF;2021-10-02;Brazil;;Campina Grande Do Sul;Open Brasil
Alan Da Silva Osório;M;B;Raw;20;20-23;19-23;Open;;;;;;;;;;;;;;;;;;;NS;;;;;;Brazil;;WRPF-Brazil;WRPF;2021-10-02;Brazil;;Campina Grande Do Sul;Open Brasil
Alan Da Silva Osório;M;D;Raw;20;20-23;19-23;Open;;;;;;;;;;;;;;;;;;;NS;;;;;;Brazil;;WRPF-Brazil;WRPF;2021-10-02;Brazil;;Campina Grande Do Sul;Open Brasil
Alan Da Silva Osório;M;SBD;Wraps;20;20-23;19-23;Open;;;;;;;;;;;;;;;;;;;NS;;;;;;Brazil;;WRPF-Brazil;WRPF;2021-10-02;Brazil;;Campina Grande Do Sul;Open Brasil
Alan Da Silva Osório;M;D;Raw;20;20-23;19-23;Juniors 20-23;;;;;;;;;;;;;;;;;;;NS;;;;;;Brazil;;WRPF-Brazil;WRPF;2021-10-02;Brazil;;Campina Grande Do Sul;Open Brasil
Alan Da Silva Osório;M;SBD;Wraps;20;20-23;19-23;Open;72.8;75;135;145;155;;155;72.5;-80;80;;80;132.5;-140;140;;140;375;2;274.29;272.93;264.05;55.52;;Brazil;;WRPF-Brazil;WRPF;2021-10-02;Brazil;;Campina Grande Do Sul;Open Brasil
Alan Da Silva Osório;M;B;Raw;20;20-23;19-23;Juniors 20-23;;;;;;;;;;;;;;;;;;;NS;;;;;;Brazil;;WRPF-Brazil;WRPF;2021-10-02;Brazil;;Campina Grande Do Sul;Open Brasil
