Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alan Dean Foster;M;SBD;Raw;70.5;70-74;70-999;Masters 70-74;91.94;100;-45;-45;45;;45;100;106;-112.5;;106;100;110;120;;120;271;1;173.38;171.18;163.91;35.65;Yes;USA;AZ;RAW;;2018-05-19;USA;;;American Challenge
Alan Dean Foster;M;BD;Raw;70.5;70-74;70-999;Masters 70-74;91.94;100;;;;;;100;106;-112.5;;106;100;110;120;;120;226;1;144.59;142.75;136.69;;Yes;USA;AZ;RAW;;2018-05-19;USA;;;American Challenge
Alan Dean Foster;M;SBD;Raw;70.5;70-74;70-999;Masters 70-74;89.49;90;45;;;;45;100;108;110;-112.5;110;90;100;112.5;;112.5;267.5;1;173.46;171.27;164.18;35.66;Yes;USA;AZ;RAW;;2018-04-14;USA;AZ;Glendale;Southwest Regional
Alan Dean Foster;M;B;Raw;67.5;65-69;60-69;Masters 65-69;87.04;90;;;;;;;;;;120;;;;;;120;1;78.94;77.97;74.84;58.84;Yes;USA;AZ;RAW;;2015-03-28;USA;AZ;Prescott;Southwest Regionals
Alan Dean Foster;M;B;Raw;66.5;65-69;60-69;Masters 65-69;86.73;90;;;;;;;;;;112.5;;;;;;112.5;1;74.15;73.24;70.31;55.26;Yes;USA;AZ;RAW;;2014-03-29;USA;AZ;Prescott;Southwest Regional
Alan Dean Foster;M;BD;Raw;65.5;65-69;60-69;Masters 65-69;89.4;90;;;;;;130;-137.5;-137.5;;130;127.5;137.5;145;;145;275;1;178.42;176.16;168.88;;Yes;USA;AZ;RAW;;2012-10-19;USA;NV;Las Vegas;World Championships
Alan Dean Foster;M;B;Raw;65.5;65-69;60-69;Masters 65-69;89.4;90;;;;;;130;-137.5;-137.5;;130;;;;;;130;2;84.34;83.28;79.84;62.89;Yes;USA;AZ;RAW;;2012-10-19;USA;NV;Las Vegas;World Championships
Alan Dean Foster;M;B;Raw;65;65-69;60-69;Masters 65-69;88;90;;;;;;130;135;-137.5;;135;;;;;;135;1;88.30;87.20;83.65;65.83;Yes;USA;AZ;RAW;;2012-06-01;USA;NH;Hooksett;National Championships
Alan Dean Foster;M;SBD;Raw;65;65-69;60-69;Masters 65-69;88;90;92.5;105;-112.5;;105;130;135;-137.5;;135;125;132.5;140;;140;380;2;248.55;245.44;235.47;51.08;Yes;USA;AZ;RAW;;2012-06-01;USA;NH;Hooksett;National Championships
Alan Dean Foster;M;B;Raw;64;60-64;60-69;Masters 60-64;88.4;90;;;;;;;;;;125;;;;;;125;1;81.57;80.54;77.25;60.81;Yes;USA;;RAW;;2011-07-24;Ukraine;;Odessa;Single Lift Eurasian Championships
Alan Dean Foster;M;B;Raw;62.5;60-64;60-69;Open;87.32;90;;;;;;107.5;117.5;;;117.5;;;;;;117.5;4;77.17;76.21;73.14;57.52;Yes;USA;AZ;RAW;;2009-10-17;USA;NV;Las Vegas;West Coast Single Lift Championships
Alan Dean Foster;M;B;Raw;62.5;60-64;60-69;Masters 60-64;87.32;90;;;;;;107.5;117.5;;;117.5;;;;;;117.5;1;77.17;76.21;73.14;57.52;Yes;USA;AZ;RAW;;2009-10-17;USA;NV;Las Vegas;West Coast Single Lift Championships
