Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alan Fraser;M;D;Single-ply;;65-69;70-999;Disabled 2 60;;140+;;;;;;;;;;;;;;;170;170;1;;;;;Yes;USA;NV;WABDL;;2019-11-12;USA;NV;Las Vegas;World Championships
Alan Fraser;M;D;Single-ply;;65-69;70-999;Masters 68-74;;140+;;;;;;;;;;;;;;182.5;170;170;1;;;;;Yes;USA;NV;WABDL;;2019-11-12;USA;NV;Las Vegas;World Championships
Alan Fraser;M;B;Single-ply;;65-69;70-999;Disabled 2 60;;140+;;;;;;;;;;117.5;;;;;;117.5;1;;;;;Yes;USA;NV;WABDL;;2019-11-12;USA;NV;Las Vegas;World Championships
Alan Fraser;M;D;Raw;;65-69;;Disabled 2 60;140;140;;;;;;;;;;;;;;167.5;162.5;162.5;1;89.05;90.81;86.31;;Yes;USA;;WABDL;;2018-11-13;USA;NV;Las Vegas;World Championships
Alan Fraser;M;B;Raw;;65-69;;Disabled 2 60;140;140;;;;;;;;;;105;;;;;;105;1;57.54;58.67;55.77;41.61;Yes;USA;;WABDL;;2018-11-13;USA;NV;Las Vegas;World Championships
Alan Fraser;M;BD;Raw;;65-69;;Disabled 2 60;140;140;;;;;;;;;;105;;;;167.5;162.5;267.5;1;146.60;149.48;142.08;;Yes;USA;;WABDL;;2018-11-13;USA;NV;Las Vegas;World Championships
Alan Fraser;M;D;Single-ply;68.5;65-69;;Disabled 2 60;;140+;;;;;;;;;;;;;;157.5;140;140;1;;;;;Yes;USA;NV;WABDL;;2018-02-24;USA;NV;North Las Vegas;NV State BP & DL
Alan Fraser;M;D;Single-ply;68.5;65-69;;Masters 68-74;;140+;;;;;;;;;;;;;;157.5;140;140;1;;;;;Yes;USA;NV;WABDL;;2018-02-24;USA;NV;North Las Vegas;NV State BP & DL
Alan Fraser;M;D;Single-ply;;65-69;60-69;Disabled 2 60;140;140;;;;;;;;;;;;;;147.5;127.5;127.5;1;69.87;71.25;67.72;;Yes;USA;;WABDL;;2017-11-06;USA;;;World Bench Press and Deadlift Championships
Alan Fraser;M;D;Single-ply;66.5;65-69;60-69;Masters 61-67;125;125;;;;;;;;;;;;;;187.5;185;185;1;104.85;105.42;100.89;;Yes;USA;NV;WABDL;;2016-02-27;USA;NV;Pahrump;Nevada State BP & DL
Alan Fraser;M;B;Multi-ply;66.5;65-69;60-69;Masters 61-67;125;125;;;;;;;;;;120;;;;;;120;1;68.01;68.38;65.44;34.82;Yes;USA;NV;WABDL;;2016-02-27;USA;NV;Pahrump;Nevada State BP & DL
Alan Fraser;M;B;Single-ply;;60-64;60-69;Masters 61-67;140;140;;;;;;;;;;150;;;;;;150;1;82.20;83.82;79.67;42.18;Yes;USA;NV;WABDL;;2012-11-13;USA;NV;Las Vegas;World Championships
Alan Fraser;M;D;Single-ply;;60-64;60-69;Masters 61-67;140;140;;;;;;;;;;;;;;;192.5;192.5;1;105.49;107.57;102.25;;Yes;USA;NV;WABDL;;2012-11-13;USA;NV;Las Vegas;World Championships
Alan Fraser;M;D;Single-ply;61.5;60-64;60-69;Masters 61-67;;140+;;;;;;;;;;;;;;;187.5;187.5;1;;;;;Yes;USA;NV;WABDL;;2010-11-16;USA;NV;Las Vegas;World Championships
Alan Fraser;M;B;Single-ply;61.5;60-64;60-69;Masters 61-67;;140+;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;NV;WABDL;;2010-11-16;USA;NV;Las Vegas;World Championships
