Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alan Garcia;M;SBD;Single-ply;;;;Boys;81.65;82.1;;;;;102.06;;;;;74.84;;;;;124.74;301.64;12;205.54;203.34;195.74;35.17;Yes;USA;;THSPA;;2022-01-20;USA;TX;Legacy Fieldhouse;Legacy Powerlifting
Alan Garcia;M;SBD;Raw;34.5;24-34;24-39;MR-O;100.6;105;-102.5;115;127.5;;127.5;92.5;102.5;-115;;102.5;112.5;137.5;155;;155;385;2;236.36;233.75;223.24;48.50;Yes;USA;TX;USAPL;IPF;2019-11-02;USA;TX;;Strengthbuilt Rookie Meet
Alan Garcia;M;SBD;Single-ply;;;;Boys;65.77;67.1;;;;;156.49;;;;;88.45;;;;;156.49;401.43;3;315.35;316.11;307.22;53.90;Yes;USA;;THSPA;;2015-02-05;USA;TX;Ranchview;Ranchview Invitational
Alan Garcia;M;SBD;Single-ply;;;;Boys;66.22;67.1;;;;;154.22;;;;;88.45;;;;;151.95;394.63;2;308.44;309.02;300.23;52.73;Yes;USA;;THSPA;;2015-01-29;USA;TX;Creekview;Creekview Invitational
Alan Garcia;M;SBD;Single-ply;;;;Boys;66.22;67.1;;;;;142.88;;;;;79.38;;;;;142.88;365.14;13;285.39;285.93;277.79;48.79;Yes;USA;;THSPA;;2015-01-24;USA;TX;Princeton;Princeton Panther Invitational
Alan Garcia;M;SBD;Single-ply;;;;Boys;66.32;67.1;;;;;136.08;;;;;88.45;;;;;138.35;362.87;2;283.30;283.80;275.70;48.44;Yes;USA;;THSPA;;2015-01-15;USA;TX;Lake Dallas;Falcon Invitational
Alan Garcia;M;SBD;Single-ply;;;;Boys;61.87;67.1;;;;;154.22;;;;;79.38;;;;;149.69;383.29;16;315.59;318.01;310.02;53.82;Yes;USA;;THSPA;;2014-02-20;USA;TX;Centennial Burleson Texas;THURSDAY NIGHT THUNDER
Alan Garcia;M;SBD;Single-ply;;;;Boys;64.32;67.1;;;;;158.76;;;;;65.77;;;;;145.15;369.68;3;295.32;296.58;288.55;50.44;Yes;USA;;THSPA;;2014-02-15;USA;TX;Creekview;Ranchview Invitational
Alan Garcia;M;SBD;Single-ply;;;;Boys;64.59;67.1;;;;;142.88;;;;;68.04;;;;;136.08;347;3;276.32;277.40;269.84;47.20;Yes;USA;;THSPA;;2014-02-08;USA;TX;Creekview;Creekview Invitational
Alan Garcia;M;SBD;Single-ply;;;;Boys;108.86;109.7;;;;;79.38;;;;;61.23;;;;;79.38;219.99;10;130.81;129.88;124.10;22.13;Yes;USA;;THSPA;;2012-02-11;USA;TX;Forney Texas;North Forney Invitational
Alan Garcia;M;SBD;Single-ply;;;;Boys;108.86;109.7;;;;;79.38;;;;;61.23;;;;;79.38;219.99;10;130.81;129.88;124.10;22.13;Yes;USA;;THSPA;;2012-02-11;USA;TX;Forney Texas;North Forney Invitational
Alan Garcia;M;SBD;Single-ply;;;;Boys;95.21;99.7;;;;;83.91;;;;;58.97;;;;;97.52;240.4;16;151.27;149.39;142.86;25.76;Yes;USA;;THSPA;;2012-01-28;USA;TX;Creekview;Mustang Invitational
