Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alan Tano Puleosi;M;SBD;Raw;64;60-64;60-69;Masters 60-64;99.75;105;100;-110;110;;110;80;;;;80;160;-180;-180;;160;350;1;215.66;213.22;203.66;44.27;Yes;Niue;;WP;WP;2022-02-19;Australia;;;Oceania Championships
Alan Tano Puleosi;M;B;Raw;64;60-64;60-69;Masters 60-64;99.75;105;;;;;;80;90;-100;;90;;;;;;90;1;55.46;54.83;52.37;41.28;Yes;Niue;;WP;WP;2022-02-19;Australia;;;Oceania Championships
Alan Tano Puleosi;M;SBD;Raw;63;60-64;60-69;Masters 60-64;96.6;105;;;;;115;;;;;80;;;;;180;375;1;234.39;231.54;221.32;48.16;Yes;Niue;;WP-Niue;WP;2021-10-19;Niue;;Vailoa;Niue Powerlifting Championships
Alan Tano Puleosi;M;SBD;Raw;63;60-64;60-69;Masters 60-64;102.3;105;80;100;110;;110;90;100;-105;;100;150;170;-180;;170;380;1;231.64;229.23;218.89;47.49;Yes;Niue;;WP;WP;2021-01-30;Australia;;;Oceania Championships
Alan Tano Puleosi;M;B;Raw;63;60-64;60-69;Open;102.6;105;;;;;;85;95;-110;;95;;;;;;95;5;57.84;57.25;54.66;43.00;Yes;Niue;;WP;WP;2021-01-30;Australia;;;Oceania Championships
Alan Tano Puleosi;M;B;Raw;63;60-64;60-69;Masters 60-64;102.6;105;;;;;;85;95;-110;;95;;;;;;95;1;57.84;57.25;54.66;43.00;Yes;Niue;;WP;WP;2021-01-30;Australia;;;Oceania Championships
Alan Tano Puleosi;M;SBD;Raw;63;60-64;60-69;Open;102.3;105;80;100;110;;110;90;100;-105;;100;150;170;-180;;170;380;12;231.64;229.23;218.89;47.49;Yes;Niue;;WP;WP;2021-01-30;Australia;;;Oceania Championships
Alan Tano Puleosi;M;B;Raw;62;60-64;60-69;Masters 60-64;96.5;105;;;;;;;;;;90;;;;;;90;3;56.28;55.59;53.14;41.94;Yes;Niue;;WP-Niue;WP;2020-10-25;Niue;;Vailoa;Niue Powerlifting Championships
Alan Tano Puleosi;M;SBD;Raw;62;60-64;60-69;Open;100.3;105;80;100;-110;;100;75;85;95;;95;130;150;160;;160;355;5;218.23;215.79;206.10;44.78;Yes;Niue;;WP;WP;2019-12-13;Hong Kong;;;Asia-Pacific Championships
Alan Tano Puleosi;M;B;Raw;62;60-64;60-69;Open;98.6;105;;;;;;75;90;-100;;90;;;;;;90;1;55.74;55.09;52.63;41.51;Yes;Niue;;WP;WP;2019-12-13;Hong Kong;;;Asia-Pacific Championships
Alan Tano Puleosi;M;B;Raw;61;60-64;60-69;Masters 60-64;95;105;;;;;;75;85;-100;;85;;;;;;85;1;53.54;52.87;50.57;39.91;Yes;Niue;;WP;WP;2018-12-14;Australia;QLD;Brisbane;Oceania Championships
Alan Tano Puleosi;M;SBD;Raw;61;60-64;60-69;Masters 60-64;94.5;105;90;-100;-100;;90;80;90;-100;;90;140;160;-170;;160;340;1;214.69;212.00;202.78;44.13;Yes;Niue;;WP;WP;2018-12-14;Australia;QLD;Brisbane;Oceania Championships
Alan Tano Puleosi;M;SBD;Raw;60;60-64;60-69;Open;95.4;105;90;-100;100;;100;80;90;-105;;90;120;-140;-145;;120;310;4;194.88;192.46;184.04;40.06;Yes;Niue;;PA;WP;2018-04-20;Australia;NSW;Sydney;Sydney Open
Alan Tano Puleosi;M;SBD;Raw;58;55-59;50-59;Masters 2;93.4;105;100;-110;115;;115;80;100;-110;;100;140;160;170;;170;385;2;244.45;241.36;230.97;50.26;Yes;Niue;;OceaniaPF;IPF;2016-12-08;New Zealand;;Christchurch;Asia & Oceania Classic Powerlifting Championships
Alan Tano Puleosi;M;B;Raw;58;55-59;50-59;Masters 2;93.45;105;;;;;;80;100;-105;;100;;;;;;100;1;63.48;62.68;59.98;47.33;Yes;Niue;;OceaniaPF;IPF;2016-12-06;New Zealand;;Christchurch;Asia & Oceania Classic Men's Benchpress Championships
Alan Tano Puleosi;M;SBD;Raw;58;55-59;50-59;Masters 2;93.9;105;-110;110;-125;;110;80;90;-100;;90;140;150;160;;160;360;1;228.00;225.13;215.39;46.88;Yes;Niue;;NZPF;IPF;2016-04-01;New Zealand;AKL;Auckland;Auckland Powerlifting Championships
Alan Tano Puleosi;M;SBD;Raw;58;55-59;50-59;Masters 2;93.95;105;90;115;-125;;115;65;80;100;;100;130;150;-160;;150;365;2;231.11;228.20;218.33;47.51;Yes;Niue;;AsianPF;IPF;2015-12-13;Uzbekistan;;Tashkent;Asia-Oceania Raw Championships
Alan Tano Puleosi;M;SBD;Raw;56;55-59;50-59;Masters 2;91;93;95;105;-120;;105;70;75;85;;85;130;145;155;;155;345;2;221.85;219.03;209.82;45.62;Yes;Niue;;OceaniaPF;IPF;2014-12-08;Australia;VIC;Melbourne;Asia & Oceania Championships
Alan Tano Puleosi;M;SBD;Single-ply;48;45-49;40-49;Masters 1;97.55;100;130;140;-150;;140;90;100;110;;110;180;-190;190;;190;440;4;273.80;270.53;258.52;46.57;Yes;Niue;;OceaniaPF;IPF;2006-12-09;Australia;QLD;Townsville;Oceania Powerlifting & Bench Press Championships
Alan Tano Puleosi;M;SBD;Single-ply;44;40-44;40-49;Masters 1;89.68;90;130;-150;-150;;130;90;100;-112.5;;100;190;-200;-200;;190;420;2;272.06;268.61;257.48;46.44;Yes;Niue;;OceaniaPF;IPF;2002-12-06;New Zealand;BOP;Tauranga;Oceania Championships
