Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alan Taylor;M;SBD;Raw;29;24-34;24-39;Open;85;90;;;;;147.5;;;;;105;;;;;185;437.5;4;291.49;288.02;276.76;59.84;;USA;CA;USPA;IPL;2017-09-09;USA;CA;Elk Grove;APS Open
Alan Taylor;M;SBD;Raw;29;24-34;24-39;Open;88.5;90;;;;;147.5;;;;;105;;;;;195;447.5;6;291.84;288.18;276.39;59.99;;USA;CA;USPA;IPL;2017-03-18;USA;CA;Marysville;Marysville Mayhem Powerlifting Meet
Alan Taylor;M;SBD;Raw;29;24-34;24-39;Open;82.8;90;;;;;142.5;;;;;97.5;;;;;182.5;422.5;5;285.61;282.42;271.70;58.56;;USA;CA;USPA;IPL;2016-12-10;USA;CA;Merced;NORCAL Powerlifting Championships
Alan Taylor;M;SBD;Raw;;;;M-C-Open;91.5;93;-152.5;152.5;167.5;;167.5;102.5;112.5;-117.5;;112.5;177.5;200;207.5;;207.5;487.5;3;312.64;308.66;295.61;64.28;Yes;;;ScottishPL;IPF;2015-06-27;Scotland;;;Alba Open
Alan Taylor;M;SBD;Single-ply;;;;Open;73.4;75;170;180;190;;190;125;135;-152.5;;135;150;165;180;;180;505;1;367.39;365.37;353.36;62.92;Yes;UK;;NPB;IPF;2004-10-23;Netherlands;NH;Alkmaar;Dutch VS Great Britain Powerlifting Match
Alan Taylor;M;SBD;Single-ply;;24-34;;Open;74.05;75;;;;;220;;;;;132.5;;;;;222.5;575;1;415.92;413.41;399.67;71.23;Yes;;;BAWLA;IPF;2004-02-07;UK;;Birmingham;British Junior & Under 23 Powerlifting Championships
Alan Taylor;M;SBD;Single-ply;;20-23;;U23;72.3;75;;;;;230;;;;;137.5;;;;;215;582.5;1;428.03;426.08;412.34;73.29;Yes;;;BAWLA;IPF;2003-11-30;England;;Dover;South East Counties Championships
Alan Taylor;M;D;Single-ply;;20-23;;M-U23;71.5;75;;;;;;;;;;;170;180;200;;200;200;1;148.07;147.50;142.81;;Yes;;;BAWLA;IPF;2003-10-26;England;;Woking;South East Counties Deadlift Championships
Alan Taylor;M;SBD;Single-ply;;;;Open;71.7;75;;;;;200;;;;;125;;;;;200;525;4;387.94;386.39;374.06;66.42;Yes;;;BAWLA;IPF;2003-09-27;UK;;Tysley;All Midlands Powerlifting Championships
Alan Taylor;M;S;Single-ply;;20-23;;U23;72.8;75;-200;-200;200;;200;;;;;;;;;;;200;1;146.29;145.56;140.83;;Yes;;;BAWLA;IPF;2003-07-13;UK;;Ashford;South East Counties Squat Championships
Alan Taylor;M;B;Single-ply;;20-23;;U23;75;75;;;;;;105;115;120;;120;;;;;;120;1;86.09;85.51;82.62;46.20;Yes;;;BAWLA;IPF;2003-03-02;England;;;South East Bench Press Championships
Alan Taylor;M;SBD;Single-ply;;24-34;;Open;72.6;75;210;-217.5;217.5;;217.5;120;127.5;-130;;127.5;210;220;-225;;220;565;1;414.03;412.03;398.68;70.90;Yes;;;BAWLA;IPF;2003-02-01;UK;;Birmingham;British Junior & Under 23 Powerlifting Championships
Alan Taylor;M;SBD;Single-ply;;;;U23;74.6;75;;;;;215;;;;;120;;;;;210;545;2;392.34;389.80;376.73;67.19;Yes;;;BAWLA;IPF;2002-12-07;England;;Sittingbourne;South East Championships
Alan Taylor;M;S;Single-ply;;20-23;;U23;71.2;75;;;;;215;;;;;;;;;;;215;1;159.62;159.06;154.03;;Yes;England;SE;BAWLA;IPF;2002-06-23;England;;Ashford;South East Counties Squat Championships
Alan Taylor;M;SBD;Single-ply;;;;Open;71.2;75;175;190;-200;;190;100;110;115;;115;195;210;-222.5;;210;515;3;382.36;381.01;368.96;65.46;Yes;;;BAWLA;IPF;2002-02-03;UK;;Birmingham;British Junior & Under 23 Powerlifting Championships
Alan Taylor;M;SBD;Wraps;;;;Open;64.07;67.5;;;;;175;;;;;92.5;;;;;195;462.5;2;370.57;372.28;362.27;73.24;Yes;;;BAWLA;IPF;2001-02-03;UK;;Birmingham;British Junior & Under 18 Powerlifting Championships
Alan Taylor;M;SBD;Single-ply;;;;Open;65.9;67.5;;;;;160;;;;;85;;;;;165;410;2;321.61;322.33;313.24;54.98;Yes;;;BAWLA;IPF;2000-01-29;UK;;Birmingham;British Junior Powerlifting Championships
Alan Taylor;M;D;Single-ply;;;;Juniors;64.3;67.5;;;;;;;;;;;;;;;170;170;1;135.84;136.42;132.73;;Yes;England;SE;BAWLA;IPF;1999-10-30;England;;Woking;South East Deadlift Championships
Alan Taylor;M;SBD;Single-ply;;;;Junior;64;67.5;;;;;135;;;;;75;;;;;165;375;3;300.72;302.13;294.02;51.36;Yes;England;SE;BAWLA;IPF;1999-08-01;England;;Birmingham;British Junior and Under 23 Championships
Alan Taylor;M;SBD;Single-ply;;;;Masters;90;90;;;;;154.22;;;;;102.06;;;;;167.83;424.11;1;274.23;270.75;259.49;46.80;;;;USPF;IPF;1984-05-19;USA;VA;Roanoke;Roanoke Open
