Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Albert Geddes;M;SBD;Wraps;47;45-49;40-49;Amateur Masters 45-49;87.82;90;;;;;204.12;;;;;140.61;;;;;244.94;589.67;1;386.10;381.28;365.82;79.35;Yes;USA;;RPS;;2019-12-07;USA;PA;Allentown;Christmas Carnage 15
Albert Geddes;M;SBD;Wraps;45;45-49;40-49;Pro Masters 45-49;81.19;82.5;;;;;249.48;;;;;156.49;;;;;274.42;680.39;1;465.13;460.25;443.17;95.24;;USA;;RPS;;2017-12-02;USA;PA;Allentown;13th Annual Christmas Carnage
Albert Geddes;M;SBD;Wraps;45;45-49;40-49;Pro Masters 45-49;80.65;82.5;;;;;235.87;;;;;147.42;;;;;263.08;646.37;1;443.59;439.04;422.88;90.79;;USA;;RPS;;2017-11-04;USA;NJ;Newark;Autumn Apocalypse
Albert Geddes;M;SBD;Wraps;44.5;40-44;40-49;Elite;81.65;82.5;;;;;240.4;;;;;151.95;;;;;272.16;664.51;5;452.80;447.95;431.22;92.75;;USA;;XPC;XPC;2017-03-03;USA;OH;Columbus;Finals
Albert Geddes;M;SBD;Raw;43.5;40-44;40-49;MR-M1;78.3;83;-202.5;202.5;215;;215;135;145;-150;;145;262.5;-272.5;;;262.5;622.5;3;434.79;430.88;415.56;88.77;Yes;USA;PA;USAPL;IPF;2016-10-13;USA;GA;Atlanta;Raw Nationals
Albert Geddes;M;SBD;Wraps;43.5;40-44;40-49;Pro Open;80.74;82.5;;;;;226.8;;;;;158.76;;;;;263.08;648.64;1;444.86;440.28;424.05;91.05;;USA;;XPC;XPC;2016-09-17;USA;NJ;Newark;Semi-Finals
Albert Geddes;M;SBD;Raw;43.5;40-44;40-49;MR-O;81.1;83;200;210;215;;215;-142.5;145;152.5;;152.5;262.5;-265;;;262.5;630;2;430.96;426.45;410.65;88.24;Yes;USA;PA;USAPL;IPF;2016-05-21;USA;PA;;Philadelphia Freedom Championship
Albert Geddes;M;SBD;Wraps;42.5;40-44;40-49;Pro Open;79.02;82.5;;;;;240.4;;;;;154.22;;;;;256.28;650.91;1;452.13;447.88;431.78;92.38;;USA;;RPS;;2015-08-15;USA;PA;Lancaster;Raw Dawg National Championships
Albert Geddes;M;SBD;Wraps;42.5;40-44;40-49;Amateur Masters 40-44;81.1;82.5;;;;;231.33;;;;;147.42;;;;;254.01;632.76;1;432.85;428.32;412.45;88.62;Yes;USA;;RPS;;2015-07-25;USA;PA;Lancaster;PA State Championships
Albert Geddes;M;BD;Raw;42.5;40-44;40-49;Amateur Masters 40-44;80.2;82.5;;;;;;;;;;147.42;;;;;249.48;396.89;1;273.27;270.53;260.64;;Yes;USA;;RPS;;2015-06-06;USA;PA;Bristol;Philly Push-Pull
Albert Geddes;M;SBD;Wraps;41.5;40-44;40-49;Amateur Open;74.39;75;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;RPS;;2014-11-01;USA;NJ;Pitman;Autumn Apocalypse
