Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alberto Carlos Seabra Norce;M;SBD;Wraps;52;50-54;50-59;Masters 50-54;97.1;100;-140;150;170;;170;110;122.5;127.5;;127.5;160;180;200;;200;497.5;1;310.23;306.49;292.92;63.74;;Brazil;;WRPF-Brazil;WRPF;2021-10-02;Brazil;;Campina Grande Do Sul;Open Brasil
Alberto Carlos Seabra Norce;M;B;Raw;;50-54;50-59;M 50-54;110;110;;;;;;;;;;130;;;;;;130;1;76.99;76.50;73.12;56.98;;Brazil;;GPC;GPC;2018-11-25;Brazil;;Itanhaém;South American Championships
Alberto Carlos Seabra Norce;M;SBD;Wraps;;45-49;;M 45-49;100;100;;;;;;;;;;;;;;;;525;1;323.15;319.51;305.17;66.32;;Brazil;;CONBRAP;GPC;2018-07-22;Brazil;;São Vicente;Campeonato Brasileiro de Powerlifting
Alberto Carlos Seabra Norce;M;D;Raw;;45-49;;M 45-49;90;90;;;;;;;;;;;;;;;202.5;202.5;1;130.94;129.27;123.90;;;Brazil;;CONBRAP;GPC;2018-04-14;Brazil;;Jaú;Campeonato Paulista de Supino e Lev.Terra
Alberto Carlos Seabra Norce;M;B;Raw;;45-49;;M 45-49;90;90;;;;;;;;;;115;;;;;;115;1;74.36;73.42;70.36;55.45;;Brazil;;CONBRAP;GPC;2018-04-14;Brazil;;Jaú;Campeonato Paulista de Supino e Lev.Terra
Alberto Carlos Seabra Norce;M;D;Raw;;45-49;;M 45-49;90;90;;;;;;;;;;;;;;;190;190;1;122.85;121.29;116.25;;;Brazil;;CONBRAP;GPC;2017-05-13;Brazil;;Anhembi;Campeonato Paulista de Supino e Lev.Terra
Alberto Carlos Seabra Norce;M;B;Raw;;45-49;;M 45-49;90;90;;;;;;;;;;100;;;;;;100;2;64.66;63.84;61.18;48.22;;Brazil;;CONBRAP;GPC;2017-05-13;Brazil;;Anhembi;Campeonato Paulista de Supino e Lev.Terra
Alberto Carlos Seabra Norce;M;SBD;Wraps;47;45-49;40-49;M2;91.3;100;150;165;-180;;165;105;112.5;117.5;;117.5;170;205;215;;215;497.5;1;319.39;315.33;302.03;65.67;;Brazil;;GPC;GPC;2016-11-26;Brazil;;Santos;South American Championships
Alberto Carlos Seabra Norce;M;D;Raw;47;45-49;40-49;M2;90;90;;;;;;;;;;;190;205;;;205;205;1;132.55;130.87;125.43;;;Brazil;;GPC;GPC;2016-11-26;Brazil;;Santos;South American Championships
Alberto Carlos Seabra Norce;M;SBD;Wraps;45;45-49;40-49;M2;86.3;90;110;117.5;120;;120;100;110;;;110;160;;;;160;390;2;257.72;254.58;244.45;52.94;;Brazil;;GPC;GPC;2014-09-30;Argentina;;Puerto Iguazú;World Championships
