Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alberto Ribeiro;M;B;Raw;54;50-54;50-59;Masters 2;70.1;74;;;;;;110;-115;-115;;110;;;;;;110;2;82.55;82.34;79.79;60.39;Yes;;;FFForce;IPF;2020-01-11;France;;Saint-Étienne;Challenge d'Hiver DC BP LAURAF
Alberto Ribeiro;M;B;Raw;53;50-54;50-59;Masters 2;69.4;74;;;;;;105;110;-112.5;;110;;;;;;110;1;83.12;82.98;80.45;60.71;Yes;;;FFForce;IPF;2019-11-02;France;;Tarare;Départemental DC BP LAURAF
Alberto Ribeiro;M;B;Raw;53;50-54;50-59;Masters 2;71.7;74;;;;;;112.5;117.5;-120;;117.5;;;;;;117.5;1;86.82;86.48;83.72;63.73;Yes;;;FFForce;IPF;2019-06-08;France;;Villefranche-sur-Saône;Deuxième Pas FA PL DC BP LAURAF
Alberto Ribeiro;M;B;Raw;53;50-54;50-59;Masters 2;72.35;74;;;;;;112.5;117.5;-120;;117.5;;;;;;117.5;5;86.30;85.90;83.13;63.42;Yes;;;FFForce;IPF;2019-06-01;France;;Escaudain;Championnats de France Développé Couché
Alberto Ribeiro;M;B;Raw;53;50-54;50-59;Masters 2;71.01;74;;;;;;112.5;-117.5;-117.5;;112.5;;;;;;112.5;2;83.68;83.40;80.77;61.33;Yes;;;FFForce;IPF;2019-01-19;France;;Crest;Challenge d'Hiver DC BP LAURAF
Alberto Ribeiro;M;B;Raw;52;50-54;50-59;Masters 2;70.6;74;;;;;;105;110;115;;115;;;;;;115;2;85.88;85.62;82.95;62.89;Yes;;;FFForce;IPF;2018-12-15;France;;Coubon;Régional DC BP LAURAF
Alberto Ribeiro;M;B;Raw;52;50-54;50-59;Masters 2;70.5;74;;;;;;102.5;107;110;;110;;;;;;110;1;82.22;81.99;79.43;60.20;Yes;;;FFForce;IPF;2018-11-17;France;;Tarare;Départemental DC BP LAURAF
Alberto Ribeiro;M;SBD;Raw;51;50-54;50-59;Masters 2;70.9;74;110;120;127.5;;127.5;100;107.5;110;;110;-150;155;-165;;155;392.5;1;292.25;291.30;282.14;58.92;Yes;;;FFForce;IPF;2017-12-09;France;;Ambert;Régional FA PL LAURAF
Alberto Ribeiro;M;B;Raw;51;50-54;50-59;Masters 2;70.3;74;;;;;;100;105;-110;;105;;;;;;105;1;78.64;78.43;75.99;57.55;Yes;;;FFForce;IPF;2017-11-11;France;;Tarare;Départemental DC BP LAURAF
Alberto Ribeiro;M;SBD;Raw;51;50-54;50-59;Masters 2;70.2;74;110;120;125;;125;100;105;-107.5;;105;150;160;-170;;160;390;1;292.37;291.63;282.58;58.85;Yes;;;FFForce;IPF;2017-11-04;France;;La Ricamarie;Départemental FA PL LAURAF
Alberto Ribeiro;M;B;Raw;50;50-54;50-59;Masters 2;70.5;74;;;;;;95;100;-105;;100;;;;;;100;1;74.75;74.53;72.21;54.73;Yes;;;FFForce;IPF;2017-10-21;France;;Lyon;Premier Pas DC BP LAURAF
Alberto Ribeiro;M;SBD;Raw;51;50-54;50-59;Masters 2;69.7;74;-100;100;110;;110;90;100;-105;;100;140;150;160;;160;370;1;278.76;278.19;269.65;56.04;Yes;;;FFForce;IPF;2017-10-07;France;;Saint-Étienne;Premier Pas FA PL LAURAF
