Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Albert Potocki;M;SBD;Single-ply;22.5;20-23;19-23;Juniorzy do lat 23;96.05;105;225;240;255;;255;135;142.5;-150;;142.5;225;240;247.5;;247.5;645;1;404.21;399.24;381.69;68.80;Yes;Poland;;PZKFiTS;IPF;2015-12-05;Poland;;Gizycko;Polish Powerlifting Championships
Albert Potocki;M;SBD;Single-ply;22.5;20-23;19-23;Seniorzy;96.05;105;225;240;255;;255;135;142.5;-150;;142.5;225;240;247.5;;247.5;645;4;404.21;399.24;381.69;68.80;Yes;Poland;;PZKFiTS;IPF;2015-12-05;Poland;;Gizycko;Polish Powerlifting Championships
Albert Potocki;M;SBD;Raw;22.5;20-23;19-23;Juniorzy do lat 23;97.4;105;240;250;255;;255;150;160;167.5;;167.5;230;250;257.5;;257.5;680;3;423.45;418.37;399.81;86.99;Yes;Poland;;PZKFiTS;IPF;2015-10-16;Poland;;Kielce;Polish Classic Powerlifting Championships
Albert Potocki;M;SBD;Raw;22.5;20-23;19-23;Seniorzy;97.4;105;240;250;255;;255;150;160;167.5;;167.5;230;250;257.5;;257.5;680;5;423.45;418.37;399.81;86.99;Yes;Poland;;PZKFiTS;IPF;2015-10-16;Poland;;Kielce;Polish Classic Powerlifting Championships
Albert Potocki;M;SBD;Single-ply;22.5;20-23;19-23;Seniorzy;95;105;200;230;250;;250;140;150;155;;155;200;220;240;;240;645;8;406.27;401.21;383.70;69.19;Yes;Poland;;PZKFiTS;IPF;2015-06-20;Poland;;Kielce;Polish Weteranki Powerlifting Championships & Polish Cup
Albert Potocki;M;SBD;Single-ply;22.5;20-23;19-23;Juniorzy do lat 23;95;;200;230;250;;250;140;150;155;;155;200;220;240;;240;645;5;406.27;401.21;383.70;69.19;Yes;Poland;;PZKFiTS;IPF;2015-06-20;Poland;;Kielce;Polish Weteranki Powerlifting Championships & Polish Cup
Albert Potocki;M;SBD;Raw;22.5;20-23;19-23;Juniors;92.34;93;240;250;-255;;250;150;155;157.5;;157.5;-240;240;-255;;240;647.5;5;413.39;408.14;390.74;85.00;Yes;Poland;;EPF;IPF;2015-03-21;Czechia;;Pilsen;1st European Men's Classic Championships
Albert Potocki;M;SBD;Single-ply;21.5;20-23;19-23;Juniorzy do lat 23;95;105;240;260;-265;;260;155;-162.5;162.5;;162.5;225;232.5;242.5;;242.5;665;2;418.87;413.65;395.60;71.33;Yes;Poland;;PZKFiTS;IPF;2014-12-06;Poland;;Piensk;Polish Powerlifting Championships
Albert Potocki;M;SBD;Single-ply;21.5;20-23;19-23;Seniorzy;93.1;105;220;240;-250;;240;145;152.5;;;152.5;200;220;230;;230;622.5;5;395.86;390.85;374.07;67.47;Yes;Poland;;PZKFiTS;IPF;2014-05-21;Poland;;Kielce;Polish Powerlifting Cup
Albert Potocki;M;SBD;Single-ply;21.5;20-23;19-23;Juniorzy do lat 23;93.1;105;220;240;-250;;240;145;152.5;;;152.5;200;220;230;;230;622.5;3;395.86;390.85;374.07;67.47;Yes;Poland;;PZKFiTS;IPF;2014-05-21;Poland;;Kielce;Polish Powerlifting Cup
Albert Potocki;M;SBD;Raw;21.5;20-23;19-23;Juniorzy do lat 23;91.9;93;225;-230;;;225;140;147.5;-152.5;;147.5;230;-235;-235;;230;602.5;2;385.56;380.65;364.50;79.28;Yes;Poland;;PZKFiTS;IPF;2014-03-28;Poland;;Minsk Mazowiecki;Polish Classic Powerlifting Championships
Albert Potocki;M;SBD;Raw;21.5;20-23;19-23;Seniorzy;91.9;93;225;-230;;;225;140;147.5;-152.5;;147.5;230;-235;-235;;230;602.5;9;385.56;380.65;364.50;79.28;Yes;Poland;;PZKFiTS;IPF;2014-03-28;Poland;;Minsk Mazowiecki;Polish Classic Powerlifting Championships
Albert Potocki;M;SBD;Single-ply;20.5;20-23;19-23;Juniorzy do lat 23;90.2;93;185;205;210;;210;140;147.5;-150;;147.5;200;-215;215;;215;572.5;6;369.77;365.07;349.85;63.10;Yes;Poland;;PZKFiTS;IPF;2013-11-23;Poland;;Minsk Mazowiecki;Polish Powerlifting Championships
Albert Potocki;M;SBD;Single-ply;20.5;20-23;19-23;Seniorzy;90.2;93;185;205;210;;210;140;147.5;-150;;147.5;200;-215;215;;215;572.5;7;369.77;365.07;349.85;63.10;Yes;Poland;;PZKFiTS;IPF;2013-11-23;Poland;;Minsk Mazowiecki;Polish Powerlifting Championships
Albert Potocki;M;SBD;Single-ply;19.5;20-23;19-23;Juniorzy do lat 20;86.2;93;175;195;-200;;195;130;135;-140;;135;180;190;210;;210;540;3;357.07;352.72;338.70;61.02;Yes;Poland;;PZKFiTS;IPF;2012-06-22;Poland;;Kielce;Polish Under 20 & Weteranki Championships & Polish Cup
Albert Potocki;M;SBD;Single-ply;19.5;20-23;19-23;Seniorzy;86.2;93;175;195;-200;;195;130;135;-140;;135;180;190;210;;210;540;6;357.07;352.72;338.70;61.02;Yes;Poland;;PZKFiTS;IPF;2012-06-22;Poland;;Kielce;Polish Under 20 & Weteranki Championships & Polish Cup
