Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Albert Smirnov;M;SBD;Raw;29.5;24-34;24-39;Open;96.5;105;;;;;230;;;;;135;;;;;250;615;2;384.58;379.89;363.14;79.03;Yes;Russia;;FPR;IPF;2017-05-20;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Cup
Albert Smirnov;M;SBD;Raw;29.5;24-34;24-39;Open;96.5;105;;;;;230;;;;;135;;;;;250;615;2;384.58;379.89;363.14;79.03;Yes;Russia;;FPR;IPF;2017-05-20;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Cup
Albert Smirnov;M;SBD;Single-ply;29.5;24-34;24-39;Open;91.8;93;;;;;215;;;;;120;;;;;230;565;4;361.75;357.15;342.01;61.69;Yes;Russia;;FPR;IPF;2017-03-11;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Albert Smirnov;M;SBD;Raw;27.5;24-34;24-39;Open;102.85;105;;;;;220;;;;;130;;;;;245;595;4;361.89;358.21;342.04;74.18;Yes;Russia;;FPR;IPF;2015-12-11;Russia;IRK;Irkutsk;Siberian Powerlifting Championships
Albert Smirnov;M;SBD;Raw;27.5;24-34;24-39;Open;92.5;93;;;;;240;;;;;145;;;;;270;655;2;417.83;412.52;394.91;85.91;Yes;Russia;;FPR;IPF;2015-05-22;Russia;IRK;Shelekhov;Irkutsk Powerlifting Cup & Shelekhov Juniors & Sub-Juniors Powerlifting Championships
Albert Smirnov;M;SBD;Raw;27.5;24-34;24-39;Open;91.9;93;;;;;205;;;;;140;;;;;220;565;5;361.56;356.96;341.81;74.35;Yes;Russia;;FPR;IPF;2015-05-17;Russia;IRK;Shelkhov;Irkutsk Oblast Powerlifting Cup
Albert Smirnov;M;SBD;Raw;25.5;24-34;24-39;Open;99;105;;;;;220;;;;;170;;;;;250;640;1;395.66;391.08;373.60;81.24;Yes;Russia;;FPR;IPF;2013-05-18;Russia;IRK;Irkutsk;Irkutsk Oblast Powerlifting Cup
Albert Smirnov;M;SBD;Single-ply;23.5;24-34;24-39;Open;99.8;105;;;;;265;;;;;160;;;;;260;685;3;421.99;417.22;398.50;71.70;Yes;Russia;;FPR;IPF;2011-05-07;Russia;IRK;Irkutsk;Irkutsk Oblast Powerlifting Championships
Albert Smirnov;M;SBD;Single-ply;22.5;20-23;19-23;Open;94;100;;;;;290;;;;;157.5;;;;;265;712.5;1;451.02;445.35;426.07;76.84;Yes;Russia;;FPR;IPF;2010-02-26;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Albert Smirnov;M;SBD;Single-ply;21.5;20-23;19-23;Open;89.35;90;;;;;290;;;;;167.5;;;;;260;717.5;3;465.64;459.75;440.77;79.49;Yes;Russia;;FPR;IPF;2009-05-15;Russia;IRK;Shelekhov;Irkutsk Oblast Powerlifting Championships
Albert Smirnov;M;B;Single-ply;21.5;20-23;19-23;Open;89.75;90;;;;;;155;165;167.5;;167.5;;;;;;167.5;5;108.46;107.08;102.64;56.60;Yes;Russia;;FPR;IPF;2009-04-12;Russia;IRK;Irkutsk;Irkutsk Bench Press Championships
Albert Smirnov;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;91.5;100;;;;;282.5;;;;;175;;;;;270;727.5;2;466.55;460.61;441.14;79.57;Yes;Russia;;FPR;IPF;2009-02-01;Russia;IRK;Cheremkhovo;Irkutsk Oblast Juniors Powerlifting Championships
Albert Smirnov;M;SBD;Single-ply;20.5;20-23;19-23;Open;89;90;;;;;275;;;;;160;;;;;250;685;4;445.44;439.82;421.73;76.05;Yes;Russia;;FPR;IPF;2008-05-17;Russia;IRK;Irkutsk;Irkutsk Oblast Powerlifting Championships
Albert Smirnov;M;SBD;Single-ply;20.5;20-23;19-23;Open;88.7;90;;;;;250;;;;;145;;;;;215;610;1;397.36;392.36;376.28;67.85;Yes;Russia;;FPR;IPF;2008-02-23;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Albert Smirnov;M;SBD;Single-ply;19.5;20-23;19-23;Open;80.45;82.5;;;;;242.5;;;;;130;;;;;225;597.5;5;410.65;406.48;391.56;70.28;Yes;Russia;;FPR;IPF;2007-11-23;Russia;IRK;Irkutsk;Irkutsk Obast Powerlifting Cup
Albert Smirnov;M;SBD;Single-ply;19.5;20-23;19-23;Open;80.95;82.5;;;;;255;;;;;120;;;;;220;595;5;407.46;403.22;388.31;69.73;Yes;Russia;;FPR;IPF;2007-05-04;Russia;IRK;Irkutsk;Irkutsk Oblast Powerlifting Championships
Albert Smirnov;M;SBD;Single-ply;18.5;18-19;19-23;Open;81.45;82.5;;;;;210;;;;;120;;;;;200;530;7;361.65;357.81;344.49;61.89;Yes;Russia;;FPR;IPF;2006-11-17;Russia;IRK;Irkutsk;Irkutsk Oblast Powerlifting Cup
Albert Smirnov;M;SBD;Single-ply;15.5;16-17;14-18;Open;72.85;75;;;;;190;;;;;105;;;;;180;475;17;347.28;345.53;334.28;59.47;Yes;Russia;;FPR;IPF;2003-05-02;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
