Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Al Bianchi;M;D;Raw;51;50-54;50-59;Open;100;100;;;;;;;;;;;;;;;275;275;1;169.27;167.36;159.85;;Yes;USA;;WABDL;;2018-11-13;USA;NV;Las Vegas;World Championships
Al Bianchi;M;D;Raw;51;50-54;50-59;Masters 47-53;100;100;;;;;;;;;;;;;;;275;275;1;169.27;167.36;159.85;;Yes;USA;;WABDL;;2018-11-13;USA;NV;Las Vegas;World Championships
Al Bianchi;M;D;Raw;50.5;50-54;50-59;Law-Fire Open;100;100;;;;;;;;;;;;;;;265;265;1;163.11;161.28;154.04;;Yes;USA;MA;WABDL;;2018-06-23;USA;ME;Portland;NE Regional BP & DL
Al Bianchi;M;D;Raw;50.5;50-54;50-59;Masters 47-53;100;100;;;;;;;;;;;;;;;265;265;1;163.11;161.28;154.04;;Yes;USA;MA;WABDL;;2018-06-23;USA;ME;Portland;NE Regional BP & DL
Al Bianchi;M;D;Raw;49.5;45-49;50-59;Law-Fire 48-55;100;100;;;;;;;;;;;;;;;272.5;272.5;1;167.73;165.84;158.40;;Yes;USA;MA;WABDL;;2017-06-03;USA;;;Northeast Regional
Al Bianchi;M;D;Raw;49.5;45-49;50-59;Masters 47-53;100;100;;;;;;;;;;;;;;;272.5;272.5;1;167.73;165.84;158.40;;Yes;USA;MA;WABDL;;2017-06-03;USA;;;Northeast Regional
Al Bianchi;M;D;Raw;49;45-49;50-59;Open;100;100;;;;;;;;;;;;;;;272.5;272.5;1;167.73;165.84;158.40;;Yes;USA;MA;WABDL;;2017-05-27;USA;AZ;;National Push-Pull
Al Bianchi;M;D;Raw;49;45-49;50-59;Masters 47-53;100;100;;;;;;;;;;;;;;;272.5;272.5;1;167.73;165.84;158.40;;Yes;USA;MA;WABDL;;2017-05-27;USA;AZ;;National Push-Pull
Al Bianchi;M;D;Raw;49;45-49;50-59;Law-Fire 48-55;100;100;;;;;;;;;;;;;;;267.5;267.5;1;164.65;162.80;155.49;;Yes;USA;MA;WABDL;;2017-04-15;USA;WI;Wisconsin Dells;Nationals
Al Bianchi;M;D;Raw;49;45-49;50-59;Masters 47-53;100;100;;;;;;;;;;;;;;;267.5;267.5;1;164.65;162.80;155.49;;Yes;USA;MA;WABDL;;2017-04-15;USA;WI;Wisconsin Dells;Nationals
Al Bianchi;M;D;Single-ply;49;45-49;40-49;Law-Fire 48-55;90;90;;;;;;;;;;;;;;;275;275;1;177.82;175.56;168.26;;Yes;USA;MA;WABDL;;2016-12-05;USA;NV;Las Vegas;World Championships
