Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Albina Galimova;F;SBD;Raw;31.5;24-34;24-39;Open;56.96;57;;;;;130;;;;;70;;;;;152.5;352.5;6;404.04;409.26;361.89;82.73;Yes;Russia;;FPR;IPF;2022-03-02;Russia;TUL;Tula;Russian Classic Powerlifting Championships
Albina Galimova;F;SBD;Raw;30.5;24-34;24-39;Open;56.52;57;;;;;125;;;;;72.5;;;;;150;347.5;1;400.34;405.92;358.98;82.03;Yes;Russia;;FPR;IPF;2021-12-03;Russia;NIZ;Gorodets;Volga Classic Powerlifting Championships
Albina Galimova;F;SBD;Raw;28.5;24-34;24-39;Open;56.5;57;;;;;120;;;;;70;;;;;140;330;2;380.27;385.58;341.00;77.92;Yes;Russia;;FPR;IPF;2019-12-05;Russia;NIZ;Arzamas;Volga Powerlifting Championships
Albina Galimova;F;SBD;Raw;28.5;24-34;24-39;Open;55.54;57;;;;;127.5;;;;;70;;;;;130;327.5;5;381.70;387.84;343.12;78.36;Yes;Russia;;FPR;IPF;2019-05-26;Russia;LEN;St. Petersburg;White Nights
Albina Galimova;F;SBD;Raw;28.5;24-34;24-39;Open;55.36;57;;;;;120;;;;;70;;;;;137.5;327.5;8;382.52;388.83;344.02;78.56;Yes;Russia;;FPR;IPF;2019-03-03;Russia;MOW;Moscow;Russian Classic Powerlifting Championships
Albina Galimova;F;SBD;Raw;27.5;24-34;24-39;Open;55.4;57;;;;;125;;;;;67.5;;;;;142.5;335;1;391.09;397.51;351.69;80.31;Yes;Russia;;FPR;IPF;2018-12-05;Russia;PER;Perm;Volga Powerlifting Championships
Albina Galimova;F;SBD;Single-ply;26.5;24-34;24-39;Open;56.7;57;;;;;152.5;;;;;75;;;;;147.5;375;12;431.12;436.95;386.41;72.12;Yes;Russia;;FPR;IPF;2017-03-20;Russia;SVE;Yekaterinburg;Russian Powerlifting Championships
Albina Galimova;F;SBD;Raw;24.5;24-34;24-39;Open;54.55;57;;;;;107.5;;;;;55;;;;;115;277.5;2;327.34;333.29;294.99;67.35;Yes;Russia;;FPR;IPF;2015-12-03;Russia;NIZ;Arzamas;Volga Powerlifting Championships
Albina Galimova;F;S;Wraps;24.5;24-34;24-39;Amateur Open;54.6;56;-110;-110;-110;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;NAP;IPA;2015-05-28;Russia;KRS;Sochi;European Championships
Albina Galimova;F;D;Raw;24.5;24-34;24-39;Amateur Open;54.6;56;;;;;;;;;;;70;82.5;95;;95;95;1;111.99;114.02;100.91;;Yes;Russia;;NAP;IPA;2015-05-28;Russia;KRS;Sochi;European Championships
Albina Galimova;F;S;Wraps;24.5;24-34;24-39;Amateur Open;54.7;56;90;97.5;-102.5;;97.5;;;;;;;;;;;97.5;1;114.80;116.85;103.41;;Yes;Russia;;NAP;IPA;2015-04-05;Russia;SVE;Yekaterinbourg;European Championships
