Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aldair Aliev;M;SBD;Raw;26;24-34;24-39;Open;66.9;67.5;160;-170;-170;;160;-130;-130;-130;;;;;;;;;DQ;;;;;;Russia;;WRPF;WRPF;2019-03-31;Russia;YAR;Yaroslavl;Russian Powerlifting Championships
Aldair Aliev;M;D;Raw;26;24-34;24-39;Open;66.9;67.5;;;;;;;;;;;212.5;217.5;-222.5;;217.5;217.5;1;168.73;168.90;164.02;;;Russia;;WRPF;WRPF;2019-03-31;Russia;YAR;Yaroslavl;Russian Powerlifting Championships
Aldair Aliev;M;BD;Raw;26;24-34;24-39;Open;66.9;67.5;;;;;;-130;-130;-130;;;;;;;;;DQ;;;;;;Russia;;WRPF;WRPF;2019-03-31;Russia;YAR;Yaroslavl;Russian Powerlifting Championships
Aldair Aliev;M;D;Raw;26;24-34;24-39;Open;66.3;67.5;;;;;;;;;;;210;-215;215;-222.5;215;215;1;167.89;168.19;163.40;;;Russia;;IPL;IPL;2018-12-08;Russia;LEN;St. Petersburg;Drug Tested St. Petersburg Open
Aldair Aliev;M;BD;Raw;26;24-34;24-39;Open;66.3;67.5;;;;;;-130;-130;130;;130;210;-215;215;-222.5;215;345;1;269.41;269.89;262.20;;;Russia;;IPL;IPL;2018-12-08;Russia;LEN;St. Petersburg;Drug Tested St. Petersburg Open
Aldair Aliev;M;D;Raw;25;24-34;24-39;Amateur Open;66;67.5;;;;;;;;;;;-212.5;212.5;-222.5;;212.5;212.5;1;166.50;166.85;162.13;;Yes;Russia;;WRPF;WRPF;2018-10-19;Russia;LEN;St. Petersburg;Eastern European Championships
Aldair Aliev;M;SBD;Wraps;25;24-34;24-39;Amateur Open;65.8;67.5;-145;145;;;145;125;130;132.5;;132.5;-212.5;212.5;-222.5;;212.5;490;1;384.79;385.71;374.85;76.51;Yes;Russia;;WRPF;WRPF;2018-10-19;Russia;LEN;St. Petersburg;Eastern European Championships
Aldair Aliev;M;D;Raw;25;24-34;24-39;Open;68.7;75;;;;;;;;;;;30;207.5;212.5;;212.5;212.5;1;161.73;161.57;156.71;;Yes;Russia;;RPU;;2018-09-28;Russia;LEN;St. Petersburg;Neva Battle
Aldair Aliev;M;D;Raw;25;24-34;24-39;Open;66.7;67.5;;;;;;;;;;;-215;-215;215;;215;215;1;167.15;167.37;162.55;;Yes;Russia;;RPU;;2018-09-22;Russia;;Yaroslavl;White Stone Tournament
Aldair Aliev;M;SBD;Wraps;25;24-34;24-39;Open;66.7;67.5;-145;-145;145;;145;120;125;130;;130;205;210;215;;215;490;1;380.96;381.45;370.47;75.96;Yes;Russia;;RPU;;2018-09-22;Russia;;Yaroslavl;White Stone Tournament
Aldair Aliev;M;B;Raw;25;24-34;24-39;Open;66.2;67.5;;;;;;-120;125;130;;130;;;;;;130;2;101.63;101.82;98.93;73.62;Yes;Russia;;IPL;IPL;2018-05-25;Russia;MOW;Dolgoprudnyy;European Championships
Aldair Aliev;M;SBD;Raw;25;24-34;24-39;Open;66.2;67.5;-130;135;142.5;;142.5;-120;125;130;;130;185;190;200;;200;472.5;1;369.39;370.09;359.56;73.54;Yes;Russia;;IPL;IPL;2018-05-25;Russia;MOW;Dolgoprudnyy;European Championships
Aldair Aliev;M;D;Raw;25;24-34;24-39;Open;66.2;67.5;;;;;;;;;;;185;190;200;;200;200;2;156.36;156.65;152.20;;Yes;Russia;;IPL;IPL;2018-05-25;Russia;MOW;Dolgoprudnyy;European Championships
Aldair Aliev;M;D;Raw;25;24-34;24-39;Open;66.2;67.5;;;;;;;;;;;200;-212.5;-212.5;;200;200;1;156.36;156.65;152.20;;Yes;Russia;;IPL;IPL;2018-05-25;Russia;MOW;Dolgoprudnyy;European Championships
Aldair Aliev;M;B;Raw;25;24-34;24-39;Amateur Open;69.5;75;;;;;;120;125;-127.5;;125;;;;;;125;4;94.36;94.19;91.31;68.94;Yes;Russia;;WRPF;WRPF;2018-03-24;Russia;;Yaroslavl;Russian Championships
