Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aldo Ballesteros;M;SBD;Wraps;27;24-34;24-39;Open;84.95;90;-270;270;290;;290;-170;170;-180;;170;260;-280;-280;;260;720;1;479.86;474.16;455.63;98.51;;Argentina;;AAP;GPA;2019-09-06;Argentina;BA;Chascomús;Campeonato Argentino
Aldo Ballesteros;M;SBD;Wraps;27;24-34;24-39;Open;82.1;82.5;230;250;-260;;250;150;160;-170;;160;-250;260;-275;;260;670;1;455.11;450.15;433.23;93.26;;Argentina;;AAP;GPA;2019-05-04;Argentina;CB;Villa María;Regional
Aldo Ballesteros;M;SBD;Wraps;26;24-34;24-39;Open;82.5;82.5;270;290;300;;300;165;-175;-175;;165;260;272.5;277.5;280.5;277.5;742.5;1;502.96;497.41;478.60;103.10;;Argentina;;AAP;GPA;2018-07-07;Argentina;;Buenos Aires;Campeonato Argentino
Aldo Ballesteros;M;D;Raw;26;24-34;24-39;Open;80.95;82.5;;;;;;;;;;;260;270;-280;;270;270;1;184.90;182.97;176.21;;;Argentina;;GPA;GPA;2017-11-22;Argentina;;Villa María;World Championships
Aldo Ballesteros;M;D;Raw;25;24-34;24-39;Open;82.5;82.5;;;;;;;;;;;230;240;;;240;240;1;162.57;160.78;154.70;;;Argentina;;AAP;GPA;2017-07-21;Argentina;;Villa María;Campeonato Argentino
Aldo Ballesteros;M;SBD;Wraps;25;24-34;24-39;Open;71.8;75;-275;-275;-275;;;;;;;;;;;;;;DQ;;;;;;Argentina;;AAP;GPA;2017-07-21;Argentina;;Villa María;Campeonato Argentino
Aldo Ballesteros;M;D;Raw;25;24-34;24-39;Open;74.5;75;;;;;;;;;;;250;-260;-260;;250;250;1;180.13;178.98;172.98;;;Argentina;;AAP;GPA;2016-12-10;Argentina;;Buenos Aires;Campeonato Argentino Amateur WRPF
Aldo Ballesteros;M;B;Raw;25;24-34;24-39;Open;76;82.5;;;;;;150;-155;-160;;150;;;;;;;DQ;;;;;;Argentina;;AAP;GPA;2016-12-10;Argentina;;Buenos Aires;Campeonato Argentino Amateur WRPF
Aldo Ballesteros;M;SBD;Wraps;24;24-34;24-39;Open;74.8;75;245;260;-270;;260;147.5;157.5;-165.5;;157.5;240;-260;260;;260;677.5;1;486.88;483.66;467.38;98.91;;Argentina;;GPA;GPA;2016-10-14;Argentina;;Villa Maria;Sudamericano
Aldo Ballesteros;M;SBD;Wraps;24;24-34;24-39;Open;74.3;75;-230;245;-247.5;;245;130;142.5;150;;150;240;-260.5;260.5;;260.5;655.5;1;473.11;470.16;454.47;96.03;;Argentina;CN;AAP;GPA;2016-08-12;Argentina;;Corrientes;Campeonato Argentino
Aldo Ballesteros;M;SBD;Wraps;23;20-23;24-39;Juniors 20-23;67.2;67.5;190;200;-210;;200;-125;130;135;;135;200;220;-220.5;;220;555;1;429.15;429.45;416.94;85.70;;Argentina;;GPA;GPA;2015-09-02;Brazil;;Veranopolis;Panamericano
Aldo Ballesteros;M;SBD;Wraps;23;20-23;24-39;Open;67.2;67.5;190;200;-210;;200;-125;130;135;;135;200;220;-220.5;;220;555;1;429.15;429.45;416.94;85.70;;Argentina;;GPA;GPA;2015-09-02;Brazil;;Veranopolis;Panamericano
Aldo Ballesteros;M;SBD;Wraps;23;20-23;24-39;Jun;66.2;67.5;190;-210;-210;;190;120;130;-132.5;;130;200;-220;220;;220;540;1;422.16;422.95;410.93;84.04;;Argentina;CN;AAP;GPA;2015-07-10;Argentina;;Chascomús;Campeonato Argentino Powerlifting & Bench Press
