Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alec Smith;M;SBD;Single-ply;19;18-19;19-23;Boys;74.39;74.8;;;;;136.08;;;;;74.84;;;;;145.15;356.07;11;256.80;255.18;246.65;43.98;Yes;USA;;THSPA;;2017-02-18;USA;TX;Bay City;Bay City PL Classic
Alec Smith;M;SBD;Single-ply;18;18-19;;Boys;93.62;99.7;;;;;136.08;;;;;102.06;;;;;149.69;387.82;1;245.97;242.86;232.39;41.91;Yes;USA;;THSPA;;2016-01-30;USA;TX;Lone Oak;Lone Oak High School
Alec Smith;M;B;Raw;15.5;16-17;14-18;Special Olympics;52;52;;;;;;;;;;24.95;;;;;;24.95;1;23.90;24.48;24.11;16.16;Yes;USA;NC;IronBoy;;2013-06-22;USA;NC;Spruce Pine;Beast of the Bench
Alec Smith;M;SBD;Single-ply;14;13-15;14-18;Boys;85;89.8;;;;;167.83;;;;;124.74;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2012-02-18;USA;TX;Howe;Howe Meet
Alec Smith;M;SBD;Single-ply;14;13-15;14-18;Boys;84.28;89.8;;;;;172.37;;;;;127.01;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2012-02-11;USA;TX;;Van Alstyne Powerlifting Meet
Alec Smith;M;SBD;Single-ply;13.5;13-15;14-18;Boys;84.05;89.8;;;;;167.83;;;;;122.47;;;;;183.7;474;2;317.76;314.07;301.94;54.34;Yes;USA;;THSPA;;2012-01-28;USA;TX;Quinlan Boles;Boles Invational
Alec Smith;M;SBD;Single-ply;13.5;13-15;14-18;Boys;84.19;89.8;;;;;163.29;;;;;122.47;;;;;183.7;469.47;14;314.43;310.77;298.75;53.77;Yes;USA;;THSPA;;2012-01-21;USA;TX;Middle school gym;Royse City Invitational
Alec Smith;M;SBD;Single-ply;13.5;13-15;14-18;Boys;84.46;89.8;;;;;142.88;;;;;108.86;;;;;183.7;435.45;5;291.13;287.72;276.55;49.78;Yes;USA;;THSPA;;2012-01-07;USA;TX;Anna;Anna Powerlifting Meet
Alec Smith;M;SBD;Single-ply;13.5;13-15;;Boys;87.45;89.8;;;;;142.88;;;;;104.33;;;;;174.63;421.84;7;276.82;273.38;262.35;47.29;Yes;USA;;THSPA;;2011-02-19;USA;TX;Greenville;Greenville Invitational
Alec Smith;M;SBD;Single-ply;13;13-15;;Boys;85.05;89.8;;;;;124.74;;;;;104.33;;;;;161.03;390.09;1;259.82;256.73;246.68;44.42;Yes;USA;;THSPA;;2011-01-29;USA;TX;Boles;Boles Invitational
