Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleem Majid;M;SBD;Raw;26.5;24-34;24-39;MR-O;98.7;105;250;265;-280;;265;145;157.5;165;;165;260;275;-280;;275;705;1;436.43;431.34;412.08;89.62;Yes;England;GL;EPA;IPF;2019-11-02;England;;;South East Open
Aleem Majid;M;SBD;Raw;26.5;24-34;24-39;MR-O;92.7;93;255;267.5;275;;275;145;152.5;-157.5;;152.5;255;272.5;-280;;272.5;700;4;446.07;440.41;421.57;91.72;Yes;England;GL;EPA;IPF;2019-06-01;England;;Manchester;Men's All England Powerlifting Championships
Aleem Majid;M;SBD;Raw;25.5;24-34;24-39;M-C-Open;94.2;105;250;260;-270;;260;150;-160;-160;;150;260;277.5;-285;;277.5;687.5;1;434.76;429.30;410.69;89.38;Yes;England;GL;EPA;IPF;2018-11-17;England;;Dover;South East Open
Aleem Majid;M;SBD;Raw;25.5;24-34;24-39;M-C-Open;93;93;240;255;265;;265;142.5;155;-162.5;;155;250;267.5;280;;280;700;7;445.38;439.73;420.87;91.57;Yes;England;GL;BP;IPF;2018-09-01;UK;;Portsmouth;British Men's Powerlifting Championships
Aleem Majid;M;SBD;Raw;25.5;24-34;24-39;M-C-Open;92.9;93;250;260;265;;265;145;155;160;;160;255;270;-277.5;;270;695;5;442.42;436.82;418.10;90.97;Yes;England;;EPA;IPF;2018-05-26;England;;Northampton;All England Powerlifting Championships
Aleem Majid;M;SBD;Raw;24.5;24-34;24-39;M-C-Open;92.3;93;245;260;-267.5;;260;145;-150;;;145;250;265;-275;;265;670;7;427.85;422.41;404.41;87.97;Yes;England;;BP;IPF;2017-10-21;UK;;;British Men's Classic Championships
Aleem Majid;M;SBD;Raw;24;24-34;24-39;M-C-Open;92.55;93;235;245;255;;255;145;-150;150;;150;240;255;272.5;;272.5;677.5;2;432.07;426.58;408.36;88.84;Yes;England;;BP;IPF;2017-03-25;UK;;;British University Championships
Aleem Majid;M;SBD;Wraps;23.5;24-34;24-39;Junior;88.8;90;-240;240;-260;;240;130;140;-150;;140;240;250;-260;;250;630;1;410.15;404.98;388.36;84.31;;England;;WPU;;2016-10-11;Ireland;;;World Championships
Aleem Majid;M;SBD;Raw;23.5;24-34;24-39;M-C-Open;92;93;235;245;-255;;245;-140;145;-152.5;;145;240;250;260;;260;650;10;415.74;410.45;393.01;85.48;Yes;England;WM;BP;IPF;2016-10-01;UK;;Northamptonshire;British Classic Men
Aleem Majid;M;SBD;Raw;23.5;24-34;24-39;M-C-Open;92.1;93;225;235;245;;245;130;140;150;;150;240;260;275;;275;670;2;428.30;422.85;404.87;88.07;Yes;England;EM;EPA;IPF;2016-06-04;England;;Northampton;East Midlands Farm Qualifier
Aleem Majid;M;SBD;Raw;23;20-23;24-39;MJun-Ra;93.3;100;230;250;-260;;250;140;150;;;150;250;270;-280;;270;670;2;425.63;420.25;402.17;87.51;;England;;BPF;WRPF;2016-05-06;UK;;;British Championships
Aleem Majid;M;SBD;Raw;23;20-23;24-39;MJun-Ra;92;100;200;220;240;;240;120;130;150;;150;220;240;260;-275.5;260;650;1;415.74;410.45;393.01;85.48;;England;;BPF;WRPF;2016-02-28;UK;;;British Qualifier
Aleem Majid;M;SBD;Wraps;22.5;20-23;19-23;Junior;89.6;90;250;-275.5;-275.5;;250;130;140;145;;145;250;-262.5;-262.5;;250;645;2;418.00;412.70;395.61;85.94;;England;;WPU;;2015-06-25;UK;;;European Championships
Aleem Majid;M;SBD;Wraps;22;20-23;19-23;MJun-CR;91.3;100;240;250;260;;260;130;;;;130;250;260;;;260;650;1;417.30;411.99;394.61;85.80;;England;;BPF;WRPF;2015-04-11;UK;;;Qualifier
Aleem Majid;M;D;Single-ply;22;20-23;19-23;MJun-SP;89.3;90;;;;;;;;;;;245;;;;245;245;1;159.04;157.03;150.55;;;England;;BPF;WRPF;2015-03-01;England;;Derby;Derby Qualifier
Aleem Majid;M;SBD;Single-ply;22;20-23;19-23;MJun-SP;89.3;90;225;235;245;;245;125;130;135;;135;240;252.5;265;;265;645;1;418.71;413.42;396.35;71.48;;England;;BPF;WRPF;2015-03-01;England;;Derby;Derby Qualifier
Aleem Majid;M;D;Raw;21.5;20-23;19-23;Junior;87.4;90;;;;;;;;;;;220;240;-260;;240;240;1;157.54;155.59;149.31;;;England;;WPU;;2014-06-26;Ireland;;Limerick;World Championships
Aleem Majid;M;SBD;Wraps;21.5;20-23;19-23;Junior;87;90;225;230;240;;240;115;122.5;-127.5;;122.5;250;-260;-265;;250;612.5;2;403.03;398.05;382.07;82.81;;England;;WPU;;2014-06-26;Ireland;;Limerick;World Championships
Aleem Majid;M;SBD;Raw;21;20-23;19-23;MJun-Ra;86;90;185;210;217.5;;217.5;115;-122.5;-122.5;;115;230;250;-270;;250;582.5;2;385.65;380.97;365.87;79.21;;England;;BPF;WRPF;2014-04-26;UK;;Mansfield;British Championships
Aleem Majid;M;SBD;Raw;21;20-23;19-23;MJun-Ra;85.8;90;175;190;205;;205;105;115;;;115;205;235;260;;260;580;2;384.47;379.83;364.81;78.96;;England;;BPF;WRPF;2014-02-23;UK;;;British Qualifier
Aleem Majid;M;SBD;Wraps;20.5;20-23;19-23;J;79.8;82.5;160;180;200;;200;80;100;-120;;100;200;220;240;;240;540;1;372.91;369.24;355.81;76.26;;England;;WPU;;2013-11-14;Netherlands;;Emmeloord;World Powerlifting Championship
