Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alejandro Guzman;M;SBD;Single-ply;;;;Boys;58.06;59.8;;;;;127.01;;;;;65.77;;;;;149.69;342.46;9;297.09;301.12;294.60;50.49;Yes;USA;;THSPA;;2021-03-04;USA;TX;Whitehouse;Region 3
Alejandro Guzman;M;SBD;Single-ply;;;;Boys;58.88;59.8;;;;;124.74;;;;;65.77;;;;;142.88;333.39;1;285.82;289.32;282.83;48.62;Yes;USA;;THSPA;;2021-02-24;USA;TX;South Garland;South Garland Meet
Alejandro Guzman;M;SBD;Single-ply;;;;Boys;54.61;55.7;;;;;111.13;;;;;47.63;;;;;124.74;283.5;5;259.50;264.58;259.80;43.90;Yes;USA;;THSPA;;2020-02-22;USA;TX;Forney Indoor;Forney Jackrabbit Classic
Alejandro Guzman;M;B;Raw;;16-17;14-18;Teen 16-17;117.5;117.5;;;;;;;;;;77.5;;;;;;77.5;1;44.83;44.78;42.90;32.99;Yes;USA;TX;WABDL;;2018-08-04;USA;;;Southwest Regional
Alejandro Guzman;M;D;Raw;;16-17;14-18;Teen 16-17;117.5;117.5;;;;;;;;;;;;;;;155;155;1;89.65;89.57;85.79;;Yes;USA;TX;WABDL;;2018-08-04;USA;;;Southwest Regional
Alejandro Guzman;M;BD;Raw;;16-17;14-18;Teen 16-17;117.5;117.5;;;;;;;;;;77.5;;;;;155;232.5;1;134.48;134.35;128.69;;Yes;USA;TX;WABDL;;2018-08-04;USA;;;Southwest Regional
Alejandro Guzman;M;D;Raw;;13-15;14-18;Teen 14-15;110;110;;;;;;;;;;;;;;;122.5;122.5;1;72.55;72.09;68.90;;Yes;USA;TX;WABDL;;2017-06-10;USA;TX;;Magic Valley
Alejandro Guzman;M;B;Raw;;13-15;14-18;Teen 14-15;110;110;;;;;;;;;;45;;;;;;45;1;26.65;26.48;25.31;19.73;Yes;USA;TX;WABDL;;2017-06-10;USA;TX;;Magic Valley
Alejandro Guzman;M;BD;Raw;;13-15;14-18;Teen 14-15;110;110;;;;;;;;;;45;;;;;122.5;167.5;1;99.20;98.57;94.21;;Yes;USA;TX;WABDL;;2017-06-10;USA;TX;;Magic Valley
Alejandro Guzman;M;SBD;Single-ply;;;;Boys;97.98;99.7;;;;;192.78;;;;;97.52;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2012-02-11;USA;TX;Cotulla;4th Annual Cotulla Powerlifting Meet
Alejandro Guzman;M;SBD;Single-ply;;;;Boys;98.16;99.7;;;;;181.44;;;;;92.99;;;;;172.37;446.79;4;277.26;273.98;261.78;47.15;Yes;USA;;THSPA;;2012-01-21;USA;TX;Pearsall;Pearsall Invitational
Alejandro Guzman;M;SBD;Single-ply;;;;Boys;99.34;99.7;;;;;165.56;;;;;88.45;;;;;167.83;421.84;3;260.40;257.41;245.89;44.26;Yes;USA;;THSPA;;2012-01-14;USA;TX;Uvalde;Uvalde Powerlifting Meet
