Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alejandro Lamperti;M;D;Single-ply;50;50-54;50-59;M2;89;90;;;;;;;;;;;210;225;230;-235;230;230;1;149.56;147.68;141.60;;Yes;Argentina;;APUA;WABDL;2021-10-10;Argentina;;Salta;Campeonato Nacional
Alejandro Lamperti;M;D;Single-ply;49;45-49;50-59;M2;85.7;90;;;;;;;;;;;200;212;217;;217;217;2;143.94;142.20;136.59;;Yes;Argentina;;APUA;WABDL;2021-02-27;Argentina;;Mar Del Plata;Copa Mario Sugamele
Alejandro Lamperti;M;D;Single-ply;49;45-49;50-59;M2;85.7;90;;;;;;;;;;;200;212;217;;217;217;1;143.94;142.20;136.59;;Yes;Argentina;;APUA;WABDL;2021-02-27;Argentina;;Mar Del Plata;Copa Mario Sugamele
Alejandro Lamperti;M;D;Raw;49;45-49;40-49;Pro Master;89;90;;;;;;;;;;;190;200;205;;205;205;2;133.31;131.62;126.21;;;Argentina;;WRPF-Argentina;WRPF;2020-12-19;Argentina;;;Final Tournament
Alejandro Lamperti;M;BD;Single-ply;48;45-49;40-49;M2;89.3;90;;;;;;130;140;147.5;150;147.5;190;205;212.5;;212.5;360;1;233.70;230.74;221.22;;Yes;Argentina;;APUA;WABDL;2019-10-05;Argentina;;Misiones;Sudamericano
Alejandro Lamperti;M;B;Single-ply;47;45-49;40-49;M2;84.7;90;;;;;;110;120;125;;125;;;;;;125;1;83.44;82.46;79.25;43.87;Yes;Argentina;;APUA;WABDL;2019-06-01;Argentina;;Merlo;Campeonato Nacional
Alejandro Lamperti;M;D;Single-ply;47;45-49;40-49;Masters 47-53;90;90;;;;;;;;;;;;;;;210;210;2;135.79;134.06;128.49;;Yes;Argentina;;WABDL;;2018-11-13;USA;NV;Las Vegas;World Championships
Alejandro Lamperti;M;BD;Single-ply;47;45-49;40-49;Masters 47-53;90;90;;;;;;;;;;147.5;;;;;210;357.5;1;231.16;228.23;218.73;;Yes;Argentina;;WABDL;;2018-11-13;USA;NV;Las Vegas;World Championships
Alejandro Lamperti;M;B;Single-ply;47;45-49;40-49;Masters 47-53;90;90;;;;;;;;;;147.5;;;;;;147.5;1;95.37;94.16;90.25;49.76;Yes;Argentina;;WABDL;;2018-11-13;USA;NV;Las Vegas;World Championships
Alejandro Lamperti;M;BD;Single-ply;46;45-49;40-49;M1;86;90;;;;;;125;130;-135;;130;170;180;-190;;180;310;1;205.24;202.75;194.71;;Yes;Argentina;BA;APUA;WABDL;2018-09-08;Argentina;;;Campeonato Nacional
Alejandro Lamperti;M;B;Multi-ply;40;40-44;40-49;M 40-44;83.8;90;;;;;;120;130;135;;135;;;;;;135;2;90.65;89.61;86.16;47.73;;Argentina;;AAP;GPA;2012-05-18;Argentina;;Villa Maria;Campeonato Argentino Powerlifting & Bench Press
