Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Abramenko;M;B;Raw;40.5;40-44;40-49;Masters 40-44;73.7;75;;;;;;170;;;;170;;;;;;170;1;123.35;122.64;118.59;90.86;;Kazakhstan;;WPA;;2019-08-10;Russia;KRS;Kursk;World Champions Cup
Aleksandr Abramenko;M;B;Raw;40.5;40-44;40-49;Open;73.7;75;;;;;;170;;;;170;;;;;;170;2;123.35;122.64;118.59;90.86;;Kazakhstan;;WPA;;2019-08-10;Russia;KRS;Kursk;World Champions Cup
Aleksandr Abramenko;M;B;Unlimited;40.5;40-44;40-49;Open;73.7;75;;;;;;220;240;-255;;240;;;;;;240;1;174.14;173.13;167.41;93.79;;Kazakhstan;;WPA;;2019-08-10;Russia;KRS;Kursk;World Champions Cup
Aleksandr Abramenko;M;B;Unlimited;40.5;40-44;40-49;Masters 40-44;73.7;75;;;;;;220;240;-255;;240;;;;;;240;1;174.14;173.13;167.41;93.79;;Kazakhstan;;WPA;;2019-08-10;Russia;KRS;Kursk;World Champions Cup
Aleksandr Abramenko;M;B;Unlimited;41;40-44;40-49;Pro Open;74.1;75;;;;;;-225;225;250;;250;;;;;;250;1;180.75;179.66;173.68;97.24;;;;WPC;WPC;2019-07-13;Russia;CHE;Chelyabinsk;Asian Cup
Aleksandr Abramenko;M;B;Unlimited;41;40-44;40-49;Pro Masters 40-44;74.1;75;;;;;;-225;225;250;;250;;;;;;250;1;180.75;179.66;173.68;97.24;;;;WPC;WPC;2019-07-13;Russia;CHE;Chelyabinsk;Asian Cup
Aleksandr Abramenko;M;B;Multi-ply;40;40-44;40-49;Pro Masters 40-44;74.8;75;;;;;;170;190;-220;;190;;;;;;190;1;136.54;135.64;131.07;73.31;;;;WPC-RUS;WPC;2019-03-29;Russia;NVS;Novosibirsk;Russian Championships
Aleksandr Abramenko;M;B;Raw;40;40-44;40-49;Pro Open;74.8;75;;;;;;155;160;165;;165;;;;;;165;2;118.58;117.79;113.83;87.49;;;;WPC-RUS;WPC;2019-03-29;Russia;NVS;Novosibirsk;Russian Championships
Aleksandr Abramenko;M;B;Raw;40;40-44;40-49;Pro Masters 40-44;74.8;75;;;;;;155;160;165;;165;;;;;;165;1;118.58;117.79;113.83;87.49;;;;WPC-RUS;WPC;2019-03-29;Russia;NVS;Novosibirsk;Russian Championships
Aleksandr Abramenko;M;B;Unlimited;40;40-44;40-49;Pro Masters 40-44;74.35;75;;;;;;180;190;200;;200;;;;;;200;1;144.29;143.38;138.59;77.57;;Russia;;NAP;IPA;2018-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 12
Aleksandr Abramenko;M;B;Raw;;;;Open;74.5;75;;;;;;145;155;-160;;155;;;;;;155;5;111.68;110.96;107.25;82.37;;;;WRPF;WRPF;2017-04-29;Kazakhstan;;Almaty;Asian Championships
Aleksandr Abramenko;M;B;Single-ply;15.5;16-17;14-18;Open;57.9;60;;;;;;60;65;70;;70;;;;;;70;9;60.87;61.71;60.38;35.32;Yes;Russia;;FPR;IPF;2010-05-09;Russia;KDA;Yaroslavskaya;Krasnodar Oblast Bench Press Championships
