Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandra Chizh;F;SBD;Raw;26.5;24-34;24-39;Open;61.2;63;;;;;125;;;;;80;;;;;140;345;1;377.73;378.80;334.61;76.94;Yes;Russia;;FPR;IPF;2019-12-19;Russia;MOW;Moscow;Moscow City Classic Powerlifting Cup
Aleksandra Chizh;F;SBD;Raw;25.5;24-34;24-39;Open;60.48;63;;;;;130;;;;;75;;;;;147.5;352.5;2;388.81;390.58;345.06;79.24;Yes;Russia;;FPR;IPF;2018-02-01;Russia;MOW;Moscow;Moscow City Classic Powerlifting Championships
Aleksandra Chizh;F;SBD;Raw;24.5;24-34;24-39;Open;58.66;63;;;;;120;;;;;75;;;;;142.5;337.5;1;379.55;382.94;338.45;77.52;Yes;Russia;;FPR;IPF;2017-12-25;Russia;MOW;Moscow;Moscow City Classic Powerlifting Cup
Aleksandra Chizh;F;SBD;Raw;24.5;24-34;24-39;Open;57.16;63;;;;;122.5;;;;;72.5;;;;;140;335;1;383.11;387.88;342.96;78.41;Yes;Russia;;FPR;IPF;2017-11-23;Russia;MOW;Moscow;Moscow City Classic Powerlifting Championships
Aleksandra Chizh;F;B;Raw;24.5;24-34;24-39;Open;59.62;63;;;;;;65;70;72.5;;72.5;;;;;;72.5;1;80.69;81.23;71.78;62.54;Yes;Russia;;FPR;IPF;2017-06-03;Russia;MOW;Mytishchi;Moscow Oblast Classic Bench Press Championships
Aleksandra Chizh;F;SBD;Raw;23.5;24-34;24-39;Open;58.6;63;;;;;107.5;;;;;67.5;;;;;140;315;2;354.48;357.70;316.15;72.40;Yes;Russia;;FPR;IPF;2016-11-30;Russia;TAM;Tambov;Central District Powerlifting Championships
Aleksandra Chizh;F;D;Raw;22.5;20-23;19-23;Amateur Juniors 20-23;54.1;56;;;;;;;;;;;127.5;132.5;-140;;132.5;132.5;1;157.18;160.17;141.80;;Yes;Russia;;WPC-RUS;WPC;2015-06-19;Russia;MOW;Moscow;Moscow Cup
Aleksandra Chizh;F;D;Raw;22.5;20-23;19-23;Amateur Open;54.1;56;;;;;;;;;;;127.5;132.5;-140;;132.5;132.5;1;157.18;160.17;141.80;;Yes;Russia;;WPC-RUS;WPC;2015-06-19;Russia;MOW;Moscow;Moscow Cup
Aleksandra Chizh;F;SBD;Raw;22.5;20-23;19-23;Amateur Juniors 20-23;54.7;56;-90;90;100;;100;55;60;62.5;;62.5;120;-130;-130;;120;282.5;1;332.62;338.57;299.64;68.41;Yes;Russia;;WPC-RUS;WPC;2015-02-20;Russia;MOW;Moscow;Megapolis Tournament
Aleksandra Chizh;F;D;Raw;21.5;20-23;19-23;Amateur Juniors 20-23;53.8;56;;;;;;;;;;;115;-122.5;-122.5;;115;115;1;136.93;139.62;123.62;;Yes;Russia;;WPC-RUS;WPC;2014-10-16;Russia;MOW;Moscow;Moscow PROmovement Championships
Aleksandra Chizh;F;B;Raw;21.5;20-23;19-23;Open;55.85;57;;;;;;50;-52.5;-52.5;;50;;;;;;50;3;58.06;58.95;52.15;45.14;Yes;Russia;;FPR;IPF;2014-06-12;Russia;MOW;Mytischi;Moscow Oblast Classic Bench Press Championships
Aleksandra Chizh;F;D;Raw;21.5;20-23;19-23;Amateur Juniors 20-23;52;52;;;;;;;;;;;-115;;115;;115;115;1;140.17;143.36;127.08;;Yes;Russia;;WPC-RUS;WPC;2014-06-06;Russia;MOW;Serpukhov;Okskie Bogatyrs Moscow Cup
