Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandra Churkina;F;SBD;Raw;24.5;24-34;24-39;Open;50.95;52;;;;;102.5;;;;;62.5;;;;;127.5;292.5;2;361.65;370.41;328.61;75.18;Yes;;;FPR;IPF;2017-04-20;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksandra Churkina;F;SBD;Raw;24.5;24-34;24-39;Open;51.06;52;;;;;100;;;;;57.5;;;;;122.5;280;5;345.67;353.99;314.02;71.83;Yes;;;FPR;IPF;2017-02-10;Russia;NIZ;Kstovo;Russian Classic Powerlifting Championships
Aleksandra Churkina;F;SBD;Raw;23.5;24-34;24-39;Open;51.2;52;;;;;100;;;;;60;;;;;110;270;1;332.69;340.63;302.13;69.10;Yes;;;FPR;IPF;2016-11-10;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksandra Churkina;F;SBD;Raw;23.5;24-34;24-39;Open;52.05;57;;;;;90;;;;;60;;;;;107.5;257.5;3;313.66;320.77;284.32;64.97;Yes;;;FPR;IPF;2016-09-07;Russia;NIZ;Kstovo;Russian Classic Powerlifting Cup
Aleksandra Churkina;F;B;Raw;23.5;24-34;24-39;Open;48.55;52;;;;;;55;;;;55;;;;;;55;2;70.39;72.23;64.25;56.27;Yes;;;FPR;IPF;2016-01-23;Russia;NIZ;Trans-Volga;Nizhny Novgorod Oblast Bench Press Championships
Aleksandra Churkina;F;SBD;Raw;22.5;20-23;19-23;Juniors;47;47;;;;;100;;;;;57.5;;;;;127.5;285;1;373.51;383.30;341.68;79.00;Yes;;;FPR;IPF;2015-12-22;Russia;NIZ;Arzamas;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandra Churkina;F;SBD;Raw;22.5;20-23;19-23;Open;47;47;;;;;100;;;;;61;;;;;120.5;281.5;1;368.92;378.59;337.49;78.03;Yes;;;FPR;IPF;2015-10-07;Russia;NIZ;Arzamas;Russian Universities Powerlifting Championships
Aleksandra Churkina;F;SBD;Single-ply;22.5;20-23;19-23;Open;48.4;52;;;;;;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2015-02-25;Russia;PRI;Vladivostok;Russian Powerlifting Championships
Aleksandra Churkina;F;SBD;Single-ply;22.5;20-23;19-23;Juniors;46.5;47;;;;;150;;;;;72.5;;;;;132.5;355;2;468.95;481.12;429.25;78.42;Yes;;;FPR;IPF;2015-01-13;Russia;KOS;Kostroma;Russian Juniors & Sub-Juniors Powerlifting Championships
Aleksandra Churkina;F;SBD;Raw;21.5;20-23;19-23;Juniors;46.6;47;;;;;101;;;;;60;;;;;107.5;268.5;1;354.12;363.33;324.10;75.07;Yes;;;FPR;IPF;2014-12-22;Russia;VLA;Suzdal;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandra Churkina;F;SBD;Single-ply;21.5;20-23;19-23;Open;48.75;52;;;;;87.5;;;;;60;;;;;90;237.5;3;303.05;310.96;276.51;50.64;Yes;;;FPR;IPF;2014-10-25;Russia;NIZ;Arzamas;Nizhny Novgorod Oblast Powerlifting Championships
Aleksandra Churkina;F;SBD;Raw;21.5;20-23;19-23;Juniors;46.75;47;;;;;95;;;;;61;;;;;116;272;1;357.88;367.22;327.49;75.80;Yes;;;FPR;IPF;2014-03-26;Russia;TUL;Tula;Russian Classic Powerlifting Championships
Aleksandra Churkina;F;B;Single-ply;21.5;20-23;19-23;Juniors;48.1;52;;;;;;;;;;65;;;;;;65;1;83.75;85.96;76.50;48.18;Yes;;;FPR;IPF;2014-02-08;Russia;NIZ;Zavolzhye;Nizhny Novgorod Oblast Bench Press Championships
Aleksandra Churkina;F;SBD;Single-ply;21.5;20-23;19-23;Juniors;46.55;47;;;;;147.5;;;;;77.5;;;;;127.5;352.5;3;465.28;477.36;425.86;77.81;Yes;;;FPR;IPF;2014-01-27;Russia;SVE;Asbest;Russian Juniors & Sub-Juniors Powerlifting Championships
Aleksandra Churkina;F;SBD;Raw;20.5;20-23;19-23;Open;46.85;47;;;;;87.5;;;;;55;;;;;111;253.5;1;333.01;341.72;304.69;70.49;Yes;;;FPR;IPF;2013-10-02;Russia;SAM;Samara;Russian Universities Powerlifting Championsips
Aleksandra Churkina;F;SBD;Single-ply;20.5;20-23;19-23;Juniors;46.7;47;;;;;140;;;;;75;;;;;122.5;337.5;3;444.42;456.00;406.70;74.31;Yes;;;FPR;IPF;2013-01-28;Russia;TYU;Tyumen;Russian Juniors & Sub-Juniors Powerlifting Chamionships
Aleksandra Churkina;F;SBD;Single-ply;19.5;20-23;19-23;Open;46.54;47;;;;;127.5;;;;;70;;;;;105;302.5;1;399.35;409.71;365.52;66.78;Yes;;;FPR;IPF;2012-10-14;Russia;CHE;Magnitogorsk;Russian Universities Powerlifting Championships
Aleksandra Churkina;F;SBD;Single-ply;19.5;20-23;19-23;Juniors;46.55;47;;;;;137.5;;;;;72.5;;;;;117.5;327.5;3;432.28;443.51;395.66;72.29;Yes;;;FPR;IPF;2012-03-21;Russia;NVS;Berdsk;Russian Juniors & Sub-Juniors Powerlifting Championships
Aleksandra Churkina;F;B;Single-ply;19.5;20-23;19-23;Juniors;46.5;47;;;;;;70;75;-80;;75;;;;;;75;2;99.07;101.64;90.69;57.38;Yes;;;FPR;IPF;2012-03-10;Russia;VLA;Suzdal;Russian Juniors & Sub-Juniors Bench Press & Classic Bench Press Championships
Aleksandra Churkina;F;SBD;Single-ply;18.5;18-19;19-23;Open;49.85;52;;;;;140;;;;;77.5;;;;;117.5;335;7;420.66;431.33;383.06;70.28;Yes;;;FPR;IPF;2011-09-27;Russia;LEN;St. Petersburg;Russian Powerlifting Cup
Aleksandra Churkina;F;B;Single-ply;18.5;18-19;19-23;Open;51.2;52;;;;;;72.5;77.5;80;;80;;;;;;80;1;98.57;100.93;89.52;56.16;Yes;;;FPR;IPF;2011-04-27;Russia;VLA;Vladimir;Russian Universities Bench Press Championships
Aleksandra Churkina;F;SBD;Single-ply;18.5;18-19;19-23;Juniors;51.7;52;;;;;147.5;;;;;75;;;;;127.5;350;6;428.34;438.28;388.58;71.57;Yes;;;FPR;IPF;2011-03-20;Russia;KEM;Anzhero-Sudzhensk;Russian Juniors & Sub-Juniors Powerlifting Championships
Aleksandra Churkina;F;B;Single-ply;18.5;18-19;19-23;Juniors;51.44;52;;;;;;72.5;77.5;82.5;;82.5;;;;;;82.5;3;101.32;103.71;91.97;57.68;Yes;;;FPR;IPF;2011-03-11;Russia;MOW;Bolshevik;Russian Bench Press Championships
