Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandra Ezhova;F;B;Single-ply;22;20-23;19-23;Amateur Open;57.8;60;;;;;;65;77.5;-87.5;;77.5;;;;;;77.5;1;87.99;88.95;78.64;49.54;Yes;Russia;;NAP;IPA;2018-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 12
Aleksandra Ezhova;F;B;Raw;22;20-23;19-23;Amateur Juniors 20-23;57.9;60;;;;;;-50;50;-55;;50;;;;;;50;1;56.70;57.31;50.66;43.98;Yes;Russia;;NAP;IPA;2018-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 12
Aleksandra Ezhova;F;B;Single-ply;22;20-23;19-23;Amateur Juniors 20-23;57.8;60;;;;;;65;77.5;-87.5;;77.5;;;;;;77.5;1;87.99;88.95;78.64;49.54;Yes;Russia;;NAP;IPA;2018-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 12
Aleksandra Ezhova;F;S;Multi-ply;20;20-23;19-23;Amateur Juniors 20-23;55.4;56;110;-120;-120;;110;;;;;;;;;;;110;1;128.42;130.52;115.48;;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksandra Ezhova;F;S;Multi-ply;20;20-23;19-23;Amateur Open;55.4;56;110;-120;-120;;110;;;;;;;;;;;110;1;128.42;130.52;115.48;;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksandra Ezhova;F;D;Multi-ply;20;20-23;19-23;Amateur Juniors 20-23;55.4;56;;;;;;;;;;;80;100;-110;;100;100;1;116.74;118.66;104.98;;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksandra Ezhova;F;SBD;Multi-ply;20;20-23;19-23;Amateur Open;55.4;56;110;-120;-120;;110;-62.5;-65;-65;;;-80;;;;;;DQ;;;;;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksandra Ezhova;F;SBD;Multi-ply;20;20-23;19-23;Amateur Juniors 20-23;55.4;56;110;-120;-120;;110;-62.5;-65;-65;;;-80;;;;;;DQ;;;;;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksandra Ezhova;F;B;Multi-ply;20;20-23;19-23;Amateur Juniors 20-23;55.5;56;;;;;;62.5;-70;-75;;62.5;;;;;;62.5;1;72.88;74.06;65.52;41.15;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksandra Ezhova;F;D;Multi-ply;20;20-23;19-23;Amateur Open;55.4;56;;;;;;;;;;;80;100;-110;;100;100;1;116.74;118.66;104.98;;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksandra Ezhova;F;D;Multi-ply;20;20-23;19-23;Amateur Juniors 20-23;57.65;60;;;;;;;;;;;90;100;-110;;100;100;1;113.73;115.01;101.68;;Yes;Russia;;NAP;IPA;2016-05-19;Russia;NVS;Berdsk;Siberian Challenge
Aleksandra Ezhova;F;SBD;Multi-ply;20;20-23;19-23;Amateur Juniors 20-23;57.65;60;-100;100;110;;110;55;60;65;;65;90;100;-110;;100;275;1;312.75;316.29;279.62;52.34;Yes;Russia;;NAP;IPA;2016-05-19;Russia;NVS;Berdsk;Siberian Challenge
Aleksandra Ezhova;F;SBD;Multi-ply;20;20-23;19-23;Amateur Open;57.65;60;-100;100;110;;110;55;60;65;;65;90;100;-110;;100;275;1;312.75;316.29;279.62;52.34;Yes;Russia;;NAP;IPA;2016-05-19;Russia;NVS;Berdsk;Siberian Challenge
Aleksandra Ezhova;F;D;Multi-ply;20;20-23;19-23;Amateur Open;57.65;60;;;;;;;;;;;90;100;-110;;100;100;1;113.73;115.01;101.68;;Yes;Russia;;NAP;IPA;2016-05-19;Russia;NVS;Berdsk;Siberian Challenge
Aleksandra Ezhova;F;S;Multi-ply;20;20-23;19-23;Amateur Juniors 20-23;57.65;60;-100;100;110;;110;;;;;;;;;;;110;1;125.10;126.52;111.85;;Yes;Russia;;NAP;IPA;2016-05-19;Russia;NVS;Berdsk;Siberian Challenge
Aleksandra Ezhova;F;S;Multi-ply;20;20-23;19-23;Amateur Open;57.65;60;-100;100;110;;110;;;;;;;;;;;110;1;125.10;126.52;111.85;;Yes;Russia;;NAP;IPA;2016-05-19;Russia;NVS;Berdsk;Siberian Challenge
