Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Afanasev;M;B;Raw;31.5;24-34;24-39;Amateur Open;81.9;82.5;;;;;;120;130;147.5;;147.5;;;;;;147.5;1;100.33;99.25;95.53;74.60;Yes;Russia;;NAP;IPA;2019-10-27;Russia;PRI;Artyom;Far East Championships
Aleksandr Afanasev;M;B;Raw;37;35-39;24-39;Open;81.9;82.5;;;;;;120;125;132.5;;132.5;;;;;;132.5;3;90.13;89.15;85.81;67.01;;Russia;;RPU;;2019-07-21;Russia;PRI;Artem;Primorsky Cup
Aleksandr Afanasev;M;SBD;Raw;52.5;50-54;50-59;Open;116;120;;;;;260;;;;;180;;;;;260;700;1;406.69;405.81;388.57;82.60;Yes;Russia;;FPR;IPF;2019-03-28;Russia;LEN;St. Petersburg;Russian Masters Classic Powerlifting Championships
Aleksandr Afanasev;M;B;Raw;28;24-34;24-39;Pro Open;97.7;100;;;;;;125;140;145;;145;;;;;;145;3;90.17;89.09;85.14;67.17;Yes;Russia;;WRPF;WRPF;2017-04-08;Russia;VGG;Volzhsky;South Russia Championship
Aleksandr Afanasev;M;SBD;Raw;49.5;45-49;50-59;Masters 2;109.7;120;;;;;235;;;;;170;;;;;260;665;1;394.26;391.68;374.32;80.46;Yes;Russia;;FPR;IPF;2016-03-31;Russia;NIZ;Kstovo;Russian Masters Powerlifting Championships
Aleksandr Afanasev;M;SBD;Single-ply;13.5;13-15;14-18;Sub-Juniors;122.1;93+;;;;;115;;;;;60;;;;;120;295;1;168.46;168.94;161.87;28.32;Yes;Russia;;FPR;IPF;2015-05-17;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Sub-Juniors Powerlifting Championships
Aleksandr Afanasev;M;SBD;Raw;46;45-49;40-49;Amateur Masters 45-49;109.8;110;200;-220;220;;220;160;170;175;;175;220;260;;;260;655;1;388.20;385.68;368.59;79.22;Yes;Russia;;WPC;WPC;2013-10-19;Russia;KDA;Krasnodar;Amateur Eurasian Cup
Aleksandr Afanasev;M;B;Raw;46;45-49;40-49;Amateur Masters 45-49;108.4;110;;;;;;160;167.5;;;167.5;;;;;;167.5;1;99.76;99.03;94.61;73.91;Yes;Russia;;WPC;WPC;2013-10-19;Russia;KDA;Krasnodar;Amateur Eurasian Cup
Aleksandr Afanasev;M;D;Raw;46;45-49;40-49;Amateur Open;108.4;110;;;;;;;;;;;220;240;;;240;240;2;142.94;141.89;135.56;;Yes;Russia;;WPC;WPC;2013-10-19;Russia;KDA;Krasnodar;Amateur Eurasian Cup
Aleksandr Afanasev;M;SBD;Raw;45;45-49;40-49;Amateur Masters 45-49;108.25;110;180;200;-205;;200;150;155;-160;;155;-200;205;220;;220;575;1;342.64;340.09;324.91;70.00;Yes;Russia;;WPC;WPC;2012-04-18;Russia;ROS;Rostov-on-Don;European Championships
Aleksandr Afanasev;M;B;Raw;45;45-49;40-49;Amateur Masters 45-49;108.1;110;;;;;;-150;150;-167.5;;150;;;;;;150;1;89.43;88.76;84.79;66.27;Yes;Russia;;WPC;WPC;2012-04-18;Russia;ROS;Rostov-on-Don;European Championships
