Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Akberov;M;SBD;Wraps;22;20-23;19-23;Amateur Juniors 20-23;105.1;110;240;260;-280;;260;135;145;150;;150;235;250;260;;260;670;1;403.92;400.23;382.18;82.68;Yes;Russia;;WPC-RUS;WPC;2021-12-11;Russia;MOW;Moscow;World Cup
Aleksandr Akberov;M;SBD;Wraps;19;18-19;19-23;Teen 18-19;81.3;82.5;190;-207.5;207.5;;207.5;107.5;115;-120;;115;217.5;-230;;;217.5;540;1;368.87;364.98;351.41;75.54;Yes;Russia;;WPA-RUS;WPA;2018-11-25;Russia;OMS;Omsk;Siberian Championships
Aleksandr Akberov;M;D;Raw;19;18-19;19-23;Teen 18-19;81.3;82.5;;;;;;;;;;;217.5;-230;;;217.5;217.5;1;148.57;147.01;141.54;;Yes;Russia;;WPA-RUS;WPA;2018-11-25;Russia;OMS;Omsk;Siberian Championships
Aleksandr Akberov;M;SBD;Raw;18;18-19;19-23;Amateur Open;81.7;82.5;165;180;190;;190;107.5;-117.5;117.5;;117.5;207.5;220;-232.5;;220;527.5;1;359.31;355.46;342.17;73.61;Yes;Russia;;WPC;WPC;2018-07-14;Russia;CHE;Chelyabinsk;Asian Championships
Aleksandr Akberov;M;SBD;Raw;18;18-19;19-23;Amateur Teen 18-19;81.7;82.5;165;180;190;;190;107.5;-117.5;117.5;;117.5;207.5;220;-232.5;;220;527.5;1;359.31;355.46;342.17;73.61;Yes;Russia;;WPC;WPC;2018-07-14;Russia;CHE;Chelyabinsk;Asian Championships
Aleksandr Akberov;M;SBD;Raw;18;18-19;19-23;Amateur Open;80.3;82.5;165;180;190;;190;107.5;117.5;-120;;117.5;207.5;220;230;;230;537.5;4;369.82;366.09;352.68;75.66;Yes;Russia;;WPC;WPC;2018-07-05;Russia;NVS;Novosibirsk;Eastern Europe Championships
Aleksandr Akberov;M;SBD;Raw;18;18-19;19-23;Amateur Teen 18-19;80.3;82.5;165;180;190;;190;107.5;117.5;-120;;117.5;207.5;220;230;;230;537.5;1;369.82;366.09;352.68;75.66;Yes;Russia;;WPC;WPC;2018-07-05;Russia;NVS;Novosibirsk;Eastern Europe Championships
Aleksandr Akberov;M;SBD;Raw;18;18-19;19-23;Amateur Teen 18-19;79.6;82.5;155;-165;172.5;;172.5;105;-115;-115;;105;190;205;215;;215;492.5;1;340.61;337.30;325.07;69.64;Yes;Russia;;WPC-RUS;WPC;2018-03-11;Russia;CHE;Chelyabinsk;Russian Championships
Aleksandr Akberov;M;SBD;Single-ply;18;18-19;19-23;Pro Teen 18-19;79.6;82.5;155;-165;172.5;;172.5;105;-115;-115;;105;190;205;215;;215;492.5;1;340.61;337.30;325.07;58.31;;Russia;;WPC-RUS;WPC;2018-03-11;Russia;CHE;Chelyabinsk;Russian Championships
Aleksandr Akberov;M;D;Raw;17;16-17;14-18;Pro Open;80.1;;;;;;;;;;;;185;195;205;;205;205;2;141.25;139.84;134.74;;;Russia;;WPC-RUS;WPC;2017-05-27;Russia;OMS;Omsk;Mikhail Algash Memorial Tournament
Aleksandr Akberov;M;D;Raw;17;16-17;14-18;Pro Open;80.1;;;;;;;;;;;;185;195;205;;205;205;2;141.25;139.84;134.74;;;Russia;;WPC-RUS;WPC;2017-05-27;Russia;OMS;Omsk;Mikhail Algash Memorial Tournament
Aleksandr Akberov;M;D;Raw;17;16-17;14-18;Amateur Teen 16-17;80.6;82.5;;;;;;;;;;;175;185;-200;;185;185;2;127.01;125.71;121.08;;Yes;Russia;;WPC-RUS;WPC;2017-02-18;Russia;OMS;Omsk;National Powerlifting Championships
Aleksandr Akberov;M;SBD;Raw;17;16-17;14-18;Amateur Teen 16-17;80.6;82.5;125;135;145;;145;80;85;;;85;-167.5;167.5;;;167.5;397.5;1;272.90;270.10;260.17;55.85;Yes;Russia;;WPC-RUS;WPC;2017-02-18;Russia;OMS;Omsk;National Powerlifting Championships
Aleksandr Akberov;M;D;Raw;17;16-17;14-18;Amateur Teen 16-17;80.7;82.5;;;;;;;;;;;150;160;170;;170;170;1;116.63;115.43;111.17;;Yes;Russia;;WPC-RUS;WPC;2016-10-22;Russia;OMS;Omsk;Siberian Cup
