Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Akulich;M;B;Unlimited;40;40-44;40-49;Masters 40-44;89.4;90;;;;;;280;-290;-292.5;;280;;;;;;280;1;181.66;179.36;171.95;94.85;;Russia;;RPU;;2022-06-24;Russia;VLA;Suzdal;National Championships
Aleksandr Akulich;M;B;Unlimited;40;40-44;40-49;Open;89.4;90;;;;;;280;-290;-292.5;;280;;;;;;280;1;181.66;179.36;171.95;94.85;;Russia;;RPU;;2022-06-24;Russia;VLA;Suzdal;National Championships
Aleksandr Akulich;M;B;Unlimited;40;40-44;40-49;Open;89.4;90;;;;;;280;290;-293;;290;;;;;;290;1;188.15;185.77;178.09;98.23;;Russia;;IPL;IPL;2022-05-14;Russia;MOW;Dolgoprudny;European Championships & Olympia Qualifier
Aleksandr Akulich;M;B;Unlimited;40;40-44;40-49;Pro Open;88.7;90;;;;;;310;-325;-340;;310;;;;;;310;1;201.94;199.39;191.22;105.53;;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksandr Akulich;M;B;Unlimited;39;35-39;40-49;Open;91.8;100;;;;;;-290;-290;290;;290;;;;;;290;1;185.68;183.32;175.54;96.66;;Russia;;RPU;;2021-06-26;Russia;MOW;Zhukovsky;Constellation of Power
Aleksandr Akulich;M;B;Unlimited;39;35-39;40-49;Open;91.8;100;;;;;;320;330;-350;;330;;;;;;330;1;211.29;208.60;199.76;109.99;;Russia;;RPU;;2021-06-26;Russia;MOW;Zhukovsky;Constellation of Power
Aleksandr Akulich;M;B;Unlimited;39;35-39;40-49;Open;93.7;100;;;;;;-320;320;330;;330;;;;;;330;3;209.21;206.57;197.66;108.68;;Russia;;RPU;;2021-06-19;Russia;VLA;Suzdal;National Championships
Aleksandr Akulich;M;B;Unlimited;39;35-39;40-49;Open;93.7;100;;;;;;295;305;-312.5;;305;;;;;;305;1;193.36;190.92;182.68;100.45;;Russia;;RPU;;2021-06-19;Russia;VLA;Suzdal;National Championships
Aleksandr Akulich;M;B;Unlimited;39;35-39;40-49;Pro Open;91.4;100;;;;;;270;280;-290;;280;;;;;;280;2;179.66;177.37;169.88;93.57;;Russia;;WRPF;WRPF;2021-05-08;Russia;MOW;Moscow;European Championships
Aleksandr Akulich;M;B;Unlimited;39;35-39;40-49;Open;90.9;100;;;;;;270;280;-290;;280;;;;;;280;1;180.15;177.86;170.39;93.88;;Russia;;IPL;IPL;2021-04-17;Russia;MOW;Dolgoprudny;European Championships
Aleksandr Akulich;M;B;Unlimited;39;35-39;40-49;Open;89;90;;;;;;-250;255;265;;265;;;;;;265;1;172.32;170.15;163.15;90.02;;Russia;;RPU;;2021-03-28;Russia;MOW;Dolgoprudny;National Cup
Aleksandr Akulich;M;B;Unlimited;39;35-39;24-39;Open;97.1;100;;;;;;340;355;-365;;355;;;;;;355;2;221.37;218.70;209.02;114.62;;Russia;;IPL;IPL;2020-11-21;Russia;MOW;Moscow;European Championships
Aleksandr Akulich;M;B;Unlimited;38;35-39;24-39;Open;96.9;100;;;;;;-340;340;355;;355;;;;;;355;1;221.58;218.90;209.22;114.75;;Russia;;GPA;GPA;2020-10-31;Russia;MOW;Dolgoprudny;World Championships
Aleksandr Akulich;M;B;Unlimited;38;35-39;24-39;Open;98.4;100;;;;;;290;300;305;-307.5;305;;;;;;305;1;189.06;186.84;178.51;97.78;;Russia;;RPU;;2020-09-05;Russia;VLA;Suzdal;National Championships
Aleksandr Akulich;M;B;Raw;38;35-39;24-39;Open;98.4;100;;;;;;205;212.5;-217.5;;212.5;;;;;;212.5;2;131.72;130.18;124.37;98.10;;Russia;;RPU;;2020-09-05;Russia;VLA;Suzdal;National Championships
Aleksandr Akulich;M;B;Unlimited;38;35-39;24-39;Pro Open;98;100;;;;;;285;295;305;-310;305;;;;;;305;1;189.41;187.16;178.83;97.99;;Russia;;WRPF;WRPF;2020-08-08;Russia;MOW;Moscow;European Championships
Aleksandr Akulich;M;B;Raw;37;35-39;24-39;Pro Open;97.3;100;;;;;;205;-215;-215;;205;;;;;;205;1;127.72;126.18;120.59;95.15;;Russia;;WRPF;WRPF;2019-05-25;Russia;;Taldom;Taldom Cup
Aleksandr Akulich;M;B;Unlimited;37;35-39;24-39;Open;97;100;;;;;;265;275;280;;280;;;;;;280;1;174.68;172.57;164.94;90.46;;Russia;;RPU;;2019-03-30;Russia;KDA;Krasnodar;Decathlon Cup & Krasnodar Powerlifting Championships
Aleksandr Akulich;M;B;Raw;35;35-39;24-39;O;90;90;;;;;;175;185;-190;;185;;;;;;185;1;119.62;118.10;113.19;89.20;;Russia;;Vityaz;;2016-12-24;Russia;MOW;Moscow;Vladimir Kravtsov's European Championships
