Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandra Radzhabova;F;SBD;Raw;23.5;24-34;24-39;Open;100.25;84+;;;;;160;;;;;80;;;;;160;400;1;341.01;332.79;285.80;71.29;Yes;;;FPR;IPF;2020-10-23;Russia;IRK;Irkutsk;Irkutsk Oblast Powerlifting Championships
Aleksandra Radzhabova;F;SBD;Raw;23.5;24-34;24-39;Open;101;84+;;;;;165;;;;;85;;;;;170;420;5;357.03;348.69;299.17;74.71;Yes;;;FPR;IPF;2020-03-18;Russia;ARK;Arkhangelsk;Russian Classic Powerlifting Championships
Aleksandra Radzhabova;F;B;Raw;22.5;20-23;19-23;Open;101.45;84+;;;;;;70;75;-80;;75;;;;;;75;1;63.65;62.19;53.33;54.06;Yes;;;FPR;IPF;2019-12-21;Russia;IRK;Irkutsk;Irkutsk Bench Press Championships
Aleksandra Radzhabova;F;SBD;Raw;22.5;20-23;19-23;Open;102;84+;;;;;165;;;;;75;;;;;170;410;1;347.22;339.45;290.87;72.74;Yes;;;FPR;IPF;2019-12-09;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksandra Radzhabova;F;SBD;Raw;22.5;20-23;19-23;Open;102;84+;;;;;155;;;;;70;;;;;160;385;1;326.05;318.75;273.14;68.31;Yes;;;FPR;IPF;2019-11-21;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Championships
Aleksandra Radzhabova;F;SBD;Raw;21.5;20-23;19-23;Juniors;106.65;84+;;;;;130;;;;;57.5;;;;;145;332.5;1;277.03;272.21;231.94;58.35;Yes;;;FPR;IPF;2018-11-22;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Championships
Aleksandra Radzhabova;F;SBD;Raw;21.5;20-23;19-23;Open;106.65;84+;;;;;130;;;;;57.5;;;;;145;332.5;1;277.03;272.21;231.94;58.35;Yes;;;FPR;IPF;2018-11-22;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Championships
Aleksandra Radzhabova;F;SBD;Raw;19.5;20-23;19-23;Open;88.95;84+;;;;;120;;;;;55;;;;;145;320;1;286.78;277.87;241.79;59.17;Yes;;;FPR;IPF;2016-05-20;Russia;IRK;Usolye-Sibirskoye;Irkutsk Oblast Powerlifting Cup
Aleksandra Radzhabova;F;SBD;Raw;19.5;20-23;19-23;Juniors;88.7;84+;;;;;122.5;;;;;55;;;;;140;317.5;1;284.90;276.04;240.26;58.76;Yes;;;FPR;IPF;2016-04-16;Russia;IRK;Baikalsk;Irutsk Oblast Juniors & Sub-Juniors Powerlifting Cup
Aleksandra Radzhabova;F;SBD;Single-ply;19.5;20-23;19-23;Open;88.2;84+;;;;;137.5;;;;;50;;;;;135;322.5;2;290.12;281.08;244.77;49.78;Yes;;;FPR;IPF;2016-03-26;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksandra Radzhabova;F;SBD;Single-ply;18.5;18-19;19-23;Open;84;84;;;;;115;;;;;50;;;;;120;285;1;262.24;254.15;222.18;44.82;Yes;;;FPR;IPF;2015-03-21;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksandra Radzhabova;F;SBD;Single-ply;18.5;18-19;19-23;Juniors;84;84;;;;;115;;;;;50;;;;;120;285;1;262.24;254.15;222.18;44.82;Yes;;;FPR;IPF;2015-03-21;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksandra Radzhabova;F;SBD;Raw;17.5;18-19;14-18;Open;80.8;84;;;;;97.5;;;;;47.5;;;;;110;255;2;239.09;232.05;203.39;48.92;Yes;;;FPR;IPF;2014-11-21;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Championships
