Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Bakanov;M;SBD;Raw;18.5;18-19;19-23;Juniors;97.15;105;;;;;170;;;;;100;;;;;190;460;3;286.78;283.32;270.78;58.92;Yes;;;FPR;IPF;2017-11-10;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksandr Bakanov;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;97.3;105;;;;;-200;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2017-02-18;Russia;LEN;St. Petersburg;St. Petersburg Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Bakanov;M;B;Single-ply;17.5;18-19;14-18;Senior Boys;93.7;105;;;;;;115;117.5;125;;125;;;;;;125;1;79.25;78.25;74.87;41.17;Yes;;;FPR;IPF;2016-12-23;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksandr Bakanov;M;SBD;Raw;17.5;18-19;14-18;Teen 17-18;94.2;105;;;;;150;;;;;100;;;;;190;440;1;278.25;274.75;262.84;57.20;Yes;;;FPR;IPF;2016-11-10;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksandr Bakanov;M;B;Raw;17.5;18-19;14-18;Teen 17-18;95.8;105;;;;;;100;107.5;110;;110;;;;;;110;1;69.02;68.17;65.17;51.44;Yes;;;FPR;IPF;2016-09-30;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Bakanov;M;SBD;Single-ply;17.5;18-19;14-18;Teen 17-18;94.1;105;;;;;155;;;;;107.5;;;;;192.5;455;1;287.88;284.26;271.94;49.04;Yes;;;FPR;IPF;2016-04-21;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
Aleksandr Bakanov;M;B;Single-ply;17.5;18-19;14-18;Teen 17-18;94.4;105;;;;;;105;112.5;120;;120;;;;;;120;2;75.81;74.86;71.61;39.35;Yes;;;FPR;IPF;2016-04-01;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksandr Bakanov;M;SBD;Single-ply;16.5;16-17;14-18;Teen 17-18;89.35;93;;;;;130;;;;;90;;;;;180;400;7;259.59;256.31;245.72;44.31;Yes;;;FPR;IPF;2015-11-05;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksandr Bakanov;M;SBD;Single-ply;17.5;18-19;14-18;Open;59;59;;;;;75;;;;;50;;;;;100;225;G;192.57;194.89;190.49;32.76;Yes;;;FPR;IPF;2015-05-17;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Sub-Juniors Powerlifting Championships
Aleksandr Bakanov;M;B;Single-ply;16.5;16-17;14-18;Teen 17-18;89.3;93;;;;;;100;-110;-110;;100;;;;;;100;1;64.92;64.10;61.45;33.90;Yes;;;FPR;IPF;2015-04-24;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksandr Bakanov;M;SBD;Raw;16.5;16-17;14-18;Teen 17-18;86.1;93;;;;;125;;;;;87.5;;;;;130;342.5;5;226.61;223.86;214.98;46.55;Yes;;;FPR;IPF;2015-01-22;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksandr Bakanov;M;B;Single-ply;15.5;16-17;14-18;Teen Under 17;86.55;93;;;;;;90;97.5;-100;;97.5;;;;;;97.5;2;64.33;63.54;61.01;33.72;Yes;;;FPR;IPF;2014-12-26;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksandr Bakanov;M;SBD;Single-ply;15.5;16-17;14-18;Teen Under 17;88.65;93;;;;;150;;;;;90;;;;;160;400;2;260.64;257.36;246.82;44.50;Yes;;;FPR;IPF;2014-11-07;Russia;LEN;St. Petersburg;St. Petersburg Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Bakanov;M;B;Raw;15.5;16-17;14-18;Sub-Juniors;89.6;93;;;;;;80;87.5;-90;;87.5;;;;;;87.5;2;56.71;55.99;53.67;42.28;Yes;;;FPR;IPF;2014-10-10;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
