Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Basenko;M;B;Single-ply;29.5;24-34;24-39;Open;104.1;105;;;;;;275;-285;292.5;;292.5;;;;;;292.5;3;177.02;175.32;167.41;91.19;Yes;;;FPR;IPF;2021-02-11;Russia;TUL;Tula;Russian Bench Press Championships
Aleksandr Basenko;M;B;Single-ply;28.5;24-34;24-39;Open;104.85;105;;;;;;265;272.5;282.5;;282.5;;;;;;282.5;5;170.47;168.89;161.28;87.78;Yes;;;FPR;IPF;2020-02-18;Russia;MOW;Moscow;Russian Bench Press Championships
Aleksandr Basenko;M;B;Single-ply;27.5;24-34;24-39;Open;103.5;105;;;;;;252.5;262.5;270;;270;;;;;;270;4;163.79;162.17;154.85;84.40;Yes;;;FPR;IPF;2019-10-12;Russia;BA;Kumertau;Volga Bench Press Championships
Aleksandr Basenko;M;B;Single-ply;27.5;24-34;24-39;Open;103.25;105;;;;;;240;247.5;257.5;;257.5;;;;;;257.5;4;156.37;154.80;147.81;80.59;Yes;;;FPR;IPF;2019-02-20;Russia;SVE;Yekaterinburg;Russian Bench Press Championships
Aleksandr Basenko;M;B;Raw;27.5;24-34;24-39;Open;104.25;105;;;;;;180;187.5;-197.5;;187.5;;;;;;187.5;4;113.41;112.33;107.26;84.24;Yes;;;FPR;IPF;2019-02-18;Russia;SVE;Yekaterinburg;Russian Classic Bench Press Championships
Aleksandr Basenko;M;B;Single-ply;26.5;24-34;24-39;Open;104.85;105;;;;;;255;-265;-265;;255;;;;;;255;8;153.88;152.45;145.58;79.23;Yes;;;FPR;IPF;2018-06-08;Russia;NIZ;Gorodets;ZMS Maxim Guryanov Bench Press Championships
Aleksandr Basenko;M;B;Single-ply;25.5;24-34;24-39;Open;104.6;105;;;;;;-230;230;240;;240;;;;;;240;3;144.97;143.61;137.13;74.65;Yes;;;FPR;IPF;2017-02-03;Russia;CU;Cheboksary;Volga Bench Press Championships
Aleksandr Basenko;M;B;Raw;25.5;24-34;24-39;Open;104.5;105;;;;;;200;210;215;;215;;;;;;215;1;129.92;128.69;122.88;96.48;Yes;;;FPR;IPF;2017-02-03;Russia;CU;Cheboksary;Volga Bench Press Championships
Aleksandr Basenko;M;B;Raw;24.5;24-34;24-39;Open;103.75;105;;;;;;215;222.5;-225;;222.5;;;;;;222.5;3;134.84;133.52;127.50;100.18;Yes;;;FPR;IPF;2016-10-17;Russia;ARK;Arkhangelsk;Russian Сlassic Bench Press Championships
Aleksandr Basenko;M;B;Raw;24.5;24-34;24-39;Open;104.2;105;;;;;;210;215;220;;220;;;;;;220;3;133.09;131.82;125.87;98.86;Yes;;;FPR;IPF;2016-04-26;Russia;BA;Salavat;Russian Classic Bench Press Cup
Aleksandr Basenko;M;SBD;Single-ply;19.5;20-23;19-23;Open;82.1;82.5;;;;;300;;;;;190;;;;;315;805;1;546.81;540.85;520.52;93.56;Yes;;;FPR;IPF;2009-05-28;Russia;KHA;Amursk;Far East Cup
