Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Baskarev;M;SBD;Wraps;38;35-39;24-39;Pro Open;107.2;110;280;300;310;;310;190;-200;200;;200;300;315;-330;;315;825;1;493.48;489.51;467.56;100.88;;Russia;;NAP;IPA;2019-10-06;Russia;SVE;Yekaterinburg;Golden Tiger 13
Aleksandr Baskarev;M;SBD;Raw;37;35-39;24-39;Open;107;110;280;300;310;;310;185;195;-205;;195;300;320;-332.5;;320;825;1;493.84;489.81;467.83;100.97;;Russia;;RPU;;2018-11-24;Russia;;Naberezhnie Chelny;Treasures of the Golden Hord II
Aleksandr Baskarev;M;D;Raw;37;35-39;24-39;Open;107;110;;;;;;;;;;;300;320;-332.5;;320;320;1;191.55;189.99;181.46;;;Russia;;RPU;;2018-11-24;Russia;;Naberezhnie Chelny;Treasures of the Golden Hord II
Aleksandr Baskarev;M;SBD;Wraps;37;35-39;24-39;Pro Open;108.15;110;275;292.5;305;;305;185;195;-205;;195;300;-320;-320;;300;800;1;476.89;473.31;452.17;97.43;;Russia;;NAP;IPA;2018-06-07;Russia;KDA;Sochi;Olympia V
Aleksandr Baskarev;M;SBD;Raw;36;35-39;24-39;Open;105.8;110;260;280;-295;;280;180;190;200;;200;300;320;-335;;320;800;1;481.01;476.78;455.32;98.42;;Russia;;RPU;;2017-12-02;Russia;;Naberezhnie Chelny;Naberezhnie Chelny Championships & Factory Grand Prix
Aleksandr Baskarev;M;SBD;Raw;36;35-39;24-39;Open;104.16;105;;;;;295;;;;;197.5;;;;;305;797.5;1;482.54;477.91;456.34;98.83;Yes;Russia;;FPR;IPF;2017-04-30;Russia;MOW;Moscow;Moscow Lights Tournament
Aleksandr Baskarev;M;SBD;Raw;29;24-34;24-39;Pro Open;99.7;100;250;265;280;;280;175;185;-195;;185;300;-330;330;;330;795;2;489.97;484.41;462.69;100.58;;Russia;;WPC-RUS;WPC;2010-11-13;Russia;SAR;Saratov;Silver Bar Championships
Aleksandr Baskarev;M;SBD;Single-ply;24;24-34;24-39;Open;98.8;100;;;;;330;;;;;210;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2006-02-28;Russia;BA;Ufa;Russian Powerlifting Championships
Aleksandr Baskarev;M;SBD;Single-ply;24;24-34;24-39;Open;99.15;100;;;;;325;;;;;220;;;;;320;865;2;534.40;528.25;504.61;90.83;Yes;Russia;;FPR;IPF;2006-01-18;Russia;CHE;Chelyabinsk;Urals & Volga Powerlifting Championships
Aleksandr Baskarev;M;SBD;Single-ply;24;24-34;24-39;Open;97.45;100;;;;;310;;;;;210;;;;;300;820;23;510.51;504.39;482.01;86.84;Yes;Russia;;FPR;IPF;2005-08-23;Russia;ORL;Oryol;Russian Powerlifting Cup
Aleksandr Baskarev;M;SBD;Single-ply;23;20-23;24-39;Open;96.75;100;;;;;295;;;;;207.5;;;;;295;797.5;10;498.12;492.07;470.33;84.76;Yes;Russia;;FPR;IPF;2005-03-02;Russia;TA;Kazan;Russian Powerlifting Championships
Aleksandr Baskarev;M;SBD;Single-ply;23;20-23;19-23;Open;95.45;100;;;;;280;;;;;195;;;;;302.5;777.5;5;488.65;482.60;461.47;83.20;Yes;Russia;;FPR;IPF;2004-06-04;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Cup
Aleksandr Baskarev;M;SBD;Single-ply;19;18-19;19-23;Juniors;89.2;90;255;275;282.5;;282.5;155;165;170;;170;-267.5;267.5;-277.5;;267.5;720;17;467.66;461.75;442.72;79.84;Yes;Russia;;FPR;IPF;2001-03-22;Russia;KEM;Kemerovo;Russian Juniors Powerlifting Championships
