Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Bazylev;M;SBD;Wraps;38;35-39;24-39;Open;93.6;100;-130;140;-160;;140;110;120;125;;125;170;185;200;;200;465;1;294.95;291.22;278.66;60.64;;Russia;;RPU;;2019-02-10;Russia;VOR;Voronezh;Helios Cup
Aleksandr Bazylev;M;BD;Raw;38;35-39;24-39;Open;91.6;100;;;;;;110;-117.5;-117.5;;110;150;170;180;;180;290;1;185.88;183.51;175.75;;;Russia;;GPA;GPA;2018-10-12;Russia;VOR;Voronezh;Eurasian Championships
Aleksandr Bazylev;M;SBD;Raw;38;35-39;24-39;Open;91.6;100;-120;-125;-125;;;;;;;;;;;;;;DQ;;;;;;Russia;;GPA;GPA;2018-10-12;Russia;VOR;Voronezh;Eurasian Championships
Aleksandr Bazylev;M;SBD;Wraps;38;35-39;24-39;Open;89.55;90;-150;-150;150;;150;110;-120;120;;120;160;175;-180;;175;445;3;288.47;284.81;273.03;59.31;;Russia;;GPA;GPA;2018-06-09;Russia;LEN;St. Petersburg;European Championships
Aleksandr Bazylev;M;SBD;Wraps;37;35-39;24-39;Open;88.8;90;145;-155;160;;160;105;115;117.5;;117.5;170;180;190;;190;467.5;3;304.36;300.52;288.19;62.56;;Russia;;GPA;GPA;2017-11-18;Russia;;Dolgoprudny;World Cup
Aleksandr Bazylev;M;SBD;Wraps;37;35-39;24-39;Open;87.2;90;-140;140;155;;155;105;115;-120;;115;160;175;-190;;175;445;1;292.46;288.84;277.21;60.09;;Russia;;RPU;;2017-10-13;Russia;VOR;Voronezh;Black Earth Cup
Aleksandr Bazylev;M;B;Raw;37;35-39;24-39;Pro Open;86.5;90;;;;;;-105;-105;105;;105;;;;;;105;2;69.30;68.45;65.72;51.64;;Russia;;WPF-RUS;WPF;2017-09-09;Russia;MOW;Dedovsk;Moscow Region Cup
Aleksandr Bazylev;M;D;Raw;37;35-39;24-39;Pro Open;86.5;90;;;;;;;;;;;150;165;180;;180;180;1;118.80;117.35;112.67;;;Russia;;WPF-RUS;WPF;2017-09-09;Russia;MOW;Dedovsk;Moscow Region Cup
Aleksandr Bazylev;M;SBD;Raw;37;35-39;24-39;Pro Open;86.5;90;-150;-150;-150;;;-50;;;;;-100;;;;;;DQ;;;;;;Russia;;WPF-RUS;WPF;2017-09-09;Russia;MOW;Dedovsk;Moscow Region Cup
Aleksandr Bazylev;M;BD;Raw;36;35-39;24-39;Open;86.7;90;;;;;;100;105;115;;115;170;185;-190;;185;300;3;197.76;195.33;187.52;;;Russia;;RPU;;2017-05-06;Russia;VOR;Voronezh;National Powerlifting Cup
Aleksandr Bazylev;M;SBD;Wraps;36;35-39;24-39;Open;89.6;90;-140;140;155;;155;95;102.5;-110;;102.5;155;165;172.5;180;172.5;430;1;278.66;275.13;263.74;57.29;;Russia;;RPU;;2017-02-18;Russia;VOR;Voronezh;Helios Cup Voronezh Championships
Aleksandr Bazylev;M;B;Raw;32;24-34;24-39;Amateur Open;89.6;90;;;;;;140;-152.5;-152.5;;140;;;;;;140;6;90.73;89.58;85.87;67.65;Yes;Russia;;WPC-RUS;WPC;2014-11-08;Russia;VGG;Volgograd;Battle of Stalingrad Cup
Aleksandr Bazylev;M;B;Raw;30.5;24-34;24-39;Amateur Open;97.4;100;;;;;;-152.5;;-152.5;;;;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2013-11-01;Russia;VGG;Volgograd;Stalingrad Cup
Aleksandr Bazylev;M;D;Raw;30.5;24-34;24-39;Amateur Open;97.4;100;;;;;;;;;;;-215;232.5;;;232.5;232.5;1;144.78;143.04;136.70;;Yes;Russia;;WPC-RUS;WPC;2013-11-01;Russia;VGG;Volgograd;Stalingrad Cup
