Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Belskikh;M;B;Raw;26;24-34;24-39;Pro Open;85.4;90;;;;;;180;185;-190;;185;;;;;;185;4;122.94;121.47;116.69;91.58;;Russia;;WPC-RUS;WPC;2014-02-20;Russia;MOW;Moscow;Megapolis Championships
Aleksandr Belskikh;M;B;Raw;25;24-34;24-39;Pro Open;87.8;90;;;;;;185;195;197.5;;197.5;;;;;;197.5;2;129.33;127.72;122.54;96.41;;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksandr Belskikh;M;B;Raw;24;24-34;24-39;Pro Open;84.7;90;;;;;;175;182.5;187.5;;187.5;;;;;;187.5;3;125.16;123.69;118.87;93.21;;Russia;;WPC-RUS;WPC;2012-10-25;Russia;MOW;Moscow;PROdvijenie Championships
Aleksandr Belskikh;M;B;Raw;24;24-34;24-39;Open;82.2;82.5;;;;;;175;-182.5;-182.5;;175;;;;;;175;5;118.79;117.49;113.07;88.34;;Russia;;WPA;;2012-06-30;Russia;MOW;Moscow;European BP & DL Championships
Aleksandr Belskikh;M;B;Raw;24;24-34;24-39;Pro Open;86;90;;;;;;185;-195;-195;;185;;;;;;185;6;122.48;121.00;116.20;91.26;;Russia;;WPC-RUS;WPC;2012-06-07;Russia;MOW;Moscow;Russian Powerlifting Championships
Aleksandr Belskikh;M;B;Raw;24;24-34;24-39;Open;81.45;82.5;;;;;;180;;185;;185;;;;;;185;1;126.24;124.90;120.25;93.83;;Russia;;WPA-RUS;WPA;2012-05-07;Russia;MOW;Moscow;Russian BP & DL Championships
Aleksandr Belskikh;M;B;Raw;23;20-23;24-39;Open;81;82.5;;;;;;175;-180;180;;180;;;;;;180;2;123.22;121.94;117.42;91.55;;Russia;;BB;;2011-12-10;Russia;;;National Championship
Aleksandr Belskikh;M;B;Raw;23;20-23;24-39;Pro Open;78.4;82.5;;;;;;155;160;-165;;160;;;;;;160;3;111.67;110.66;106.71;82.77;;Russia;;WPC-RUS;WPC;2011-10-10;Russia;MOW;Khotkovo;PRODvijenie
Aleksandr Belskikh;M;B;Raw;23;20-23;24-39;Open;80.9;82.5;;;;;;-175;175;-177.5;;175;;;;;;175;1;119.88;118.64;114.26;89.07;;Russia;;BB;;2011-05-28;Russia;MOW;Moscow;Eurolifting
Aleksandr Belskikh;M;B;Raw;23;20-23;24-39;Pro Juniors 20-23;78.3;82.5;;;;;;155;160;-165;;160;;;;;;160;1;111.75;110.75;106.81;82.83;;Russia;;WPC-RUS;WPC;2011-02-24;Russia;MOW;Khotkovo;Moscow Powerlifting and Bench Press Championships
Aleksandr Belskikh;M;B;Raw;23;20-23;19-23;Open;80.5;82.5;;;;;;170;-175;-175;;170;;;;;;170;1;116.79;115.61;111.36;86.75;;Russia;;BB;;2010-12-18;Russia;;;National Championship
Aleksandr Belskikh;M;B;Raw;21;20-23;19-23;Open;81.7;90;;;;;;150;160;-162.5;;160;;;;;;160;3;108.99;107.82;103.79;81.02;;Russia;;BB;;2009-05-23;Russia;;;Clear Victory
Aleksandr Belskikh;M;B;Raw;21;20-23;19-23;Pro Juniors 20-23;81.4;82.5;;;;;;140;150;155;;155;;;;;;155;1;105.80;104.68;100.79;78.64;;Russia;;WPC-RUS;WPC;2009-05-01;Russia;MOW;Moscow;Moscow Powerlifting and Bench Press Cup
