Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Berdnikov;M;B;Single-ply;18.5;18-19;19-23;Open;70;74;;;;;;105;110;115;;115;;;;;;115;5;86.38;86.18;83.52;47.08;Yes;Russia;;FPR;IPF;2018-09-15;Russia;TA;Zelenodolsk;Tatarstan Bench Press Championships
Aleksandr Berdnikov;M;D;Single-ply;17;16-17;14-18;Amateur Teen 16-17;88.8;90;;;;;;;;;;;-245;245;-265;;245;245;1;159.50;157.49;151.03;;Yes;Russia;;WPC;WPC;2017-08-09;Russia;KRS;Kursk;World Cup
Aleksandr Berdnikov;M;B;Single-ply;16.5;16-17;14-18;Open;64.9;66;;;;;;95;-107.5;107.5;;107.5;;;;;;107.5;6;85.29;85.59;83.24;47.47;Yes;Russia;;FPR;IPF;2016-12-10;Russia;TA;Zelenodolsk;Tatarstan Bench Press Championships
Aleksandr Berdnikov;M;D;Single-ply;15.5;16-17;14-18;M_TES_1_AWPC;79.8;82.5;;;;;;;;;;;215;230;;;230;230;1;158.83;157.27;151.55;;Yes;Russia;;WPC;WPC;2016-08-10;Russia;KRS;Kursk;Amateur World Championships
Aleksandr Berdnikov;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;64.7;66;;;;;140;;;;;82.5;;;;;137.5;360;5;286.31;287.38;279.52;56.71;Yes;Russia;;FPR;IPF;2016-04-14;Russia;NIZ;Kstovo;Volga Powerlifting Championships
Aleksandr Berdnikov;M;D;Single-ply;15.5;16-17;14-18;Pro Open;79.1;82.5;;;;;;;;;;;210;225;230;;230;230;1;159.66;158.16;152.46;;Yes;Russia;;WPC-RUS;WPC;2016-03-12;Russia;KRS;Kursk;Svarog Cup
Aleksandr Berdnikov;M;D;Single-ply;14.5;13-15;14-18;Amateur Teen 13-15;74.9;75;;;;;;;;;;;190;200;;;200;200;1;143.61;142.64;137.84;;Yes;Russia;;WPC;WPC;2015-12-03;Russia;KRS;Kursk;Eurasian Cup
Aleksandr Berdnikov;M;D;Single-ply;14.5;13-15;14-18;Amateur Teen 13-15;73.5;75;;;;;;;;;;;175;185;190;195;190;190;1;138.10;137.33;132.81;;Yes;Russia;;WPC;WPC;2015-08-12;Russia;KRS;Kursk;World Cup
Aleksandr Berdnikov;M;SBD;Single-ply;22.5;20-23;19-23;Open;100.65;105;;;;;280;;;;;215;;;;;305;800;4;491.04;485.62;463.78;83.40;Yes;Russia;;FPR;IPF;2014-12-08;Russia;MUR;Murmansk;Northwestern District Powerlifting Championships
Aleksandr Berdnikov;M;SBD;Single-ply;21.5;20-23;19-23;Open;102.9;105;;;;;290;;;;;200;;;;;305;795;5;483.44;478.53;456.93;82.02;Yes;Russia;;FPR;IPF;2013-12-05;Russia;VLG;Cherepovets;North-West Powerlifting Championships
Aleksandr Berdnikov;M;SBD;Single-ply;21.5;20-23;19-23;Open;102.15;105;;;;;285;;;;;205;;;;;290;780;16;475.77;470.79;449.55;80.75;Yes;Russia;;FPR;IPF;2013-05-20;Russia;LEN;St. Petersburg;White Nights
