Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Biryukov;M;B;Unlimited;15;13-15;14-18;Pro Teen 13-15;63.5;67.5;;;;;;90;100;105;;105;;;;;;105;1;84.71;85.17;82.91;47.48;;Russia;;WPC-RUS;WPC;2019-11-16;Russia;SAR;Saratov;Silver Barbell
Aleksandr Biryukov;M;SBD;Raw;20.5;20-23;19-23;Juniors;82.6;83;;;;;210;;;;;130;;;;;240;580;4;392.62;388.26;373.57;80.48;Yes;Russia;;KPF;IPF;2019-10-01;Kazakhstan;;Kostanay;Kazakhstan Classic Powerlifting Championships
Aleksandr Biryukov;M;B;Raw;13.5;13-15;14-18;Pro Teen 13-15;55.2;56;;;;;;60;65;-70;;65;;;;;;65;1;58.93;60.02;58.89;40.71;;Russia;;WPC-RUS;WPC;2018-11-24;Russia;SAR;Saratov;Silver Bar
Aleksandr Biryukov;M;D;Single-ply;27;24-34;24-39;Pro Open;78.45;82.5;;;;;;;;;;;115;127.5;130;;130;130;1;90.69;89.87;86.67;;;Russia;;NAP;IPA;2018-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 12
Aleksandr Biryukov;M;D;Raw;13;13-15;;Youth;50.6;52;;;;;;;;;;;90;100;-112.5;;100;100;1;98.32;101.01;99.63;;;Russia;;WRPF;WRPF;2018-04-21;Russia;SAR;Saratov;Saratov Championships
Aleksandr Biryukov;M;D;Raw;13.5;13-15;14-18;Pro Teen 13-15;52.3;56;;;;;;;;;;;90;100;107.5;;107.5;107.5;1;102.40;104.86;103.23;;;Russia;;WPC-RUS;WPC;2018-03-31;Russia;SAR;Engels;Iron Bull Tournament
Aleksandr Biryukov;M;D;Raw;13;13-15;;Amateur Teen 13-15;46.3;52;;;;;;;;;;;70;80;90;;90;90;1;96.85;100.37;99.43;;Yes;Russia;;WPC-RUS;WPC;2017-11-25;Russia;SAR;Saratov;Silver Bar Tournament
Aleksandr Biryukov;M;B;Raw;13;13-15;;Amateur Teen 13-15;47;52;;;;;;45;-50;-50;;45;;;;;;45;1;47.67;49.33;48.83;30.87;Yes;Russia;;WPC-RUS;WPC;2017-10-27;Russia;SAM;Togliatti;Volga Cup
Aleksandr Biryukov;M;D;Raw;13;13-15;;Amateur Teen 13-15;47;52;;;;;;;;;;;70;80;-90;;80;80;1;84.74;87.69;86.81;;Yes;Russia;;WPC-RUS;WPC;2017-10-27;Russia;SAM;Togliatti;Volga Cup
Aleksandr Biryukov;M;D;Raw;13;13-15;;Pro Teen 13-15;44.4;52;;;;;;;;;;;60;70;80;;80;80;1;90.08;93.74;92.97;;;Russia;;WPC-RUS;WPC;2017-03-25;Russia;SAR;Engels;Iron Bull Tournament
Aleksandr Biryukov;M;B;Raw;12;5-12;;Youth;44;52;;;;;;30;35;40;;40;;;;;;40;1;45.50;47.38;47.00;28.49;;Russia;;RPU;;2017-03-18;Russia;;Saratov;Saratov Bench Press & Deadlift Championships
Aleksandr Biryukov;M;B;Single-ply;31.5;24-34;24-39;Open;81.7;83;;;;;;160;175;185;;185;;;;;;185;3;126.02;124.66;120.00;66.60;Yes;Russia;;FPR;IPF;2016-12-23;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksandr Biryukov;M;D;Raw;11.5;5-12;;Pro Youth;41.1;52;;;;;;;;;;;60;70;75;;75;75;1;92.27;96.70;95.96;;;Russia;;WPC-RUS;WPC;2016-11-12;Russia;SAR;Saratov;Silver Bar
