Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Bliznyuk;M;B;Unlimited;38;35-39;24-39;Open;101.5;110;;;;;;240;250;-262.5;;250;;;;;;250;1;152.90;151.26;144.44;78.90;Yes;Russia;;GPA;GPA;2021-04-03;Russia;VLG;Volzhsky;Eastern European Championships
Aleksandr Bliznyuk;M;B;Unlimited;36;35-39;24-39;Open;99.7;100;;;;;;240;-255;-262.5;;240;;;;;;240;2;147.92;146.24;139.68;76.42;Yes;Russia;;RPU;;2019-10-05;Russia;VGG;Volzhsky;Southern District Championships
Aleksandr Bliznyuk;M;B;Unlimited;36;35-39;24-39;Open;99;100;;;;;;-240;240;255;;255;;;;;;255;1;157.65;155.82;148.86;81.50;;Russia;;WRPF;WRPF;2019-04-06;Russia;VGG;Volzhsky;Eurasian Powerlifting Championships
Aleksandr Bliznyuk;M;B;Unlimited;36;35-39;24-39;Open;99.5;100;;;;;;200;220;-240;;220;;;;;;220;1;135.71;134.16;128.15;70.13;Yes;Russia;;RPU;;2018-12-15;Russia;VGG;Volzhsky;Ice Hammer 3 Tournament
Aleksandr Bliznyuk;M;B;Unlimited;36;35-39;24-39;Open;99.1;100;;;;;;200;215;-230;;215;;;;;;215;3;132.86;131.33;125.45;68.68;Yes;Russia;;RPU;;2018-10-06;Russia;VGG;Volzhsky;Russian Championships
Aleksandr Bliznyuk;M;B;Raw;23;20-23;19-23;Pro Juniors 20-23;75.2;82.5;;;;;;102.5;-107.5;107.5;;107.5;;;;;;107.5;1;76.99;76.46;73.87;56.84;;Russia;;WPC-RUS;WPC;2018-04-28;Russia;BEL;Belgorod;Belgorod Oblast Championships
Aleksandr Bliznyuk;M;B;Raw;35;35-39;24-39;Amateur Open;98.4;100;;;;;;155;-162.5;-162.5;;155;;;;;;155;6;96.08;94.95;90.72;71.56;Yes;Russia;;WRPF;WRPF;2018-03-31;Russia;VGG;Volzhsky;Eurasian Championships
Aleksandr Bliznyuk;M;B;Raw;35;35-39;24-39;Open;99;100;;;;;;150;-157.5;157.5;;157.5;;;;;;157.5;5;97.37;96.24;91.94;72.50;Yes;Russia;;RPU;;2017-10-07;Russia;VGG;Volzhsky;Russian Championships
Aleksandr Bliznyuk;M;B;Raw;33.5;24-34;24-39;Amateur Open;99;100;;;;;;-150;-150;-150;;;;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2016-06-04;Russia;VGG;Volgograd;Volgograd Oblast Championships
Aleksandr Bliznyuk;M;B;Raw;32.5;24-34;24-39;Amateur Open;98;100;;;;;;140;-150;-150;;140;;;;;;140;7;86.94;85.91;82.09;64.76;Yes;Russia;;WPC-RUS;WPC;2015-05-30;Russia;VGG;Volgograd;Volgograd Oblast Championships
Aleksandr Bliznyuk;M;B;Raw;32;24-34;24-39;Amateur Open;96.6;100;;;;;;-140;-140;140;;140;;;;;;140;5;87.51;86.44;82.63;65.21;Yes;Russia;;WPC-RUS;WPC;2014-11-08;Russia;VGG;Volgograd;Battle of Stalingrad Cup
