Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Bondarenko;M;B;Raw;15.5;16-17;14-18;T1;75;75;;;;;;77.5;80;85;;85;;;;;;85;1;60.98;60.57;58.52;45.01;;Ukraine;;WPLeague;;2020-09-11;Ukraine;;Genichesk;Azov Cup
Aleksandr Bondarenko;M;B;Raw;15.5;16-17;14-18;T1;74.5;75;;;;;;92.5;97.5;100;;100;;;;;;100;1;72.05;71.59;69.19;53.14;;Ukraine;;WPLeague;;2020-02-22;Ukraine;;Melitopol;Pavel Tselyurik Memorial
Aleksandr Bondarenko;M;B;Raw;14.5;13-15;14-18;T1;74;75;;;;;;90;92.5;97.5;;97.5;;;;;;97.5;1;70.56;70.13;67.80;52.00;;Ukraine;;WPLeague;;2019-12-21;Ukraine;;Melitopol;Icy Steel Cup
Aleksandr Bondarenko;M;B;Raw;14.5;13-15;14-18;T1;66;67.5;;;;;;75;77.5;82.5;;82.5;;;;;;82.5;1;64.64;64.78;62.95;46.79;;Ukraine;;WPLeague;;2019-09-14;Ukraine;;Genichesk;Azov Sea Cup
Aleksandr Bondarenko;M;B;Raw;13.5;13-15;14-18;T1;66;67.5;;;;;;72.5;77.5;80;;80;;;;;;80;2;62.68;62.82;61.04;45.38;Yes;;;WPLeague;;2018-12-08;Ukraine;;Melitopol;Ukrainian Cup
Aleksandr Bondarenko;M;D;Raw;18;18-19;19-23;Amateur Teen 18-19;73.2;75;;;;;;;;;;;180;205;-207.5;;205;205;1;149.41;148.61;143.74;;Yes;Russia;;NAP;IPA;2018-04-14;Russia;SVE;Yekaterinburg;European Cup
Aleksandr Bondarenko;M;SBD;Single-ply;19.5;20-23;19-23;Open;74;74;;;;;140;;;;;85;;;;;140;365;7;264.13;262.55;253.83;45.23;Yes;;;FPR;IPF;2018-04-11;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksandr Bondarenko;M;B;Raw;22;20-23;19-23;Juniors 20-23;107.3;110;;;;;;160;167.5;-172.5;;167.5;;;;;;167.5;1;100.15;99.35;94.90;74.26;Yes;;;RPU;;2016-10-08;Russia;;Volzhskiy;High Voltage Tournament
Aleksandr Bondarenko;M;B;Raw;31;24-34;24-39;Amateur Open;81.1;82.5;;;;;;-140;-145;-145;;;;;;;;;DQ;;;;;Yes;;;WPC;WPC;2015-09-24;Russia;ROS;Rostov-on-Don;Eurasian Championships
Aleksandr Bondarenko;M;SBD;Single-ply;18;18-19;19-23;Pro Teen 18-19;81;82.5;185;200;-210;;200;100;110;115;;115;170;190;200;;200;515;1;352.55;348.87;335.96;60.33;;Russia;;WPC;WPC;2015-07-02;Russia;NVS;Novosibirsk;European Cup
