Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Borisov;M;B;Raw;24;24-34;24-39;Open;88.9;90;;;;;;180;-185;-185;;180;;;;;;180;3;117.12;115.64;110.89;87.33;;Russia;;RPU;;2022-05-28;Russia;NIZ;Chkalovsk;Chkalov Cup
Aleksandr Borisov;M;B;Raw;41;40-44;40-49;Pro Masters 40-49;116;125;;;;;;130;135;-140;;135;;;;;;135;1;78.43;78.26;74.94;57.80;;Russia;;WRPF;WRPF;2022-05-21;Russia;TYU;Tyumen;Tyumen Strong
Aleksandr Borisov;M;B;Raw;53;50-54;50-59;Pro Masters 50-59;74.8;75;;;;;;120;132.5;140;;140;;;;;;140;1;100.61;99.94;96.58;74.24;;Russia;;WRPF;WRPF;2021-12-04;Russia;KO;Vorkuta;Battle for Thor Hammer
Aleksandr Borisov;M;D;Raw;53;50-54;50-59;Pro Masters 50-59;74.8;75;;;;;;;;;;;135;145;150;;150;150;1;107.80;107.08;103.48;;;Russia;;WRPF;WRPF;2021-12-04;Russia;KO;Vorkuta;Battle for Thor Hammer
Aleksandr Borisov;M;SBD;Raw;24;24-34;24-39;Open;88.7;90;225;230;235;;235;165;-170;170;;170;250;-255;-255;;250;655;1;426.67;421.30;404.03;87.71;;Russia;;RPU;;2021-07-17;Russia;NIZ;Chkalovsk;Chkalov Cup
Aleksandr Borisov;M;SBD;Raw;24;24-34;24-39;Open;88.6;90;220;227.5;-235;;227.5;160;167.5;172.5;;172.5;245;255;-257.5;;255;655;3;426.92;421.55;404.29;87.75;;Russia;;RPU;;2021-06-19;Russia;VLA;Suzdal;National Championships
Aleksandr Borisov;M;SBD;Wraps;23;20-23;24-39;Open;89.8;90;-250;250;260;;260;-170;170;-175;;170;250;260;-265;;260;690;1;446.66;440.99;422.69;91.83;;Russia;;IPL;IPL;2021-04-17;Russia;MOW;Dolgoprudny;European Championships
Aleksandr Borisov;M;SBD;Wraps;23;20-23;24-39;Juniors 20-23;89.8;90;-250;250;260;;260;-170;170;-175;;170;250;260;-265;;260;690;1;446.66;440.99;422.69;91.83;;Russia;;IPL;IPL;2021-04-17;Russia;MOW;Dolgoprudny;European Championships
Aleksandr Borisov;M;SBD;Raw;18.5;18-19;19-23;Juniors;95.5;105;;;;;185;;;;;97.5;;;;;190;472.5;1;296.89;293.22;280.37;61.02;Yes;Russia;;FPR;IPF;2021-04-16;Russia;IRK;Irkutsk;Irkutsk Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Borisov;M;B;Raw;52;50-54;50-59;Pro Masters 50-59;80;82.5;;;;;;110;120;127.5;;127.5;;;;;;127.5;1;87.92;87.04;83.87;65.27;;Russia;;WRPF;WRPF;2021-03-06;Russia;KO;Vorkuta;Vorkuta City Championships
Aleksandr Borisov;M;D;Raw;52;50-54;50-59;Pro Masters 50-59;80;82.5;;;;;;;;;;;130;135;140;;140;140;1;96.54;95.58;92.09;;;Russia;;WRPF;WRPF;2021-03-06;Russia;KO;Vorkuta;Vorkuta City Championships
Aleksandr Borisov;M;SBD;Wraps;23;20-23;24-39;Juniors 20-23;87;90;240;-250;250;;250;150;157.5;165;;165;230;-245;245;;245;660;1;434.28;428.92;411.70;89.23;;Russia;;RPU;;2021-02-21;Russia;NIZ;Chkalovsk;Caspian Monster II & Rostislav Alekseev Cup
Aleksandr Borisov;M;B;Raw;51;50-54;50-59;Amateur Masters 50-59;97.4;100;;;;;;-130;140;-150;;140;;;;;;140;5;87.18;86.13;82.31;64.95;Yes;Russia;;WRPF;WRPF;2020-12-17;Russia;MOW;Moscow;World Championships
Aleksandr Borisov;M;SBD;Single-ply;22;20-23;19-23;Juniors 20-23;80;82.5;240;247.5;-255;;247.5;170;175;-182.5;;175;240;-245;245;;245;667.5;1;460.27;455.70;439.08;78.78;;Russia;;RPU;;2019-12-14;Russia;NIZ;Chkalovsk;Caspian Monster Tournament & Rostislav Alekseev Cup
Aleksandr Borisov;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;88.1;93;;;;;170;;;;;80;;;;;165;415;2;271.28;267.89;256.99;55.76;Yes;Russia;;FPR;IPF;2019-11-21;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Championships
Aleksandr Borisov;M;B;Raw;30;24-34;24-39;Amateur Open;118.4;125;;;;;;-180;-180;;;;;;;;;;DQ;;;;;Yes;Russia;;WRPF;WRPF;2019-05-10;Russia;LEN;St. Petersburg;European Championships
Aleksandr Borisov;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;84.1;93;;;;;160;;;;;75;;;;;175;410;2;274.76;271.57;261.08;56.38;Yes;Russia;;FPR;IPF;2019-04-12;Russia;IRK;Baikalsk;Irkutsk Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Borisov;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;84.3;93;;;;;150;;;;;70;;;;;165;385;5;257.67;254.66;244.79;52.88;Yes;Russia;;FPR;IPF;2019-03-08;Russia;IRK;Tulun;Irkutsk Oblast Juniors & Sub-Juniors Classic Powerlifting Tournament
Aleksandr Borisov;M;SBD;Raw;63.5;60-64;60-69;Open;81.05;83;;;;;170;;;;;145;;;;;195;510;48;349.00;345.36;332.57;71.45;Yes;Russia;;FPR;IPF;2018-04-29;Russia;MOW;Moscow;Moscow Lights Tournament
Aleksandr Borisov;M;B;Raw;33;24-34;24-39;Open;108.8;110;;;;;;175;-185;-185;;175;;;;;;175;19;104.08;103.34;98.74;77.09;;Russia;;WRPF;WRPF;2018-04-27;Russia;MOW;Moscow;European Championships
Aleksandr Borisov;M;SBD;Raw;15.5;16-17;14-18;Juniors;76.08;83;;;;;130;;;;;67.5;;;;;157.5;355;5;252.39;250.48;241.88;51.38;Yes;Russia;;FPR;IPF;2018-04-14;Russia;IRK;Baikalsk;Irkutsk Oblast Powerlifting Cup
Aleksandr Borisov;M;SBD;Raw;15.5;16-17;14-18;Sub-Juniors;76.08;83;;;;;130;;;;;67.5;;;;;157.5;355;5;252.39;250.48;241.88;51.38;Yes;Russia;;FPR;IPF;2018-04-14;Russia;IRK;Baikalsk;Irkutsk Oblast Powerlifting Cup
Aleksandr Borisov;M;SBD;Wraps;28.5;24-34;24-39;Amateur Open;81.1;82.5;150;-170;175;;175;135;145;150;;150;160;175;185;;185;510;2;348.87;345.22;332.43;71.43;Yes;Russia;;WPF-RUS;WPF;2018-02-24;Russia;MOW;Moscow;Megapolis
Aleksandr Borisov;M;BD;Raw;28;24-34;24-39;Open;79.6;82.5;;;;;;130;-140;-140;;130;150;160;175;;175;305;1;210.94;208.88;201.31;;;Russia;;WRPF;WRPF;2018-01-20;Russia;;Orekhovo-Zuyevo;Orekhovo-Zuyevo City Championship
Aleksandr Borisov;M;B;Raw;27;24-34;24-39;Open;77.6;82.5;;;;;;155;162.5;-170;;162.5;;;;;;162.5;3;114.12;113.14;109.16;84.52;;Russia;;RPU;;2017-12-14;Russia;VLG;Vologda;Russian North Tournament
Aleksandr Borisov;M;BD;Raw;27;24-34;24-39;Open;77.6;82.5;;;;;;155;162.5;-170;;162.5;220;235;247.5;;247.5;410;1;287.94;285.47;275.43;;;Russia;;RPU;;2017-12-14;Russia;VLG;Vologda;Russian North Tournament
Aleksandr Borisov;M;B;Raw;27.5;24-34;24-39;Amateur Open;80.8;82.5;;;;;;-130;130;-145;;130;;;;;;130;4;89.12;88.20;84.95;66.21;Yes;Russia;;WPC-RUS;WPC;2017-05-21;Russia;TA;Kazan;Lights of Kazan Tournament
Aleksandr Borisov;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;76.15;83;;;;;220;;;;;140;;;;;205;565;1;401.46;398.40;384.70;68.75;Yes;Russia;;FPR;IPF;2017-02-17;Russia;NIZ;Shatki;Nizhny Novgorod Oblast Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Borisov;M;B;Raw;19.5;20-23;19-23;Juniors;72.95;74;;;;;;110;117.5;-122.5;;117.5;;;;;;117.5;3;85.83;85.39;82.60;63.14;Yes;Russia;;FPR;IPF;2017-01-20;Russia;NIZ;Trans-Volga;Nizhny Novgorod Oblast Bench Press Championships
Aleksandr Borisov;M;SBD;Wraps;27;24-34;24-39;Open;80;82.5;190;-210;215;;215;150;155;160;;160;220;230;-245;;230;605;2;417.18;413.03;397.97;85.33;;Russia;;RPU;;2016-12-23;Russia;VLG;Vologda;Russian North Tournament
