Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Boytsevskiy;M;S;Multi-ply;32;24-34;24-39;Amateur Open;104.7;110;230;-250;260;;260;;;;;;;;;;;260;1;156.99;155.52;148.50;;Yes;Russia;;NAP;IPA;2019-07-05;Russia;KDA;Krasnodar;Eurasian Cup
Aleksandr Boytsevskiy;M;SBD;Multi-ply;31;24-34;24-39;Pro Open;108.1;110;200;220;250;;250;200;230;250;;250;200;230;250;;250;750;1;447.16;443.80;423.97;75.67;;Russia;;NAP;IPA;2019-04-06;Russia;BEL;Belgorod;Belgorod Region Cup
Aleksandr Boytsevskiy;M;SBD;Unlimited;31;24-34;24-39;Pro Open;105.8;110;240;260;-280;;260;240;250;260;;260;235;250;;;250;770;2;462.97;458.91;438.24;78.43;;Russia;;NAP;IPA;2018-12-22;Russia;KDA;Krasnodar;Power Cup 6
Aleksandr Boytsevskiy;M;SBD;Unlimited;31;24-34;24-39;Pro Open;104.8;110;200;230;250;;250;200;230;-250;;230;200;230;-250;;230;710;1;428.53;424.55;405.40;72.63;;Russia;;WPC-RUS;WPC;2018-12-09;Russia;KDA;Krasnodar;CIS New Years Cup
Aleksandr Boytsevskiy;M;B;Single-ply;30;24-34;24-39;Pro Open;99.4;100;;;;;;-240;240;250;;250;;;;;;250;1;154.28;152.52;145.69;79.73;;Russia;;WPC;WPC;2017-10-21;Russia;;;Eastern European Championships
Aleksandr Boytsevskiy;M;B;Unlimited;30;24-34;24-39;Amateur Open;96.2;100;;;;;;-220;220;232.5;;232.5;;;;;;232.5;1;145.60;143.81;137.48;75.45;;Russia;;NAP;IPA;2017-07-29;Russia;KDA;Krasnodar;Svetogor Pro 8
Aleksandr Boytsevskiy;M;SBD;Wraps;30;24-34;24-39;Amateur Open;96.2;100;180;190;-210;;190;160;-165;165;;165;240;250;-260;;250;605;3;378.87;374.23;357.75;77.86;;Russia;;NAP;IPA;2017-07-29;Russia;KDA;Krasnodar;Svetogor Pro 8
Aleksandr Boytsevskiy;M;SBD;Wraps;30;24-34;24-39;Amateur Open;96.7;100;180;190;200;;200;160;165;-170;;165;230;240;250;;250;615;2;384.22;379.55;362.79;78.95;Yes;Russia;;NAP;IPA;2017-06-08;Russia;KDA;Sochi;Olympia IV
Aleksandr Boytsevskiy;M;B;Unlimited;30;24-34;24-39;Amateur Open;96.9;100;;;;;;200;220;232.5;;232.5;;;;;;232.5;2;145.12;143.36;137.02;75.15;Yes;Russia;;NAP;IPA;2017-06-08;Russia;KDA;Sochi;Olympia IV
Aleksandr Boytsevskiy;M;SBD;Wraps;29;24-34;24-39;Amateur Open;96.3;100;175;185;195;;195;150;157.5;162.5;;162.5;225;235;245;;245;602.5;2;377.12;372.51;356.10;77.50;;Russia;;NAP;IPA;2017-04-14;Russia;KDA;Dzhubga;World Cup
Aleksandr Boytsevskiy;M;B;Raw;29;24-34;24-39;Amateur Open;98.3;100;;;;;;160;-167.5;167.5;;167.5;;;;;;167.5;2;103.88;102.65;98.08;77.36;Yes;Russia;;NAP;IPA;2016-12-17;Russia;KDA;Krasnodar;Power Cup 4
Aleksandr Boytsevskiy;M;D;Raw;28;24-34;24-39;Pro Open;96.15;100;;;;;;;;;;;220;225;230;;230;230;2;144.07;142.30;136.04;;;Russia;;WPC-RUS;WPC;2016-02-28;Russia;KDA;Gulkevichi;Atlanta Cup
Aleksandr Boytsevskiy;M;B;Raw;28;24-34;24-39;Pro Open;96.15;100;;;;;;155;157.5;162.5;;162.5;;;;;;162.5;3;101.79;100.54;96.11;75.86;;Russia;;WPC-RUS;WPC;2016-02-28;Russia;KDA;Gulkevichi;Atlanta Cup
Aleksandr Boytsevskiy;M;B;Raw;27;24-34;24-39;Pro Open;95.9;100;;;;;;140;145;150;;150;;;;;;150;2;94.07;92.91;88.83;70.11;;Russia;;WPC-RUS;WPC;2015-02-21;Russia;KDA;Gulkevichi;Atlant Cup
