Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Bukharin;M;B;Raw;33;24-34;24-39;Pro Open;97;100;;;;;;140;150;155;;155;;;;;;155;2;96.70;95.53;91.30;72.05;;Russia;;WPC-RUS;WPC;2019-10-20;Russia;OMS;Omsk;CIS Cup
Aleksandr Bukharin;M;B;Raw;32;24-34;24-39;Open;99;100;;;;;;140;150;160;;160;;;;;;160;1;98.92;97.77;93.40;73.65;;Russia;;WPA-RUS;WPA;2019-03-03;Russia;OMS;Omsk;Russian Powerlifting Cup
Aleksandr Bukharin;M;B;Raw;32;24-34;24-39;Open;98.7;100;;;;;;-150;150;162.5;;162.5;;;;;;162.5;3;100.60;99.42;94.98;74.91;Yes;Russia;;WPA-RUS;WPA;2018-11-25;Russia;OMS;Omsk;Siberian Championships
Aleksandr Bukharin;M;D;Raw;31;24-34;24-39;Amateur Open;96.6;100;;;;;;;;;;;200;210;225;;225;225;2;140.63;138.92;132.79;;Yes;Russia;;WPC-RUS;WPC;2018-03-03;Russia;OMS;Omsk;CIS Cup
Aleksandr Bukharin;M;B;Raw;18;18-19;;Sub-Juniors 17-19;115.7;125;;;;;;195;200;205;-210;205;;;;;;205;1;119.21;118.92;113.86;87.86;;Russia;;WRPF;WRPF;2017-10-25;Russia;MOW;Moscow;Amateur World Championships
Aleksandr Bukharin;M;B;Raw;17.5;18-19;14-18;T3;116.4;125;;;;;;180;185;190;;190;;;;;;190;1;110.25;110.05;105.39;81.22;Yes;Russia;;Vityaz;;2017-05-20;Russia;MOW;Moscow;World Championships
Aleksandr Bukharin;M;D;Raw;30.5;24-34;24-39;Amateur Open;82.4;82.5;;;;;;;;;;;170;180;-190;;180;180;3;122.01;120.67;116.12;;Yes;Russia;;WPC-RUS;WPC;2017-02-18;Russia;OMS;Omsk;National Powerlifting Championships
Aleksandr Bukharin;M;B;Raw;30.5;24-34;24-39;Amateur Open;82.4;82.5;;;;;;-120;-120;-120;;;;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2017-02-18;Russia;OMS;Omsk;National Powerlifting Championships
Aleksandr Bukharin;M;B;Raw;17;16-17;14-18;Sub-Juniors 17-19;105;110;;;;;;175;-177.5;-177.5;;175;;;;;;175;2;105.54;104.57;99.86;78.36;;Russia;;WRPF;WRPF;2016-11-15;Russia;MOW;Moscow;Drug-Tested Amateur World Championships
Aleksandr Bukharin;M;B;Raw;17;16-17;14-18;Amateur Teen 16-17;106;110;;;;;;162.5;167.5;172.5;;172.5;;;;;;172.5;1;103.64;102.74;98.12;76.90;Yes;Russia;;WPC-RUS;WPC;2016-02-27;Russia;MOW;Moscow;Megapolis Tournament
Aleksandr Bukharin;M;B;Raw;15.5;16-17;14-18;Amateur Teen 16-17;100.5;110;;;;;;160;-167.5;-167.5;;160;;;;;;160;1;98.27;97.18;92.81;73.13;Yes;Russia;;WPC-RUS;WPC;2015-10-24;Russia;MOW;Moscow;PROMotion
Aleksandr Bukharin;M;B;Raw;15.5;16-17;14-18;T2;101.85;110;;;;;;160;167.5;-170;;167.5;;;;;;167.5;1;102.29;101.21;96.65;76.07;Yes;Russia;;Vityaz;;2015-10-10;Russia;MOW;Moscow;Ivan Poddubniy International Benchpress and Deadlift Tournament
