Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Bykov;M;B;Raw;37.5;35-39;24-39;Open;130.8;120+;;;;;;160;170;180;;180;;;;;;180;1;100.60;101.70;97.11;73.26;Yes;Russia;;FPR;IPF;2021-02-27;Russia;VOR;Voronezh;Voronezh Oblast Powerlifting Championships
Aleksandr Bykov;M;B;Raw;45;45-49;40-49;Pro Masters 45-49;114.9;125;;;;;;190;195;200;;200;;;;;;200;1;116.59;116.24;111.26;85.98;;Russia;;WPF-RUS;WPF;2020-02-23;Russia;MOW;Moscow;Megapolis
Aleksandr Bykov;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;69.8;74;;;;;150;;;;;100;;;;;155;405;1;304.82;304.17;294.81;61.30;Yes;Russia;;FPR;IPF;2019-10-25;Russia;BRY;Suzemka;Bryansk Open & Sub-Juniors Classic Powerlifting Championships
Aleksandr Bykov;M;B;Single-ply;16.5;16-17;14-18;Sub-Juniors;68.8;74;;;;;;;;;;107.5;;;;;;107.5;1;81.73;81.64;79.18;44.74;Yes;Russia;;FPR;IPF;2019-03-29;Russia;BRY;Klimovo;Bryansk Oblast Sub-Juniors Powerlifting & Bench Press Championships
Aleksandr Bykov;M;SBD;Single-ply;16.5;16-17;14-18;Sub-Juniors;68.8;74;;;;;150;;;;;107.5;;;;;150;407.5;1;309.82;309.48;300.15;53.02;Yes;Russia;;FPR;IPF;2019-03-29;Russia;BRY;Klimovo;Bryansk Oblast Sub-Juniors Powerlifting & Bench Press Championships
Aleksandr Bykov;M;B;Raw;43.5;40-44;40-49;Pro Masters 40-44;114.2;125;;;;;;187.5;192.5;197.5;;197.5;;;;;;197.5;1;115.38;114.97;110.03;85.14;;Russia;;WPF-RUS;WPF;2018-02-24;Russia;MOW;Moscow;Megapolis
Aleksandr Bykov;M;SBD;Single-ply;22.5;20-23;19-23;Juniors;79.6;83;;;;;240;;;;;150;;;;;230;620;6;428.79;424.62;409.22;73.40;Yes;Russia;;FPR;IPF;2015-04-16;Russia;TUL;Tula;Central District Powerlifting Championships
Aleksandr Bykov;M;SBD;Single-ply;20.5;20-23;19-23;Open;74;74;;;;;260;;;;;140;;;;;230;630;6;455.90;453.17;438.12;78.07;Yes;Russia;;FPR;IPF;2013-05-15;Russia;MOW;Moscow;Moscow Lights
Aleksandr Bykov;M;SBD;Single-ply;19.5;20-23;19-23;Open;73.15;74;;;;;270;;;;;130;;;;;250;650;10;473.94;471.43;456.00;81.16;Yes;Russia;;FPR;IPF;2012-11-28;Russia;MOW;Moscow;Central Federal District and Moscow City Powerlifing Championships
Aleksandr Bykov;M;SBD;Single-ply;18.5;18-19;19-23;Open;73;74;;;;;230;;;;;120;;;;;240;590;8;430.77;428.55;414.56;73.77;Yes;Russia;;FPR;IPF;2011-11-30;Russia;MOW;Moscow;Central District Powerlifting Championships
Aleksandr Bykov;M;B;Raw;35.5;35-39;24-39;Open;115.5;125;;;;;;180;187.5;-195;;187.5;;;;;;187.5;2;109.10;108.82;104.18;80.42;;Russia;;BB;;2010-12-18;Russia;;;National Championship
Aleksandr Bykov;M;SBD;Single-ply;27.5;24-34;24-39;Open;75;75;;;;;280;;;;;172.5;;;;;250;702.5;2;503.99;500.57;483.67;86.31;Yes;Russia;;FPR;IPF;2010-12-09;Russia;VGG;Kamyshin;Svetlana Stepanova Memorial Tournament
Aleksandr Bykov;M;B;Multi-ply;35.5;35-39;24-39;Pro Open;111.7;125;;;;;;190;200;-215;;200;;;;;;200;4;117.78;117.16;112.03;60.45;;Russia;;WPC-RUS;WPC;2010-04-23;Russia;MOW;Khotkovo;Moscow Regional Powerlifting and Bench Press Cup
Aleksandr Bykov;M;B;Raw;35.5;35-39;24-39;Open;116.1;125;;;;;;170;180;-185;;180;;;;;;180;1;104.54;104.33;99.90;77.03;;Russia;;BB;;2010-03-07;Russia;;;Russian Hero
Aleksandr Bykov;M;B;Raw;34.5;24-34;24-39;Open;113;125;;;;;;160;-170;175;;175;;;;;;175;2;102.62;102.17;97.74;75.79;;Russia;;BB;;2009-12-19;Russia;;;National Championship
Aleksandr Bykov;M;SBD;Single-ply;26.5;24-34;24-39;Open;73.6;75;;;;;275;;;;;160;;;;;250;685;1;497.46;494.64;478.32;85.19;Yes;Russia;;FPR;IPF;2009-12-04;Russia;VGG;Kamyshin;Svetlana Stepanova Memorial Tournament
Aleksandr Bykov;M;B;Raw;34.5;24-34;24-39;Amateur Open;100;100;;;;;;165;-170;-170;;165;;;;;;165;5;101.56;100.42;95.91;75.59;Yes;Russia;;WPC-RUS;WPC;2009-10-16;Russia;MOW;Khotkovo;PROdvizhenie Powerlifting and Bench Press Meet
Aleksandr Bykov;M;B;Raw;34.5;24-34;24-39;Open;113.3;125;;;;;;150;160;170;;170;;;;;;170;3;99.59;99.18;94.89;73.54;;Russia;;BB;;2009-05-23;Russia;;;Clear Victory
Aleksandr Bykov;M;SBD;Single-ply;26.5;24-34;24-39;Open;73.75;75;;;;;300;;;;;165;;;;;270;735;3;533.06;529.97;512.45;91.29;Yes;Russia;;FPR;IPF;2009-03-09;Russia;VLA;Vladimir;Russian Powerlifting Championships
Aleksandr Bykov;M;SBD;Single-ply;26.5;24-34;24-39;Open;73.6;75;275;290;300;;300;150;155;160;;160;260;270;280;;280;740;1;537.40;534.35;516.73;92.03;Yes;Russia;;FPR;IPF;2009-01-19;Russia;KDA;Sochi;Southern & Central District Powerlifting Championships
Aleksandr Bykov;M;SBD;Single-ply;25.5;24-34;24-39;Open;73.05;75;;;;;280;;;;;150;;;;;270;700;1;510.86;508.20;491.59;87.48;Yes;Russia;;FPR;IPF;2008-12-05;Russia;VGG;Kamyshin;Svetlana Stepanova Memorial Tournament
Aleksandr Bykov;M;SBD;Single-ply;25.5;24-34;24-39;Open;74.7;75;;;;;300;;;;;165;;;;;265;730;11;525.06;521.63;504.10;89.92;Yes;Russia;;FPR;IPF;2008-08-20;Russia;NVS;Berdsk;Russian Powerlifting Cup
Aleksandr Bykov;M;SBD;Single-ply;25.5;24-34;24-39;Open;74.6;75;;;;;310;;;;;172.5;;;;;282.5;765;6;550.71;547.15;528.80;94.31;Yes;Russia;;FPR;IPF;2008-03-11;Russia;BA;Ufa;Russian Powerlifting Championships
Aleksandr Bykov;M;SBD;Single-ply;25.5;24-34;24-39;Open;74.4;75;;;;;295;;;;;175;;;;;285;755;2;544.45;541.02;522.93;93.24;Yes;Russia;;FPR;IPF;2008-01-22;Russia;KRS;Kursk;Southern & Central Districts Championships
Aleksandr Bykov;M;SBD;Single-ply;24.5;24-34;24-39;Open;71.6;75;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2007-08-08;Russia;MOW;Moscow;Russian Powerlifting Cup
Aleksandr Bykov;M;SBD;Single-ply;24.5;24-34;24-39;Open;80.35;82.5;;;;;310;;;;;180;;;;;290;780;4;536.47;531.05;511.58;91.82;Yes;Russia;;FPR;IPF;2007-03-13;Russia;NVS;Berdsk;Russian Powerlifting Championships
Aleksandr Bykov;M;SBD;Single-ply;30.5;24-34;24-39;Open;89.5;90;;;;;290;;;;;185;;;;;275;750;6;486.32;480.16;460.30;83.01;Yes;Russia;;FPR;IPF;2007-01-25;Russia;ULY;Ulyanovsk;Volga & Ural Powerlifting Championships
Aleksandr Bykov;M;SBD;Single-ply;24.5;24-34;24-39;Open;82.9;90;;;;;320;;;;;190;;;;;275;785;2;530.30;524.36;504.43;90.71;Yes;Russia;;FPR;IPF;2007-01-18;Russia;VGG;Kamyshin;Southern District Championships
Aleksandr Bykov;M;SBD;Single-ply;23.5;24-34;24-39;Open;74;75;-300;-300;-300;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2006-09-19;Russia;KO;Syktyvkar;Russian Powerlifting Cup
Aleksandr Bykov;M;SBD;Single-ply;23.5;24-34;24-39;Open;80.35;82.5;;;;;300;;;;;185;;;;;270;755;6;519.27;514.03;495.18;88.88;Yes;Russia;;FPR;IPF;2006-01-26;Russia;KLU;Obninsk;Central & Southern Districts Powerlifting Championships
