Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Cheremukhin;M;SBD;Raw;21.5;20-23;19-23;Juniors;58.75;59;;;;;150;;;;;135;;;;;175;460;4;395.10;400.02;391.09;76.29;Yes;Ukraine;;FPR;IPF;2018-03-10;Russia;PER;Perm;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Cheremukhin;M;SBD;Raw;20.5;20-23;19-23;Juniors;58.6;59;;;;;180;;;;;145;;;;;170;495;2;426.08;431.48;421.91;82.21;Yes;Ukraine;;FPR;IPF;2017-04-12;Russia;NIZ;Kstovo;Volga Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Cheremukhin;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;58.5;59;;;;;175;;;;;137.5;;;;;160;472.5;2;407.30;412.53;403.42;69.25;Yes;Ukraine;;FPR;IPF;2016-04-14;Russia;NIZ;Kstovo;Volga Powerlifting Championships
Aleksandr Cheremukhin;M;SBD;Raw;19.5;20-23;19-23;Juniors;59;59;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Ukraine;;FPR;IPF;2016-04-14;Russia;NIZ;Kstovo;Volga Powerlifting Championships
Aleksandr Cheremukhin;M;B;Raw;38.5;35-39;24-39;O;98.9;100;;;;;;-130;130;-135;;130;;;;;;130;16;80.40;79.47;75.92;59.87;Yes;Ukraine;;RAW-UKR;;2015-12-05;Ukraine;;Kharkov;Ukrainian Powerlifting & Bench Press Championships
Aleksandr Cheremukhin;M;B;Raw;38.5;35-39;24-39;MS;98.9;100;;;;;;-130;130;-135;;130;;;;;;130;2;80.40;79.47;75.92;59.87;Yes;Ukraine;;RAW-UKR;;2015-12-05;Ukraine;;Kharkov;Ukrainian Powerlifting & Bench Press Championships
Aleksandr Cheremukhin;M;SBD;Single-ply;18.5;18-19;19-23;Open;57.7;59;;;;;170;;;;;120;;;;;165;455;1;396.82;402.44;393.87;67.41;Yes;Ukraine;;FPR;IPF;2015-10-07;Russia;NIZ;Arzamas;Russian Universities Powerlifting Championships
Aleksandr Cheremukhin;M;SBD;Raw;18.5;18-19;19-23;Open;58.2;59;;;;;115;;;;;115;;;;;155;385;1;333.32;337.76;330.40;64.17;Yes;Ukraine;;FPR;IPF;2015-10-07;Russia;NIZ;Arzamas;Russian Universities Powerlifting Championships
Aleksandr Cheremukhin;M;B;Raw;38.5;35-39;24-39;MS;99.4;100;;;;;;-147.5;-147.5;147.5;;147.5;;;;;;147.5;2;91.03;89.98;85.95;67.77;Yes;Ukraine;;RAW-UKR;;2015-04-18;Ukraine;;Kharkov;Kharkov International Tournament
Aleksandr Cheremukhin;M;B;Raw;38.5;35-39;24-39;O;99.4;100;;;;;;-147.5;-147.5;147.5;;147.5;;;;;;147.5;10;91.03;89.98;85.95;67.77;Yes;Ukraine;;RAW-UKR;;2015-04-18;Ukraine;;Kharkov;Kharkov International Tournament
Aleksandr Cheremukhin;M;SBD;Raw;18.5;18-19;19-23;Juniors;59;59;;;;;130;;;;;125;;;;;150;405;1;346.63;350.80;342.89;67.02;Yes;Ukraine;;FPR;IPF;2015-04-16;Russia;NIZ;Arzamas;Volga Juniors & Sub-Juniors Powerlifting Championships
