Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Chirkov;M;B;Raw;23;20-23;19-23;Juniors 20-23;72;75;;;;;;120;125;-127.5;;125;;;;;;125;2;92.11;91.71;88.77;67.64;Yes;Russia;;RPU;;2018-12-15;Russia;;Chkalovsk;Rostislav Alexeev Cup
Aleksandr Chirkov;M;SBD;Single-ply;22.5;20-23;19-23;Open;72.05;74;;;;;155;;;;;125;;;;;175;455;3;335.12;333.67;322.96;57.38;Yes;Russia;;FPR;IPF;2018-03-24;Russia;NIZ;Nizhny Novgorod;Nizhny Novgorod Powerlifting Universaide
Aleksandr Chirkov;M;B;Raw;22;20-23;19-23;Juniors 20-23;72.1;75;;;;;;125;127.5;-130;;127.5;;;;;;127.5;1;93.86;93.45;90.45;68.94;Yes;Russia;;RPU;;2018-02-17;Russia;;Chkalovsk;Chkalovsk Cup
Aleksandr Chirkov;M;B;Raw;22;20-23;19-23;Juniors 20-23;73;75;;;;;;125;127.5;;;127.5;;;;;;127.5;2;93.09;92.61;89.59;68.49;Yes;Russia;;GPA;GPA;2017-11-18;Russia;;Dolgoprudny;World Cup
Aleksandr Chirkov;M;B;Raw;22;20-23;19-23;Juniors 20-23;73.9;75;;;;;;120;125;127.5;;127.5;;;;;;127.5;1;92.35;91.80;88.76;68.04;Yes;Russia;;RPU;;2017-11-04;Russia;NIZ;Nizhny Novgorod;Cup of the Privolzhsky Federal District
Aleksandr Chirkov;M;B;Raw;21.5;20-23;19-23;Amateur Juniors 20-23;74.7;75;;;;;;115;120;127.5;;127.5;;;;;;127.5;2;91.71;91.11;88.05;67.66;Yes;Russia;;WPC-RUS;WPC;2017-05-13;Russia;NIZ;Nizhny Novgorod;Victory Cup
Aleksandr Chirkov;M;B;Raw;18.5;18-19;19-23;Open;80.85;83;;;;;;105;-110;-110;;105;;;;;;105;6;71.96;71.21;68.58;53.46;Yes;Russia;;FPR;IPF;2016-12-24;Russia;PER;Perm;PGFA Classic Bench Press Tournament
Aleksandr Chirkov;M;B;Raw;21;20-23;19-23;Juniors 20-23;72.4;75;;;;;;-107.5;112.5;-117.5;;112.5;;;;;;112.5;2;82.59;82.21;79.55;60.70;Yes;Russia;;RPU;;2016-10-29;Russia;NIZ;Nizhny Novgorod;Place of Power Tournament
Aleksandr Chirkov;M;SBD;Raw;18.5;18-19;19-23;Open;73.8;74;;;;;130;;;;;100;;;;;155;385;3;279.10;277.47;268.29;56.60;Yes;Russia;;FPR;IPF;2016-04-29;Russia;PER;Perm;PGFA Classic Powerlifting Cup
Aleksandr Chirkov;M;SBD;Single-ply;22.5;20-23;19-23;Open;80.4;82.5;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2003-01-18;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
Aleksandr Chirkov;M;B;Single-ply;26.5;24-34;24-39;Open;89;90;;;;;;190;200;207.5;;207.5;;;;;;207.5;6;134.93;133.23;127.75;70.49;Yes;Russia;;FPR;IPF;2002-06-07;Russia;NIZ;Nizhny Novgorod;Russian Bench Press Championships
