Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Danilov;M;B;Raw;33;24-34;24-39;Open;81.5;82.5;;;;;;125;130;135;;135;;;;;;135;5;92.09;91.11;87.71;68.45;Yes;Russia;;IPL;IPL;2021-06-26;Russia;LEN;St. Petersburg;European Cup
Aleksandr Danilov;M;B;Raw;21;20-23;19-23;Open;74.7;75;;;;;;117.5;-122.5;122.5;;122.5;;;;;;122.5;3;88.11;87.53;84.59;65.00;Yes;Russia;;RPU;;2019-12-21;Russia;VLG;Vologda;Russian North Tournament
Aleksandr Danilov;M;SBD;Raw;24.5;24-34;24-39;Open;81.95;83;;;;;165;;;;;110;;;;;190;465;5;316.19;312.76;301.03;64.78;Yes;Russia;;FPR;IPF;2019-10-26;Russia;TA;Zelenodolsk;Tatarstan Classic Powerlifting Championships
Aleksandr Danilov;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;74;74;;;;;135;;;;;90;;;;;170;395;4;285.84;284.13;274.69;57.99;Yes;Russia;;FPR;IPF;2019-01-18;Russia;PER;Krasnokamsk;Perm Krai Juniors Classic Powerlifting Championships
Aleksandr Danilov;M;B;Raw;20;20-23;19-23;Juniors 20-23;73.1;75;;;;;;105;-117.5;-117.5;;105;;;;;;105;1;76.59;76.19;73.70;56.36;Yes;Russia;;RPU;;2018-12-21;Russia;;Bologda;Russian North Tournament
Aleksandr Danilov;M;SBD;Raw;23.5;24-34;24-39;Open;81.6;83;165;175;180;;180;-115;115;122.5;;122.5;197.5;202.5;210;;210;512.5;4;349.34;345.61;332.71;71.56;Yes;Russia;;FPR;IPF;2018-10-27;Russia;TA;Zelenodolsk;Rebublic Of Tatarstan Powerlifting Championships
Aleksandr Danilov;M;SBD;Single-ply;23.5;24-34;24-39;Open;82.7;83;155;165;170;;170;110;115;-120;;115;165;175;185;;185;470;4;317.94;314.40;302.48;54.39;Yes;Russia;;FPR;IPF;2018-05-20;Russia;TA;Kazan;Kazan Powerlifting Championships
Aleksandr Danilov;M;B;Raw;40;40-44;40-49;Masters 40-44;109.3;110;;;;;;142.5;-147.5;-147.5;;142.5;;;;;;142.5;1;84.60;84.03;80.29;62.64;Yes;Russia;;RPU;;2018-02-17;Russia;;Chkalovsk;Chkalovsk Cup
Aleksandr Danilov;M;SBD;Single-ply;19.5;20-23;19-23;Open;69.1;74;;;;;140;;;;;75;;;;;140;355;12;269.08;268.70;260.55;46.05;Yes;Russia;;FPR;IPF;2017-03-17;Russia;LEN;St. Petersburg;St. Petersburg University Powerlifting Championships
Aleksandr Danilov;M;SBD;Single-ply;31.5;24-34;24-39;Open;110;110;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2002-01-25;Russia;MOW;Moscow;Moscow City Powerlifting Championships
Aleksandr Danilov;M;SBD;Single-ply;;;;Open;82;82.5;;;;;120;;;;;120;;;;;175;415;5;282.09;279.03;268.56;48.27;Yes;Russia;;FPR;IPF;2000-05-14;Russia;VLG;Vologda;Vologda Open Powerlifting Championships
