Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Davletzyanov;M;B;Single-ply;33.5;24-34;24-39;Open;81.3;83;;;;;;230;240;-245;;240;;;;;;240;4;163.94;162.21;156.18;86.71;Yes;;;FPR;IPF;2020-02-18;Russia;MOW;Moscow;Russian Bench Press Championships
Aleksandr Davletzyanov;M;B;Raw;32.5;24-34;24-39;Open;81.7;83;;;;;;150;165;180;;180;;;;;;180;1;122.61;121.29;116.76;91.15;Yes;;;FPR;IPF;2019-05-31;Russia;YAN;Muravlenko;Russia Classic Bench Press Cup
Aleksandr Davletzyanov;M;B;Single-ply;32.5;24-34;24-39;Open;81.9;83;;;;;;-240;-240;240;;240;;;;;;240;1;163.25;161.49;155.43;86.25;Yes;;;FPR;IPF;2019-05-31;Russia;YAN;Muravlenko;Russian Bench Press Cup
Aleksandr Davletzyanov;M;B;Single-ply;32.5;24-34;24-39;Open;82.55;83;;;;;;-240;240;-257.5;;240;;;;;;240;7;162.52;160.72;154.64;85.76;Yes;;;FPR;IPF;2019-02-20;Russia;SVE;Yekaterinburg;Russian Bench Press Championships
Aleksandr Davletzyanov;M;B;Single-ply;31.5;24-34;24-39;Open;81.65;83;;;;;;-235;245;-262.5;;245;;;;;;245;4;166.94;165.16;158.99;88.24;Yes;;;FPR;IPF;2018-11-13;Russia;VLA;Suzdal;Russian Bench Press Championships
Aleksandr Davletzyanov;M;SBD;Single-ply;31.5;24-34;24-39;Open;82.1;83;;;;;285;;;;;235;;;;;275;795;3;540.02;534.13;514.06;92.39;Yes;;;FPR;IPF;2018-02-13;Russia;TYU;Tyumen;Russian Powerlifting Championships
Aleksandr Davletzyanov;M;SBD;Single-ply;30.5;24-34;24-39;Open;82.25;83;;;;;280;;;;;235;;;;;270;785;3;532.67;526.84;506.99;91.13;Yes;;;FPR;IPF;2017-03-20;Russia;SVE;Yekaterinburg;Russian Powerlifting Championships
Aleksandr Davletzyanov;M;SBD;Single-ply;29.5;24-34;24-39;Open;82.55;83;;;;;270;;;;;232.5;;;;;270;772.5;2;523.11;517.32;497.75;89.49;Yes;;;FPR;IPF;2016-11-30;Russia;YAN;Tarko-Sale;Ural Powerlifting Championships
Aleksandr Davletzyanov;M;SBD;Single-ply;29.5;24-34;24-39;Open;83;83;;;;;280;;;;;232.5;;;;;270;782.5;5;528.26;522.32;502.43;90.36;Yes;;;FPR;IPF;2016-03-15;Russia;TYU;Tyumen;Russian Powerlifting Championships
Aleksandr Davletzyanov;M;SBD;Single-ply;28.5;24-34;24-39;Open;81.65;83;;;;;270;;;;;220;;;;;280;770;2;524.68;519.07;499.68;89.78;Yes;;;FPR;IPF;2015-12-02;Russia;YAN;Tarko-Sale;Ural Powerlifting Championships
Aleksandr Davletzyanov;M;SBD;Single-ply;28.5;24-34;24-39;Open;81.75;83;;;;;-290;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2015-02-25;Russia;PRI;Vladivostok;Russian Powerlifting Championships
