Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Davydov;M;B;Raw;29;24-34;24-39;Amateur Open;87.2;90;;;;;;125;130;-132.5;;130;;;;;;130;1;85.44;84.38;80.98;63.68;Yes;Russia;;WRPF;WRPF;2019-11-02;Russia;MOW;Moscow;World Class Club Tournament
Aleksandr Davydov;M;D;Raw;16;16-17;14-18;Amateur Teen 14-16;81.8;82.5;;;;;;;;;;;130;150;170;;170;170;1;115.72;114.47;110.19;;Yes;Russia;;WRPF;WRPF;2019-06-15;Russia;STA;Stavropol;Sun Cup
Aleksandr Davydov;M;SBD;Wraps;33;24-34;24-39;Amateur Open;109.1;110;275;285;-295;;285;190;195;202.5;;202.5;270;290;-310;;290;777.5;1;461.92;458.72;438.32;94.31;;Russia;;NAP;IPA;2019-06-01;Russia;SVE;Yekaterinburg;Ural & Siberian Cup
Aleksandr Davydov;M;B;Raw;33;24-34;24-39;Pro Open;109.1;110;;;;;;190;195;202.5;;202.5;;;;;;202.5;1;120.31;119.47;114.16;89.10;;Russia;;NAP;IPA;2019-06-01;Russia;SVE;Yekaterinburg;Ural & Siberian Cup
Aleksandr Davydov;M;B;Raw;28;24-34;24-39;Open;88.8;90;;;;;;130;-137.5;-137.5;;130;;;;;;130;3;84.63;83.57;80.14;63.10;;Russia;;WRPF;WRPF;2019-01-26;Russia;MOW;Moscow;World Class Tournament
Aleksandr Davydov;M;D;Raw;33;24-34;24-39;Pro Open;112.7;125;;;;;;;;;;;290;-305;-305;;290;290;1;170.22;169.45;162.08;;;Russia;;NAP;IPA;2018-12-16;Russia;SVE;Yekateriburg;Eurasian Union Championships
Aleksandr Davydov;M;D;Raw;16;16-17;14-18;Amateur Teen 14-16;81.2;82.5;;;;;;;;;;;100;112.5;125;;125;125;2;85.45;84.55;81.41;;Yes;Russia;;WRPF;WRPF;2018-12-08;Russia;STA;Stavropol;Russian Cup
Aleksandr Davydov;M;B;Raw;28;24-34;24-39;Open;87.1;90;;;;;;127.5;-132.5;135;;135;;;;;;135;20;88.78;87.68;84.16;66.17;Yes;Russia;;WRPF;WRPF;2018-10-04;Russia;MOW;Moscow;World Championships
Aleksandr Davydov;M;B;Raw;28;24-34;24-39;Open;86.5;90;;;;;;125;-132.5;-135;;125;;;;;;125;18;82.50;81.49;78.24;61.48;Yes;Russia;;WRPF;WRPF;2018-04-27;Russia;MOW;Moscow;European Championships
Aleksandr Davydov;M;SBD;Wraps;32;24-34;24-39;Pro Open;113.3;125;230;245;255;;255;185;-195;195;;195;250;270;290;;290;740;1;433.53;431.73;413.04;88.24;;Russia;;NAP;IPA;2018-04-14;Russia;SVE;Yekaterinburg;European Cup
Aleksandr Davydov;M;B;Raw;27;24-34;24-39;Open;86;90;;;;;;125;132.5;-137.5;;132.5;;;;;;132.5;2;87.72;86.66;83.22;65.36;;Russia;;WRPF;WRPF;2017-10-21;Russia;MOW;Moscow;World Class Cup
Aleksandr Davydov;M;SBD;Wraps;31;24-34;24-39;Pro Open;109.5;110;255;262.5;-272.5;;262.5;175;182.5;195;;195;252.5;-260;260;;260;717.5;2;425.68;422.84;404.07;86.89;;Russia;;NAP;IPA;2017-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 11
Aleksandr Davydov;M;D;Raw;31;24-34;24-39;Pro Open;111.5;100+;;;;;;;;;;;240;260;-280;;260;260;1;153.21;152.39;145.71;;;Russia;;NAP;IPA;2017-08-12;Russia;SVE;Zarechnyy;Open Air Russian Barbell 4
Aleksandr Davydov;M;B;Raw;31;24-34;24-39;Pro Open;111.5;100+;;;;;;180;-190;-190;;180;;;;;;180;3;106.07;105.50;100.87;78.42;;Russia;;NAP;IPA;2017-08-12;Russia;SVE;Zarechnyy;Open Air Russian Barbell 4
Aleksandr Davydov;M;D;Raw;34;24-34;24-39;Open;80.3;82.5;;;;;;;;;;;-282.5;-282.5;282.5;;282.5;282.5;2;194.37;192.41;185.36;;Yes;Russia;;RPU;;2017-06-23;Russia;VLA;Suzdal;National Powerlifting Cup
Aleksandr Davydov;M;B;Raw;27;24-34;24-39;Amateur Open;85.7;90;;;;;;135;-145;-145;;135;;;;;;135;16;89.55;88.47;84.97;66.71;Yes;Russia;;WPC-RUS;WPC;2017-04-23;Russia;MOW;Moscow;Kremlin Gym Competition
Aleksandr Davydov;M;B;Raw;26;24-34;24-39;Amateur Open;87.2;90;;;;;;125;135;142.5;;142.5;;;;;;142.5;8;93.65;92.49;88.77;69.81;Yes;Russia;;WPC-RUS;WPC;2017-02-25;Russia;MOW;Moscow;Megapolis Championship
Aleksandr Davydov;M;SBD;Raw;15.5;16-17;14-18;Sub-Juniors;57.65;59;;;;;82.5;;;;;65;;;;;125;272.5;2;237.83;241.22;236.10;45.65;Yes;Russia;;FPR;IPF;2017-02-17;Russia;NIZ;Shatki;Nizhny Novgorod Oblast Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Davydov;M;SBD;Raw;14.5;13-15;14-18;Sub-Juniors;59;59;;;;;85;;;;;65;;;;;132.5;282.5;5;241.78;244.69;239.17;46.75;Yes;Russia;;FPR;IPF;2016-02-20;Russia;NIZ;Shatki;Nizhny Novgorod Oblast Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Davydov;M;B;Raw;14.5;13-15;14-18;Sub-Juniors;58.85;59;;;;;;60;65;-67.5;;65;;;;;;65;4;55.75;56.43;55.17;39.28;Yes;Russia;;FPR;IPF;2016-01-23;Russia;NIZ;Trans-Volga;Nizhny Novgorod Oblast Bench Press Championships
Aleksandr Davydov;M;B;Raw;24.5;24-34;24-39;Amateur Open;85.9;90;;;;;;135;-142.5;147.5;;147.5;;;;;;147.5;2;97.71;96.53;92.71;72.80;Yes;Russia;;WPC-RUS;WPC;2015-05-30;Russia;VGG;Volgograd;Volgograd Oblast Championships
Aleksandr Davydov;M;D;Raw;30.5;24-34;24-39;PFM;88.7;90;;;;;;;;;;;-235;235;-245;;235;235;1;153.08;151.15;144.96;;Yes;Russia;;Vityaz;;2015-05-16;Russia;MOW;Moscow;Russia Championships
Aleksandr Davydov;M;SBD;Single-ply;13.5;13-15;14-18;Sub-Juniors;52.2;53;;;;;75;;;;;57.5;;;;;97.5;230;3;219.49;224.79;221.33;36.99;Yes;Russia;;FPR;IPF;2015-02-21;Russia;NIZ;Shatki;Nizhny Novgorod Oblast Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Davydov;M;B;Single-ply;13.5;13-15;14-18;Sub-Juniors;50.75;53;;;;;;45;50;-55;;50;;;;;;50;5;49.02;50.34;49.65;30.50;Yes;Russia;;FPR;IPF;2015-02-07;Russia;NIZ;Zavolzhye;Nizhny Novgorod Oblast Bench Press Championships
Aleksandr Davydov;M;SBD;Wraps;16;16-17;14-18;Amateur Teen 14-16;80.8;82.5;160;170;-180;;170;95;-105;-105;;95;200;210;-220;;210;475;1;325.63;322.27;310.38;66.65;Yes;Russia;;NAP;IPA;2013-12-05;Russia;NVS;Berdsk;Steel Arena 3
Aleksandr Davydov;M;B;Raw;24;24-34;24-39;Amateur Open;99.1;100;;;;;;-140;162.5;-170;;162.5;;;;;;162.5;7;100.42;99.26;94.82;74.77;Yes;Russia;;WPC-RUS;WPC;2013-03-02;Russia;ROS;Rostov-on-Don;Southern Federal District Championships
Aleksandr Davydov;M;SBD;Single-ply;22.5;20-23;19-23;Open;73.4;75;;;;;250;;;;;140;;;;;260;650;9;472.88;470.28;454.82;80.98;Yes;Russia;;FPR;IPF;2005-10-28;Russia;ORE;Orenburg;Russian Students Powerlifting Championships
