Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Dmitriev;M;B;Raw;25;24-34;24-39;Open;72.9;75;;;;;;-125;125;135;;135;;;;;;135;1;98.66;98.16;94.96;72.57;Yes;Russia;;RPU;;2021-05-01;Russia;TVE;Tver;Cup of the Great Victory
Aleksandr Dmitriev;M;SBD;Wraps;31;24-34;24-39;Open;99.3;100;180;200;-205;;200;145;-152.5;-152.5;;145;145;165;175;;175;520;5;321.05;317.36;303.16;65.91;Yes;Russia;;RPU;;2017-11-25;Russia;;Tver;Athanasius Nikitin Cup
Aleksandr Dmitriev;M;B;Raw;31;24-34;24-39;Open;99.3;100;;;;;;145;;;;145;;;;;;145;4;89.52;88.50;84.53;66.65;Yes;Russia;;RPU;;2017-11-25;Russia;;Tver;Athanasius Nikitin Cup
Aleksandr Dmitriev;M;B;Raw;31;24-34;24-39;Open;97.4;100;;;;;;140;150;-152.5;;150;;;;;;150;4;93.41;92.29;88.19;69.59;;Russia;;RPU;;2017-04-08;Russia;TVE;Tver;Tver Bench Press Tournament
Aleksandr Dmitriev;M;B;Raw;51.5;50-54;50-59;Masters 50-54;105.7;110;;;;;;150;160;-165;;160;;;;;;160;1;96.24;95.39;91.09;71.42;;Russia;;RPU;;2016-02-26;Russia;MOW;Moscow;Tournament of Strong Spirit and the Goblet of St George the Victorious
Aleksandr Dmitriev;M;B;Raw;16;16-17;14-18;Amateur Teen 16-17;62.7;67.5;;;;;;85;90;-92.5;;90;;;;;;90;1;73.33;73.80;71.90;52.51;Yes;Russia;;WPC-RUS;WPC;2016-01-31;Russia;BEL;Belgorod;Belgorod Region Championships
Aleksandr Dmitriev;M;B;Raw;20;20-23;19-23;Amateur Juniors 20-23;70;75;;;;;;120;127.5;-132.5;;127.5;;;;;;127.5;2;95.77;95.55;92.60;70.05;Yes;Russia;;WPC-RUS;WPC;2015-10-31;Russia;KYA;Krasnoyarsk;Krasnoyarsk Cup
Aleksandr Dmitriev;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;147.2;120+;;;;;260;;;;;110;;;;;220;590;1;318.89;327.31;309.92;63.07;Yes;Russia;;FPR;IPF;2015-04-16;Russia;TUL;Tula;Central District Powerlifting Championships
Aleksandr Dmitriev;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;150.5;120+;;;;;250;;;;;130;;;;;261;641;1;344.40;354.50;335.09;67.95;Yes;Russia;;FPR;IPF;2014-12-22;Russia;VLA;Suzdal;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Dmitriev;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;146.15;120+;;;;;240;;;;;130;;;;;225;595;1;322.22;330.42;313.02;63.78;Yes;Russia;;FPR;IPF;2014-11-11;Russia;TUL;Tula;Russian Sports Schools Classic Powerlifting Championships
