Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Dobrynin;M;SBD;Raw;43;40-44;40-49;Masters 40-44;98.6;100;195;-200;205;;205;135;140;-145;;140;-220;230;235;;235;580;1;359.21;355.01;339.17;73.76;Yes;Russia;;RPU;;2021-03-19;Russia;SAM;Samara;Eurasian Cup
Aleksandr Dobrynin;M;B;Raw;27;24-34;24-39;Amateur Open;106.2;110;;;;;;170;-180;-180;;170;;;;;;170;1;102.06;101.19;96.63;75.72;Yes;Russia;;WRPF;WRPF;2019-11-02;Russia;;Angarsk;Heavy Metal Tournament
Aleksandr Dobrynin;M;B;Raw;26.5;24-34;24-39;Open;118.25;120;;;;;;190;200;205;;205;;;;;;205;2;118.32;118.27;113.31;87.03;Yes;Russia;;FPR;IPF;2019-04-20;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Dobrynin;M;D;Raw;25;24-34;24-39;Amateur Open;73.4;75;;;;;;;;;;;160;170;177.5;;177.5;177.5;4;129.13;128.42;124.20;;Yes;Russia;;WPC-RUS;WPC;2016-06-08;Russia;LEN;St. Petersburg;Russian Championships
Aleksandr Dobrynin;M;B;Raw;24.5;24-34;24-39;Amateur Open;73.1;75;;;;;;-105;-105;-105;;;;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2016-01-30;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksandr Dobrynin;M;D;Raw;24.5;24-34;24-39;Amateur Open;73.1;75;;;;;;;;;;;-155;155;-177.5;;155;155;3;113.07;112.47;108.80;;Yes;Russia;;WPC-RUS;WPC;2016-01-30;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksandr Dobrynin;M;B;Raw;27.5;24-34;24-39;O;98.15;100;;;;;;172.5;-175;-175;;172.5;;;;;;172.5;3;107.05;105.79;101.08;79.73;;Russia;;Vityaz;;2015-05-16;Russia;MOW;Moscow;Russia Championships
Aleksandr Dobrynin;M;B;Raw;26.5;24-34;24-39;O;99.4;100;;;;;;170;-175;-175;;170;;;;;;170;7;104.91;103.71;99.07;78.10;;Russia;;Vityaz;;2014-12-26;Russia;MOW;Moscow;Vladimir Kravtsov's European Championships
Aleksandr Dobrynin;M;B;Raw;26.5;24-34;24-39;Pro Open;98.2;100;;;;;;165;170;-177.5;;170;;;;;;170;6;105.47;104.23;99.59;78.56;;Russia;;WPC-RUS;WPC;2014-02-20;Russia;MOW;Moscow;Megapolis Championships
Aleksandr Dobrynin;M;B;Raw;26;24-34;24-39;Pro Open;98.4;100;;;;;;165;170;-175;;170;;;;;;170;12;105.38;104.14;99.50;78.48;;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksandr Dobrynin;M;B;Raw;25;24-34;24-39;Pro Open;88.9;90;;;;;;150;-157.5;-157.5;;150;;;;;;150;23;97.60;96.37;92.41;72.77;;Russia;;WPC-RUS;WPC;2013-02-22;Russia;MOW;Moscow;Megapolis Championships
