Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Dotsenko;M;B;Raw;31;24-34;24-39;Amateur Open;80.9;82.5;;;;;;145;-150;-150;;145;;;;;;145;4;99.33;98.30;94.67;73.80;Yes;;;WRPF;WRPF;2022-04-30;Russia;KIR;Kirov;Philip Obukhov Cup
Aleksandr Dotsenko;M;B;Single-ply;36.5;35-39;24-39;Open;113.45;120;;;;;;280;290;300;;300;;;;;;300;5;175.67;174.96;167.39;90.12;Yes;;;FPR;IPF;2021-02-11;Russia;TUL;Tula;Russian Bench Press Championships
Aleksandr Dotsenko;M;B;Single-ply;35.5;35-39;24-39;Open;113.3;120;;;;;;-270;270;280;;280;;;;;;280;6;164.04;163.36;156.28;84.15;Yes;;;FPR;IPF;2020-02-18;Russia;MOW;Moscow;Russian Bench Press Championships
Aleksandr Dotsenko;M;B;Single-ply;34.5;24-34;24-39;Open;114.95;120;;;;;;260;270;-280;;270;;;;;;270;6;157.37;156.90;150.19;80.69;Yes;;;FPR;IPF;2019-05-31;Russia;YAN;Muravlenko;Russian Bench Press Cup
Aleksandr Dotsenko;M;B;Single-ply;33.5;24-34;24-39;Open;115.55;120;;;;;;255;-270;270;;270;;;;;;270;6;157.08;156.69;150.01;80.53;Yes;;;FPR;IPF;2018-11-13;Russia;VLA;Suzdal;Russian Bench Press Championships
Aleksandr Dotsenko;M;SBD;Raw;16.5;16-17;14-18;Open;73.3;74;;;;;125;;;;;90;;;;;145;360;12;262.14;260.72;252.16;53.11;Yes;;;FPR;IPF;2017-11-30;Russia;IRK;Cheremkhovo;Irutsk Oblast Powerlifting Championships
Aleksandr Dotsenko;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;73.3;74;;;;;125;;;;;90;;;;;145;360;7;262.14;260.72;252.16;53.11;Yes;;;FPR;IPF;2017-11-30;Russia;IRK;Cheremkhovo;Irutsk Oblast Powerlifting Championships
Aleksandr Dotsenko;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;73.3;74;;;;;125;;;;;90;;;;;145;360;7;262.14;260.72;252.16;53.11;Yes;;;FPR;IPF;2017-05-19;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Cup
Aleksandr Dotsenko;M;B;Raw;31.5;24-34;24-39;Amateur Open;108.2;110;;;;;;167.5;175;180;;180;;;;;;180;2;107.28;106.48;101.72;79.49;Yes;Russia;;WPC-RUS;WPC;2016-11-19;Russia;ROS;Rostov-on-Don;CIS Championships
Aleksandr Dotsenko;M;B;Raw;27.5;24-34;24-39;Amateur Open;70.4;75;;;;;;120;125;-130;;125;;;;;;125;6;93.53;93.27;90.36;68.46;Yes;;;WPC-RUS;WPC;2013-07-13;Russia;KDA;Krasnodar;South Russia Championships
Aleksandr Dotsenko;M;B;Raw;27.5;24-34;24-39;Amateur Open;72.3;75;;;;;;110;120;125;;125;;;;;;125;5;91.85;91.43;88.49;67.49;Yes;Russia;;WPC;WPC;2013-04-04;Russia;KDA;Krasnodar;Eurasian Championships
Aleksandr Dotsenko;M;B;Raw;25.5;24-34;24-39;O;96.9;100;;;;;;157.5;-162.5;162.5;;162.5;;;;;;162.5;3;101.43;100.20;95.77;75.57;Yes;Ukraine;;UDFPF;WDFPF;2008-09-12;Ukraine;;Neteshin;Ukrainian Cup
