Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Fetisov;M;SBD;Wraps;27;24-34;24-39;Pro Open;112.5;125;-270;270;-280;;270;-175;-175;-175;;;;;;;;;DQ;;;;;;;;WRPF;WRPF;2021-04-10;Russia;KIR;Kirov;Living Steel
Aleksandr Fetisov;M;B;Raw;32;24-34;24-39;Open;75;75;;;;;;145;150;155;;155;;;;;;155;1;111.20;110.45;106.72;82.08;Yes;;;RPU;;2019-12-14;Russia;KOS;Kostroma;Ivan Susanin Cup
Aleksandr Fetisov;M;B;Raw;32;24-34;24-39;Amateur Open;75;75;;;;;;140;150;-155;;150;;;;;;150;1;107.61;106.88;103.28;79.43;Yes;;;WRPF;WRPF;2019-11-23;Russia;IVA;Ivanovo;St George the Victorious Cup II
Aleksandr Fetisov;M;B;Raw;32;24-34;24-39;Open;73;75;;;;;;150;-155;-155;;150;;;;;;150;1;109.52;108.95;105.40;80.58;Yes;;;RPU;;2019-05-24;Russia;VLG;Vologda;National Championships
Aleksandr Fetisov;M;B;Raw;32;24-34;24-39;Open;73.2;75;;;;;;130;150;155;;155;;;;;;155;1;112.97;112.36;108.68;83.14;Yes;;;RPU;;2019-05-18;Russia;IVA;Ivanovo;Ivanovo-Voznesensk Tournament
Aleksandr Fetisov;M;B;Raw;31;24-34;24-39;Open;73.6;75;;;;;;130;-150;155;;155;;;;;;155;1;112.56;111.92;108.23;82.90;Yes;;;RPU;;2019-04-28;Russia;NIZ;Nizhny Novgorod;Battle of the Volga IV
Aleksandr Fetisov;M;SBD;Wraps;26;24-34;24-39;Open;120;100+;-252.5;-260;260;;260;-165;165;-170;;165;290;-300;;;290;715;2;410.63;411.07;393.91;83.12;;;;WRPF;WRPF;2019-03-30;Russia;KIR;Kirov;Andrey Belyaev Cup
Aleksandr Fetisov;M;B;Raw;31;24-34;24-39;Amateur Open;74.9;75;;;;;;-150;-150;-150;;;;;;;;;DQ;;;;;Yes;;;WRPF;WRPF;2018-12-15;Russia;IVA;Ivanovo;Cup of St. George the Victorious
Aleksandr Fetisov;M;SBD;Wraps;25;24-34;24-39;Amateur Open;115.15;125;210;220;230;;230;150;160;-170;;160;250;280;-300;;280;670;1;390.26;389.17;372.54;79.31;Yes;;;NAP;IPA;2018-08-11;Russia;KIR;Kirov;Kirov Oblast Championships
Aleksandr Fetisov;M;B;Raw;20.5;20-23;19-23;Juniors;65.75;66;;;;;;90;97.5;-107.5;;97.5;;;;;;97.5;2;76.61;76.80;74.64;55.42;Yes;;;FPR;IPF;2015-11-28;Russia;IRK;Irkutsk;Irkutsk Bench Press Championships
Aleksandr Fetisov;M;B;Raw;20.5;20-23;19-23;Open;65.75;66;;;;;;90;97.5;-107.5;;97.5;;;;;;97.5;5;76.61;76.80;74.64;55.42;Yes;;;FPR;IPF;2015-11-28;Russia;IRK;Irkutsk;Irkutsk Bench Press Championships
Aleksandr Fetisov;M;B;Raw;27.5;24-34;24-39;Open;74;75;;;;;;150;155;160;;160;;;;;;160;1;115.78;115.09;111.27;85.33;Yes;;;RPU;;2015-06-20;Russia;VLA;Suzdal;Russian Cup
Aleksandr Fetisov;M;B;Raw;27.5;24-34;24-39;Open;73.7;75;;;;;;150;155;157.5;;157.5;;;;;;157.5;1;114.28;113.62;109.87;84.18;Yes;;;RPU;;2015-05-30;Russia;VLG;Vologda;Russian Championships
Aleksandr Fetisov;M;B;Raw;25;24-34;24-39;Amateur Open;72;75;;;;;;135;145;-150;;145;;;;;;145;6;106.84;106.39;102.98;78.47;Yes;;;WPC-RUS;WPC;2013-02-22;Russia;MOW;Moscow;Megapolis Championships
