Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Filimonov;M;SBD;Raw;19.5;20-23;19-23;Open;72.35;74;;;;;175;;;;;122.5;;;;;170;467.5;3;343.37;341.79;330.76;69.44;Yes;Russia;;FPR;IPF;2019-11-14;Russia;KGD;Guryevsk;VMS Tatyana Yeltsova Tournament
Aleksandr Filimonov;M;SBD;Raw;19.5;20-23;19-23;Open;72.3;74;;;;;160;;;;;107.5;;;;;160;427.5;8;314.13;312.70;302.62;63.52;Yes;Russia;;FPR;IPF;2019-06-08;Russia;KGD;Guryevsk;Siberian Cup
Aleksandr Filimonov;M;SBD;Raw;17.5;18-19;14-18;Juniors;80.7;83;;;;;170;;;;;100;;;;;190;460;10;315.58;312.33;300.83;64.59;Yes;Russia;;FPR;IPF;2017-11-20;Russia;TUL;Tula;Russian Sports Schools Classic Powerlifting Championships
Aleksandr Filimonov;M;SBD;Wraps;25;24-34;24-39;Amateur Open;115.5;125;220;240;250;;250;180;-190;-200;;180;270;290;295;;295;725;2;421.85;420.78;402.84;85.71;Yes;Russia;;NAP;IPA;2013-10-04;Russia;SVE;Yekaterinburg;Golden Tiger 7
Aleksandr Filimonov;M;D;Raw;25;24-34;24-39;Pro Open;115.7;125;;;;;;;;;;;250;270;;;270;270;2;157.01;156.63;149.96;;;Russia;;WPC;WPC;2013-08-15;Russia;NVS;Novosibirsk;World Cup
Aleksandr Filimonov;M;SBD;Wraps;25.5;24-34;24-39;Amateur Open;121.3;125;200;210;240;;240;170;180;190;;190;250;270;285;;285;715;1;409.17;410.06;392.94;82.73;Yes;Russia;;NAP;IPA;2013-06-12;Russia;NVS;Berdsk;Siberian Challenge
Aleksandr Filimonov;M;B;Raw;24.5;24-34;24-39;Amateur Open;110;110;;;;;;150;160;-167.5;;160;;;;;;160;3;94.76;94.16;89.99;70.14;Yes;Russia;;WPC;WPC;2012-08-15;Russia;NVS;Novosibirsk;European Cup
Aleksandr Filimonov;M;D;Raw;24.5;24-34;24-39;Amateur Open;110;110;;;;;;;;;;;240;-260;-260;;240;240;2;142.14;141.24;134.99;;Yes;Russia;;WPC;WPC;2012-08-15;Russia;NVS;Novosibirsk;European Cup
Aleksandr Filimonov;M;SBD;Raw;24.5;24-34;24-39;Pro Open;115.6;125;220;240;-250;;240;170;180;-190;;180;250;280;-300;;280;700;1;407.18;406.18;388.87;82.72;;Russia;;WPC;WPC;2012-03-14;Russia;SVE;Yekaterinburg;Eastern European Championships
Aleksandr Filimonov;M;SBD;Multi-ply;;;;Pro Open;111.4;125;;;;;;;;;;;;;;;;650;1;383.16;381.07;364.35;64.73;;Russia;;NAP;IPA;2011-12-16;Russia;NVS;Berdsk;Steel Arena
Aleksandr Filimonov;M;B;Multi-ply;23.5;24-34;24-39;Pro Open;110.5;125;;;;;;155;162.5;-167.5;;162.5;;;;;;162.5;3;96.08;95.50;91.28;49.34;;Russia;;WPC;WPC;2011-11-25;Russia;NVS;Novosibirsk;Asian Cup
Aleksandr Filimonov;M;SBD;Raw;23.5;24-34;24-39;Pro Open;109.1;110;180;200;-210;;200;145;155;160;;160;220;230;240;;240;600;2;356.47;354.00;338.26;72.78;;Russia;;WPC;WPC;2011-11-25;Russia;NVS;Novosibirsk;Asian Cup
Aleksandr Filimonov;M;SBD;Multi-ply;22.5;20-23;19-23;Pro Juniors 20-23;107.05;110;-300;-300;300;;300;180;190;200;;200;220;240;260;;260;760;1;454.85;451.15;430.91;77.01;;Russia;;WPC-RUS;WPC;2010-04-29;Russia;NVS;Novosibirsk;Siberian Bear
Aleksandr Filimonov;M;SBD;Multi-ply;21.5;20-23;19-23;Pro Juniors 20-23;99.8;100;240;250;-270;;250;175;182.5;187.5;;187.5;230;240;-250;;240;677.5;1;417.37;412.65;394.14;70.92;;Russia;;WPC-RUS;WPC;2009-10-02;Russia;SVE;Yekaterinburg;Golden Tiger
Aleksandr Filimonov;M;B;Multi-ply;21.5;20-23;19-23;Pro Juniors 20-23;100;100;;;;;;-180;180;192.5;;192.5;;;;;;192.5;1;118.49;117.15;111.89;61.20;;Russia;;WPC-RUS;WPC;2009-10-02;Russia;SVE;Yekaterinburg;Golden Tiger
