Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Gagolin;M;B;Raw;34;24-34;24-39;Open;81.9;82.5;;;;;;190;197.5;-205;;197.5;;;;;;197.5;1;134.34;132.89;127.91;99.88;;Kazakhstan;;WRPF;WRPF;2022-05-14;Kazakhstan;;Almaty;Asian Championships
Aleksandr Gagolin;M;B;Unlimited;34;24-34;24-39;M_OEM_WPC;78.3;82.5;;;;;;310;-330;-330;;310;;;;;;310;1;216.52;214.57;206.94;115.25;;Kazakhstan;;WPC;WPC;2021-11-12;Kyrgyzstan;;Bishkek;World Cup
Aleksandr Gagolin;M;B;Raw;34;24-34;24-39;M_OR_WPC;78.3;82.5;;;;;;182.5;197.5;200;;200;;;;;;200;1;139.69;138.43;133.51;103.53;;Kazakhstan;;WPC;WPC;2021-11-12;Kyrgyzstan;;Bishkek;World Cup
Aleksandr Gagolin;M;B;Raw;34;24-34;24-39;Open;82.2;82.5;;;;;;190;200;202.5;;202.5;;;;;;202.5;1;137.46;135.95;130.84;102.22;;Kazakhstan;;WRPF-KAZ;WRPF;2021-10-23;Kazakhstan;;Almaty;Kazakhstan Championships
Aleksandr Gagolin;M;B;Raw;33;24-34;24-39;Open;79.1;82.5;;;;;;192.5;-200;-207.5;;192.5;;;;;;192.5;1;133.63;132.37;127.61;99.12;;Kazakhstan;;WRPF;WRPF;2021-05-22;Kazakhstan;;Almaty;Asian Championships
Aleksandr Gagolin;M;B;Raw;32;24-34;24-39;Pro Open;82;82.5;;;;;;180;195;-200;;195;;;;;;195;3;132.55;131.11;126.19;98.56;;Kazakhstan;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksandr Gagolin;M;B;Unlimited;32;24-34;24-39;Pro Open;82;82.5;;;;;;240;260;280;;280;;;;;;280;1;190.33;188.26;181.19;100.53;;Kazakhstan;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksandr Gagolin;M;B;Unlimited;32;24-34;24-39;Open;82.6;;;;;;;320;-340;-350;-360;320;;;;;;320;9;216.62;214.21;206.11;114.29;;Kazakhstan;;RPU;;2019-11-16;Russia;MOW;Dolgoprudny;Rage of the Elements III
Aleksandr Gagolin;M;B;Unlimited;31;24-34;24-39;M_OEM_WPC;80.7;82.5;;;;;;330;-340;350;;350;;;;;;350;1;240.11;237.64;228.89;127.15;;Kazakhstan;;WPC;WPC;2019-06-21;Kyrgyzstan;;Bishkek;Central Asian Championships
Aleksandr Gagolin;M;B;Unlimited;31;24-34;24-39;M_OEM_WPC;80.8;82.5;;;;;;360;-370;;;360;;;;;;360;1;246.79;244.25;235.23;130.66;;Kazakhstan;;WPC;WPC;2019-06-21;Kyrgyzstan;;Bishkek;Central Asian Championships
Aleksandr Gagolin;M;B;Raw;31;24-34;24-39;O;81.9;82.5;;;;;;180;190;195;;195;;;;;;195;1;132.64;131.21;126.29;98.62;;Kazakhstan;;WPC-KAZ;WPC;2019-05-04;Kazakhstan;;;Kazakhstan Championships
Aleksandr Gagolin;M;B;Multi-ply;31;24-34;24-39;O;82.4;;;;;;;300;312.5;325;;325;;;;;;325;1;220.30;217.88;209.65;116.28;;Kazakhstan;;WPC-KGZ;WPC;2019-03-16;Kyrgyzstan;;Bishkek;Kyrgyzstan Open Championships
Aleksandr Gagolin;M;B;Raw;31;24-34;24-39;Open;74.5;75;;;;;;185;190;-192.5;;190;;;;;;190;2;136.90;136.02;131.47;100.97;;Kazakhstan;;WRPF;WRPF;2018-10-04;Russia;MOW;Moscow;World Championships
Aleksandr Gagolin;M;B;Unlimited;31;24-34;24-39;Open;74.45;75;;;;;;-260;260;;;260;;;;;;260;1;187.41;186.22;179.99;100.72;;Kazakhstan;;WRPF;WRPF;2018-10-04;Russia;MOW;Moscow;World Championships
Aleksandr Gagolin;M;B;Unlimited;31;24-34;24-39;Open;74.45;75;;;;;;270;290;300;;300;;;;;;300;1;216.25;214.87;207.68;116.22;;Kazakhstan;;WRPF;WRPF;2018-10-04;Russia;MOW;Moscow;World Championships
Aleksandr Gagolin;M;B;Raw;31;24-34;24-39;Open;79.5;82.5;;;;;;185;190;-195;;190;;;;;;190;1;131.50;130.23;125.51;97.58;;Kazakhstan;;WRPF-KAZ;WRPF;2018-09-15;Kazakhstan;;;Kazakhstan Championships
Aleksandr Gagolin;M;B;Multi-ply;31;24-34;24-39;Pro Open;74.7;75;;;;;;250;-260;-270;;250;;;;;;250;1;179.82;178.64;172.64;96.57;;Kazakhstan;;WPC;WPC;2018-07-05;Russia;NVS;Novosibirsk;Eastern Europe Championships
Aleksandr Gagolin;M;B;Raw;31;24-34;24-39;Pro Open;74.7;75;;;;;;170;180;-190;;180;;;;;;180;1;129.47;128.62;124.30;95.52;;Kazakhstan;;WPC;WPC;2018-07-05;Russia;NVS;Novosibirsk;Eastern Europe Championships
Aleksandr Gagolin;M;B;Raw;30;24-34;24-39;Open;74.3;75;;;;;;187.5;-190;-190;;187.5;;;;;;187.5;1;135.33;134.49;130.00;99.78;;Kazakhstan;;WRPF;WRPF;2018-05-06;Kazakhstan;;Almaty;Asian Championships
