Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Gruzdov;M;D;Raw;31;24-34;24-39;Pro Open;109;110;;;;;;;;;;;285;305;322.5;;322.5;322.5;1;191.67;190.33;181.86;;;Russia;;WRPF;WRPF;2020-12-19;Russia;CHE;Chelyabinsk;Power of the Urals
Aleksandr Gruzdov;M;SBD;Wraps;29;24-34;24-39;Pro Open;108.7;110;240;255;265;;265;140;-150;150;;150;270;290;305;;305;720;1;428.36;425.29;406.34;87.48;;Russia;;WRPF;WRPF;2018-11-09;Russia;TYU;Tyumen;Tyumen Open Championships
Aleksandr Gruzdov;M;SBD;Wraps;28;24-34;24-39;Pro Open;106;110;230;245;255;;255;135;145;152.5;;152.5;265;285;295;;295;702.5;1;422.07;418.41;399.58;86.35;;Russia;;WRPF;WRPF;2018-06-01;Russia;TYU;Tyumen;Siberian Force
Aleksandr Gruzdov;M;SBD;Wraps;26;24-34;24-39;Amateur Open;99.5;100;200;215;225;;225;125;135;140;;140;250;270;-280;;270;635;2;391.70;387.23;369.88;80.41;;Russia;;WRPF;WRPF;2016-08-26;Russia;TYU;Tyumen;Russian Championships
Aleksandr Gruzdov;M;D;Raw;26;24-34;24-39;Pro Open;104.9;110;;;;;;;;;;;270;285;295;;295;295;1;177.98;176.34;168.38;;;Russia;;WPC-RUS;WPC;2016-02-12;Russia;CHE;Chelyabinsk;Belarus Powerlifting Championships
Aleksandr Gruzdov;M;D;Multi-ply;26;24-34;24-39;Pro Open;107.2;110;;;;;;;;;;;280;-290;;;280;280;2;167.48;166.14;158.69;;;Russia;;NAP;IPA;2015-10-16;Russia;SVE;Ekaterinbourg;Golden Tiger 9
Aleksandr Gruzdov;M;D;Raw;25;24-34;24-39;Pro Open;104.7;110;;;;;;;;;;;250;270;280;;280;280;2;169.06;167.48;159.93;;;Russia;;WPC;WPC;2015-07-17;Russia;CHE;Chelyabinsk;Asian Championships
Aleksandr Gruzdov;M;D;Raw;25;24-34;24-39;Pro Open;97.6;100;;;;;;;;;;;230;250;-262.5;;250;250;2;155.54;153.68;146.85;;;Russia;;WPC-RUS;WPC;2015-02-14;Russia;CHE;Chelyabinsk;Ural Federal District Championships
Aleksandr Gruzdov;M;D;Raw;25;24-34;24-39;Pro Open;100.7;110;;;;;;;;;;;230;250;270;;270;270;1;165.69;163.87;156.49;;;Russia;;WPC-RUS;WPC;2014-12-27;Russia;KGN;Kurgan;Kurgan New Year Bench Press & Deadlift cup
Aleksandr Gruzdov;M;D;Raw;25;24-34;24-39;Pro Open;100;100;;;;;;;;;;;260;277.5;285;;285;285;1;175.42;173.45;165.66;;;Russia;;WPC-RUS;WPC;2014-11-28;Russia;CHE;Chelyabinsk;Tankograd Cup
Aleksandr Gruzdov;M;D;Raw;25;24-34;24-39;Pro Open;100;100;;;;;;;;;;;260;277.5;285;;285;285;2;175.42;173.45;165.66;;;Russia;;WPC-RUS;WPC;2014-11-28;Russia;CHE;Chelyabinsk;Tankograd Cup
Aleksandr Gruzdov;M;D;Raw;24;24-34;24-39;Pro Open;104.3;110;;;;;;;;;;;250;270;-285;;270;270;2;163.28;161.72;154.42;;;Russia;;WPC-RUS;WPC;2014-07-12;Russia;;;Ural Cup
Aleksandr Gruzdov;M;D;Multi-ply;24;24-34;24-39;Pro Open;105.5;110;;;;;;;;;;;240;255;270;;270;270;1;162.53;161.07;153.82;;;Russia;;WPC-RUS;WPC;2014-05-24;Russia;KGN;Kurgan;Kurgan Region Bench Press and Deadlift Cup
Aleksandr Gruzdov;M;D;Raw;24;24-34;24-39;Pro Open;103.9;110;;;;;;;;;;;250;270;-285;;270;;DQ;;;;;;Russia;;WPC-RUS;WPC;2013-10-16;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Championships
