Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Gushchin;M;SBD;Wraps;31;24-34;24-39;Pro Open;86.5;90;-230;230;-240;;230;150;-155;-155;;150;220;-230;-232.5;;220;600;1;396.01;391.16;375.56;81.35;;;;WRPF;WRPF;2022-04-30;Russia;KIR;Kirov;Philip Obukhov Cup
Aleksandr Gushchin;M;SBD;Wraps;31;24-34;24-39;Pro Open;87.7;90;230;240;-245;;240;150;155;160;;160;220;230;-235;;230;630;2;412.80;407.66;391.15;84.83;;;;WRPF;WRPF;2021-11-13;Russia;KIR;Kirov;Andrey Belyaev Cup
Aleksandr Gushchin;M;B;Raw;30;24-34;24-39;Pro Open;86.45;90;;;;;;150;157.5;-160;;157.5;;;;;;157.5;1;103.98;102.71;98.62;77.49;;;;NAP;IPA;2021-06-26;Russia;KIR;Kirov;Vyatka Heat
Aleksandr Gushchin;M;SBD;Wraps;30;24-34;24-39;Pro Open;82.3;82.5;220;230;237.5;;237.5;147.5;152.5;155;;155;215;-230;-230;;215;607.5;2;412.08;407.56;392.20;84.46;;;;WRPF;WRPF;2021-04-10;Russia;KIR;Kirov;Living Steel
Aleksandr Gushchin;M;B;Raw;30;24-34;24-39;Pro Open;81.7;82.5;;;;;;150;-155;-155;;150;;;;;;150;1;102.17;101.08;97.30;75.96;;;;WRPF;WRPF;2020-09-12;Russia;KIR;Kirov;Andrey Belyaev Cup
Aleksandr Gushchin;M;SBD;Wraps;30;24-34;24-39;Pro Open;81.7;82.5;210;220;-225;;220;150;-155;-155;;150;210;220;-230;;220;590;1;401.89;397.58;382.72;82.33;;;;WRPF;WRPF;2020-09-12;Russia;KIR;Kirov;Andrey Belyaev Cup
Aleksandr Gushchin;M;SBD;Wraps;29;24-34;24-39;Pro Open;80;82.5;190;200;205;;205;140;145;-147.5;;145;202.5;210;-215;;210;560;1;386.15;382.31;368.37;78.98;;;;WRPF;WRPF;2019-09-14;Russia;;Kirov;Kirov Championships
Aleksandr Gushchin;M;B;Raw;28;24-34;24-39;Pro Open;79.1;82.5;;;;;;135;-142.5;-142.5;;135;;;;;;135;2;93.72;92.83;89.49;69.52;;;;NAP;IPA;2019-04-27;Russia;KIR;Omutninsk;Omutninsk District Championships
Aleksandr Gushchin;M;B;Raw;28;24-34;24-39;Open;79.3;82.5;;;;;;135;140;142.5;;142.5;;;;;;142.5;4;98.77;97.83;94.30;73.28;;;;WRPF;WRPF;2019-03-30;Russia;KIR;Kirov;Andrey Belyaev Cup
Aleksandr Gushchin;M;B;Raw;28;24-34;24-39;Pro Open;78.45;82.5;;;;;;135;-140;140;;140;;;;;;140;1;97.67;96.78;93.33;72.40;;;;NAP;IPA;2019-02-23;Russia;KIR;Kirov;Volga Federal District Cup
Aleksandr Gushchin;M;B;Raw;28;24-34;24-39;Amateur Open;78.3;82.5;;;;;;130;135;-140;;135;;;;;;135;2;94.29;93.44;90.12;69.89;Yes;;;NAP;IPA;2018-08-11;Russia;KIR;Kirov;Kirov Oblast Championships
