Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Isaev;M;SBD;Raw;31.5;24-34;24-39;Open;103.75;105;;;;;270;;;;;180;;;;;300;750;7;454.53;450.08;429.76;93.12;Yes;Russia;;FPR;IPF;2022-03-02;Russia;TUL;Tula;Russian Classic Powerlifting Championships
Aleksandr Isaev;M;SBD;Raw;30.5;24-34;24-39;Open;104.35;105;;;;;285;;;;;185;;;;;300;770;2;465.55;461.13;440.32;95.34;Yes;Russia;;FPR;IPF;2021-03-05;Russia;MOW;Moscow;Moscow City Classic Powerlifting Championships
Aleksandr Isaev;M;SBD;Raw;28.5;24-34;24-39;Open;102.2;105;;;;;280;;;;;170;;;;;290;740;4;451.28;446.56;426.42;92.53;Yes;Russia;;FPR;IPF;2019-12-18;Russia;KDA;Krasnodar;South and North Caucasus Powerlifting Championships
Aleksandr Isaev;M;SBD;Raw;27.5;24-34;24-39;Open;104.15;105;;;;;275;;;;;175;;;;;300;750;2;453.82;449.46;429.17;92.95;Yes;Russia;;FPR;IPF;2018-12-06;Russia;STA;Kislovodsk;South & North Caucasus Classic Powerlifting Championships
Aleksandr Isaev;M;B;Single-ply;30.5;24-34;24-39;Open;72.15;74;;;;;;170;180;190;;190;;;;;;190;3;139.81;139.19;134.71;75.65;Yes;Russia;;FPR;IPF;2018-06-08;Russia;NIZ;Gorodets;ZMS Maxim Guryanov Bench Press Championships
Aleksandr Isaev;M;SBD;Raw;27.5;24-34;24-39;Open;103.85;105;;;;;270;;;;;170;;;;;285;725;6;439.21;434.93;415.29;89.97;Yes;Russia;;FPR;IPF;2018-04-29;Russia;MOW;Moscow;Moscow Lights Tournament
Aleksandr Isaev;M;SBD;Wraps;27;24-34;24-39;Pro Open;99.1;100;280;300;-310;;300;160;-175;-175;;160;280;300;-310;;300;760;1;469.64;464.22;443.45;96.42;;Russia;;WPC;WPC;2017-10-01;Russia;ROS;Rostov-on-Don;Eurasian Cup
Aleksandr Isaev;M;SBD;Single-ply;29;24-34;24-39;Pro Open;74.7;75;250;-265;265;;265;200;-212.5;-212.5;;200;210;230;-247.5;;230;695;1;499.89;496.62;479.93;85.61;;Russia;;WPC;WPC;2017-06-04;Russia;MOW;Moscow;Amateur European Championships
Aleksandr Isaev;M;SBD;Raw;25.5;24-34;24-39;Pro Open;100;100;;;;;;;;;;;;;;;;682.5;2;420.09;415.36;396.72;86.22;;Russia;;WPC-RUS;WPC;2016-11-19;Russia;ROS;Rostov-on-Don;CIS Championships
Aleksandr Isaev;M;B;Single-ply;28;24-34;24-39;Pro Open;74.6;75;;;;;;-200;-200;200;;200;;;;;;200;1;143.98;143.05;138.25;77.35;;Russia;;WPC-RUS;WPC;2016-10-22;Russia;TA;Kazan;Open Horizons Tatarstan Cup
Aleksandr Isaev;M;SBD;Wraps;25;24-34;24-39;M-O;97.5;100;210;222.5;235;;235;140;147.5;-152.5;;147.5;240;-260;-260;;240;622.5;3;387.46;382.82;365.83;79.60;;Russia;;GPC-RUS;GPC;2016-03-27;Russia;ROS;Rostov-on-Don;Russian Cup
