Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Isakov;M;D;Raw;19;18-19;19-23;Pro Open;97.7;100;;;;;;;;;;;250;-270;-270;;250;250;2;155.46;153.61;146.79;;;Russia;;WRPF;WRPF;2021-05-16;Russia;AL;Novoaltaisk;Power of Altai
Aleksandr Isakov;M;D;Raw;19;18-19;19-23;Pro Teen;97.7;100;;;;;;;;;;;250;-270;-270;;250;250;1;155.46;153.61;146.79;;;Russia;;WRPF;WRPF;2021-05-16;Russia;AL;Novoaltaisk;Power of Altai
Aleksandr Isakov;M;SBD;Raw;26.5;24-34;24-39;Open;73.8;74;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2019-12-09;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksandr Isakov;M;B;Raw;26;24-34;24-39;Open;67.5;67.5;;;;;;-110;115;122.5;;122.5;;;;;;122.5;1;94.42;94.45;91.68;68.64;;Russia;;RPU;;2019-11-30;Russia;LEN;St. Petersburg;Neva Battle V
Aleksandr Isakov;M;SBD;Raw;26.5;24-34;24-39;Open;73;74;;;;;190;;;;;137.5;;;;;232.5;560;4;408.87;406.76;393.48;82.80;Yes;Russia;;FPR;IPF;2019-10-15;Russia;YAN;Muravlenko;Russian Classic Powerlifting Cup
Aleksandr Isakov;M;SBD;Raw;26.5;24-34;24-39;Open;73.8;74;;;;;185;;;;;137.5;;;;;220;542.5;15;393.27;390.98;378.04;79.76;Yes;Russia;;FPR;IPF;2019-03-03;Russia;MOW;Moscow;Russian Classic Powerlifting Championships
Aleksandr Isakov;M;SBD;Raw;25.5;24-34;24-39;Open;74;74;;;;;182.5;;;;;130;;;;;220;532.5;4;385.34;383.03;370.32;78.18;Yes;Russia;;FPR;IPF;2018-06-07;Russia;KGD;Guryevsk;Siberian Powerlifting Cup
Aleksandr Isakov;M;SBD;Single-ply;23.5;24-34;24-39;Open;73.55;74;;;;;240;;;;;175;;;;;240;655;11;475.88;473.20;457.61;81.49;Yes;Russia;;FPR;IPF;2016-12-07;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksandr Isakov;M;B;Raw;28;24-34;24-39;Pro Open;74.3;75;;;;;;-150;150;-160;;150;;;;;;150;3;108.26;107.59;104.00;79.82;;Russia;;WPC;WPC;2016-07-07;Russia;NVS;Novosibirsk;World Cup
Aleksandr Isakov;M;B;Raw;27.5;24-34;24-39;Open;73.25;74;;;;;;137.5;145;-150;;145;;;;;;145;2;105.63;105.06;101.62;77.75;Yes;Russia;;FPR;IPF;2016-05-07;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Isakov;M;SBD;Single-ply;20.5;20-23;19-23;Open;72.8;74;;;;;245;;;;;145;;;;;230;620;3;453.50;451.24;436.56;77.66;Yes;Russia;;FPR;IPF;2013-05-15;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Championships
Aleksandr Isakov;M;B;Single-ply;20.5;20-23;19-23;Juniors;73.05;74;;;;;;150;-157.5;-162.5;;150;;;;;;150;3;109.47;108.90;105.34;59.07;Yes;Russia;;FPR;IPF;2013-02-10;Russia;KEM;Kemerovo;Siberian Juniors & Sub-Juniors Bench Press Championships
Aleksandr Isakov;M;SBD;Single-ply;19.5;20-23;19-23;Open;72.25;74;;;;;232.5;;;;;137.5;;;;;225;595;7;437.42;435.44;421.42;74.90;Yes;Russia;;FPR;IPF;2012-05-17;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Powerlifting Championships
Aleksandr Isakov;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;71.8;74;;;;;230;;;;;137.5;;;;;227.5;595;6;439.25;437.45;423.47;75.21;Yes;Russia;;FPR;IPF;2012-02-10;Russia;KEM;Leninsk-Kuznetskiy;Siberian Juniors & Students Powerlifting Championships
Aleksandr Isakov;M;SBD;Single-ply;18.5;18-19;19-23;Open;68.7;74;-210;-210;210;;210;110;117.5;-120;;117.5;-205;205;;;205;532.5;14;405.28;404.88;392.70;69.35;Yes;Russia;;FPR;IPF;2011-05-18;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Championships
Aleksandr Isakov;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;60;60;;;;;185;;;;;100;;;;;190;475;3;400.92;405.12;395.60;68.27;Yes;Russia;;FPR;IPF;2010-05-10;Russia;NVS;Berdsk;Siberian Sub-Juniors Powerlifting Championships
Aleksandr Isakov;M;SBD;Single-ply;17.5;18-19;14-18;Juniors;60;60;;;;;170;;;;;97.5;;;;;180;447.5;7;377.71;381.66;372.70;64.31;Yes;Russia;;FPR;IPF;2010-03-25;Russia;KEM;Belovo;Siberian Juniors & Students Bench Press Championships
