Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Kadzaev;M;SBD;Raw;31.5;24-34;24-39;Open;104.05;105;;;;;287.5;;;;;170;;;;;320;777.5;5;470.64;466.10;445.06;96.40;Yes;Russia;;FPR;IPF;2022-03-02;Russia;TUL;Tula;Russian Classic Powerlifting Championships
Aleksandr Kadzaev;M;SBD;Raw;30.5;24-34;24-39;Open;104.6;105;;;;;280;;;;;167.5;;;;;315;762.5;8;460.57;456.25;435.66;94.31;Yes;Russia;;FPR;IPF;2021-05-19;Russia;VLA;Suzdal;Russian Classic Powerlifting Championships
Aleksandr Kadzaev;M;SBD;Raw;30.5;24-34;24-39;Open;103.55;105;;;;;265;;;;;160;;;;;300;725;2;439.73;435.39;415.73;90.09;Yes;Russia;;FPR;IPF;2021-04-02;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksandr Kadzaev;M;SBD;Raw;29.5;24-34;24-39;Open;104.95;105;;;;;267.5;;;;;167.5;;;;;310;745;4;449.39;445.25;425.17;92.00;Yes;Russia;;FPR;IPF;2020-12-18;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksandr Kadzaev;M;SBD;Raw;29.5;24-34;24-39;Open;104.9;105;;;;;270;;;;;172.5;;;;;315;757.5;6;457.02;452.80;432.38;93.57;Yes;Russia;;FPR;IPF;2020-03-18;Russia;ARK;Arkhangelsk;Russian Classic Powerlifting Championships
Aleksandr Kadzaev;M;SBD;Raw;28.5;24-34;24-39;Open;103.1;105;;;;;255;;;;;170;;;;;300;725;2;440.52;436.08;416.39;90.28;Yes;Russia;;FPR;IPF;2019-12-20;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksandr Kadzaev;M;SBD;Raw;28.5;24-34;24-39;Open;103.8;105;;;;;275;;;;;167.5;;;;;312.5;755;5;457.47;453.01;432.55;93.72;Yes;Russia;;FPR;IPF;2019-05-26;Russia;LEN;St. Petersburg;White Nights
Aleksandr Kadzaev;M;SBD;Raw;28.5;24-34;24-39;Open;104.25;105;;;;;272.5;;;;;170;;;;;300;742.5;4;449.10;444.81;424.73;91.98;Yes;Russia;;FPR;IPF;2019-03-03;Russia;MOW;Moscow;Russian Classic Powerlifting Championships
Aleksandr Kadzaev;M;SBD;Raw;27.5;24-34;24-39;Open;104.05;105;;;;;270;;;;;165;;;;;302.5;737.5;1;446.43;442.12;422.16;91.44;Yes;Russia;;FPR;IPF;2018-12-23;Russia;MUR;Murmansk;Northwestern District Powerlifting Championships
Aleksandr Kadzaev;M;SBD;Raw;27.5;24-34;24-39;Open;105;105;;;;;265;;;;;167.5;;;;;297.5;730;1;440.26;436.21;416.54;90.13;Yes;Russia;;FPR;IPF;2018-11-02;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksandr Kadzaev;M;B;Raw;27.5;24-34;24-39;Open;104.35;105;;;;;;150;160;-167.5;;160;;;;;;160;6;96.74;95.82;91.49;71.85;Yes;Russia;;FPR;IPF;2018-10-06;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Kadzaev;M;SBD;Raw;27.5;24-34;24-39;Open;102.7;105;;;;;260;;;;;165;;;;;295;720;1;438.19;433.70;414.12;89.82;Yes;Russia;;FPR;IPF;2018-03-31;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksandr Kadzaev;M;SBD;Raw;26.5;24-34;24-39;Open;102.6;105;;;;;235;;;;;157.5;;;;;270;662.5;8;403.36;399.21;381.19;82.68;Yes;Russia;;FPR;IPF;2017-11-10;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
