Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Khmara;M;B;Raw;47.5;45-49;40-49;Masters 1;81.6;83;;;;;;105;115;-122.5;;115;;;;;;115;3;78.39;77.55;74.66;58.27;Yes;;;FPR;IPF;2020-11-06;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Khmara;M;B;Raw;47.5;45-49;40-49;Masters 1;81.65;83;;;;;;110;117.5;-122.5;;117.5;;;;;;117.5;7;80.07;79.21;76.25;59.52;Yes;;;FPR;IPF;2020-02-22;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Khmara;M;B;Raw;47.5;45-49;40-49;Masters 1;81.05;83;;;;;;110;120;-125;;120;;;;;;120;6;82.12;81.26;78.25;61.02;Yes;;;FPR;IPF;2020-02-15;Russia;MOW;Moscow;Russian Masters Bench Press Championships
Aleksandr Khmara;M;B;Raw;46.5;45-49;40-49;Masters 1;81.8;83;;;;;;115;-122.5;-122.5;;115;;;;;;115;4;78.28;77.44;74.54;58.20;Yes;;;FPR;IPF;2019-10-12;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Khmara;M;B;Raw;46.5;45-49;40-49;Masters 1;80.3;83;;;;;;110;115;120;;120;;;;;;120;3;82.56;81.73;78.74;61.31;Yes;;;FPR;IPF;2019-02-23;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Khmara;M;B;Raw;46.5;45-49;40-49;Masters 1;80.15;83;;;;;;110;117.5;-122.5;;117.5;;;;;;117.5;5;80.93;80.12;77.19;60.09;Yes;;;FPR;IPF;2019-02-18;Russia;SVE;Yekaterinburg;Russian Classic Bench Press Championships
Aleksandr Khmara;M;B;Raw;45.5;45-49;40-49;Masters 1;79.2;83;;;;;;105;112.5;-115;;112.5;;;;;;112.5;1;78.04;77.30;74.51;57.89;Yes;;;FPR;IPF;2018-10-06;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Khmara;M;B;Single-ply;45.5;45-49;40-49;Masters 1;77.35;83;;;;;;-105;-110;110;;110;;;;;;110;2;77.40;76.75;74.06;41.29;Yes;;;FPR;IPF;2018-02-24;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksandr Khmara;M;B;Raw;44.5;40-44;40-49;Masters 1;72.4;74;;;;;;100;105;110;;110;;;;;;110;1;80.75;80.38;77.78;59.35;Yes;;;FPR;IPF;2017-09-30;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Khmara;M;B;Raw;44.5;40-44;40-49;Masters 1;71.95;74;;;;;;100;107.5;-110;;107.5;;;;;;107.5;5;79.25;78.91;76.39;58.19;Yes;;;FPR;IPF;2017-08-11;Russia;NIZ;Kstovo;Russia Masters Bench Press Championships
Aleksandr Khmara;M;B;Raw;44.5;40-44;40-49;Masters 1;72.25;74;;;;;;90;100;-105;;100;;;;;;100;3;73.52;73.18;70.83;54.01;Yes;;;FPR;IPF;2017-03-03;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
