Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Khromov;M;B;Unlimited;39;35-39;24-39;Amateur Open;107.1;110;;;;;;240;255;-270;;255;;;;;;255;2;152.58;151.35;144.56;78.47;Yes;Russia;;WPC-RUS;WPC;2021-05-01;Russia;PRI;Vladivostok;Russian Championships
Aleksandr Khromov;M;B;Unlimited;37;35-39;24-39;Amateur Open;105.5;110;;;;;;240;260;-282.5;;260;;;;;;260;2;156.51;155.11;148.12;80.55;Yes;Russia;;WPC;WPC;2019-10-05;Russia;AMU;Blagoveshchensk;World Cup
Aleksandr Khromov;M;B;Unlimited;36;35-39;24-39;Pro Open;105.5;110;;;;;;230;-242.5;242.5;;242.5;;;;;;242.5;1;145.97;144.67;138.15;75.13;;Russia;;WPC;WPC;2018-07-20;Russia;AMU;Blagoveshchensk;Asian Cup
Aleksandr Khromov;M;B;Unlimited;35;35-39;24-39;Open;106;110;;;;;;220;-235;-242.5;;220;;;;;;220;3;132.18;131.03;125.13;68.02;;Russia;;WPA-RUS;WPA;2018-01-12;Russia;KHA;Khabarovsk;CIS Championships
Aleksandr Khromov;M;B;Raw;35;35-39;24-39;Pro Open;105.2;110;;;;;;150;-160;-160;;150;;;;;;150;2;90.40;89.57;85.54;67.11;;Russia;;WPC-RUS;WPC;2017-10-21;Russia;PRI;Nahodka;Nahodka Open Cup
Aleksandr Khromov;M;B;Single-ply;35;35-39;24-39;Pro Open;105.2;110;;;;;;180;200;220;;220;;;;;;220;1;132.58;131.37;125.45;68.25;;Russia;;WPC-RUS;WPC;2017-10-21;Russia;PRI;Nahodka;Nahodka Open Cup
Aleksandr Khromov;M;D;Raw;35;35-39;24-39;Amateur Open;98.6;100;;;;;;;;;;;-215;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2017-04-29;Russia;PRI;Vladivostok;Far East Championship
Aleksandr Khromov;M;B;Raw;35;35-39;24-39;Amateur Open;98.6;100;;;;;;-162.5;;-162.5;;;;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2017-04-29;Russia;PRI;Vladivostok;Far East Championship
Aleksandr Khromov;M;D;Raw;34;24-34;24-39;Amateur Open;99.8;100;;;;;;;;;;;200;210;215;;215;215;3;132.45;130.95;125.08;;Yes;Russia;;WPC;WPC;2016-07-30;Russia;AMU;Blagoveshchensk;Asian Cup
Aleksandr Khromov;M;B;Raw;34;24-34;24-39;Amateur Open;99.8;100;;;;;;155;-162.5;-162.5;;155;;;;;;155;5;95.49;94.41;90.17;71.08;Yes;Russia;;WPC;WPC;2016-07-30;Russia;AMU;Blagoveshchensk;Asian Cup
Aleksandr Khromov;M;B;Raw;33;24-34;24-39;Amateur Open;101.8;110;;;;;;145;;-152.5;;145;;;;;;145;3;88.57;87.63;83.68;65.87;Yes;Russia;;WPC;WPC;2015-08-01;Russia;AMU;Blagoveschensk;East Asian Championships
Aleksandr Khromov;M;B;Raw;33;24-34;24-39;Pro Open;101;110;;;;;;142.5;147.5;150;;150;;;;;;150;5;91.93;90.93;86.84;68.40;;Russia;;WPC-RUS;WPC;2015-05-09;Russia;PRI;Nakhodka;Nakhodka 65 Anniversary Cup
