Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Kim;M;D;Raw;33;24-34;24-39;Open;74.8;75;;;;;;;;;;;205;-215;215;;215;215;1;154.51;153.49;148.32;;;;;RPU;;2021-07-31;Russia;MOW;Moscow;Restart Gym Cup
Aleksandr Kim;M;SBD;Wraps;;;;O;89.5;;210;220;230;;230;160;170;-180;;170;240;-250;250;;250;650;3;421.48;416.14;398.93;86.65;;Kyrgyzstan;;WPC-KGZ;WPC;2019-03-16;Kyrgyzstan;;Bishkek;Kyrgyzstan Open Championships
Aleksandr Kim;M;SBD;Raw;30.5;24-34;24-39;Open;127.3;120+;;;;;272.5;;;;;182.5;;;;;300;755;2;425.47;428.69;409.98;85.57;Yes;;;KPF;IPF;2016-04-02;Kazakhstan;;Almaty;Kazakhstan Classic Powerlifting Cup
Aleksandr Kim;M;D;Single-ply;32;24-34;24-39;Amateur Open;66.1;67.5;;;;;;;;;;;170;-200;207.5;;207.5;207.5;1;162.40;162.73;158.11;;Yes;Russia;;WPC;WPC;2014-07-03;Russia;NVS;Novosibirsk;World Cup
Aleksandr Kim;M;B;Single-ply;32;24-34;24-39;Amateur Open;66.1;67.5;;;;;;115;130;137.5;;137.5;;;;;;137.5;1;107.61;107.83;104.77;59.56;Yes;Russia;;WPC;WPC;2014-07-03;Russia;NVS;Novosibirsk;World Cup
Aleksandr Kim;M;SBD;Single-ply;32;24-34;24-39;Amateur Open;66.1;67.5;150;180;190;;190;115;125;130;;130;170;190;200;;200;520;1;406.98;407.79;396.23;69.58;Yes;Russia;;WPC;WPC;2014-07-03;Russia;NVS;Novosibirsk;World Cup
Aleksandr Kim;M;D;Raw;32;24-34;24-39;Amateur Open;66.1;67.5;;;;;;;;;;;170;195;-205;;195;195;1;152.62;152.92;148.59;;Yes;Russia;;WPC;WPC;2014-07-03;Russia;NVS;Novosibirsk;World Cup
Aleksandr Kim;M;SBD;Raw;27.5;24-34;24-39;Open;132.1;120+;;;;;332.5;;;;;217.5;;;;;367.5;917.5;1;511.29;517.48;493.84;102.39;Yes;;;KPF;IPF;2013-04-25;Kazakhstan;;Shymkent;Kazakhstan Classic Powerlifting and Bench Press Championships
Aleksandr Kim;M;SBD;Single-ply;26.5;24-34;24-39;Open;120.5;120+;310;322.5;-330;;322.5;180;190;-195;;190;300;-315;-315;;300;812.5;3;465.98;466.68;447.20;78.40;Yes;;;KPF;IPF;2012-03-26;Kazakhstan;;Taldykorgan;Republic Kazakhstan Powerlifting Cup
Aleksandr Kim;M;B;Multi-ply;30;24-34;24-39;Pro Open;63.5;67.5;;;;;;110;115;120;;120;;;;;;120;1;96.81;97.33;94.76;54.26;;;;WPC-RUS;WPC;2011-12-09;Russia;PRI;Vladivostok;Far East Championships
Aleksandr Kim;M;SBD;Single-ply;21.5;20-23;19-23;Open;67.5;67.5;180;200;-210;;200;100;;;;100;190;210;;;210;510;5;393.08;393.22;381.69;67.24;Yes;;;FPR;IPF;2003-01-17;Russia;PRI;Vladivostok;Far East Powerlifting Championships
Aleksandr Kim;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;59.4;60;205;-215;-215;;205;-130;130;135;;135;190;210;-230;;210;550;5;468.09;473.43;462.57;79.66;Yes;Russia;;FPR;IPF;2001-03-22;Russia;KEM;Kemerovo;Russian Juniors Powerlifting Championships
