Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Klepikov;M;SBD;Raw;46.5;45-49;40-49;Open;80.7;83;;;;;180;;;;;140;;;;;252.5;572.5;7;392.75;388.72;374.40;80.39;Yes;Russia;;FPR;IPF;2021-10-17;Russia;MUR;Murmansk;Russian Powerlifting Cup
Aleksandr Klepikov;M;SBD;Raw;46.5;45-49;40-49;Open;82.2;83;;;;;175;;;;;147.5;;;;;252.5;575;1;390.31;386.04;371.51;79.99;Yes;Russia;;FPR;IPF;2021-04-09;Russia;MUR;Murmansk;Murmansk Oblast Powerlifting Championships
Aleksandr Klepikov;M;SBD;Raw;44.5;40-44;40-49;Open;83;83;;;;;175;;;;;150;;;;;242.5;567.5;2;383.11;378.81;364.39;78.56;Yes;Russia;;FPR;IPF;2019-11-10;Russia;MUR;Murmansk;Murmansk Powerlifting Cup
Aleksandr Klepikov;M;B;Raw;44.5;40-44;40-49;Open;79.3;83;;;;;;132.5;-140;;;132.5;;;;;;132.5;5;91.84;90.96;87.68;68.14;Yes;Russia;;FPR;IPF;2019-05-05;Russia;MUR;Murmansk;Murmansk Oblast Bench Press Championships
Aleksandr Klepikov;M;SBD;Raw;44.5;40-44;40-49;Open;79.8;83;;;;;170;;;;;147.5;;;;;237.5;555;2;383.26;379.50;365.70;78.38;Yes;Russia;;FPR;IPF;2019-04-26;Russia;MUR;Murmansk;Murmansk Oblast Powerlifting Championships
Aleksandr Klepikov;M;SBD;Raw;43.5;40-44;40-49;Open;81.4;83;;;;;175;;;;;-155;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2018-12-23;Russia;MUR;Murmansk;Northwestern District Powerlifting Championships
Aleksandr Klepikov;M;B;Raw;43.5;40-44;40-49;Open;79.45;83;;;;;;142.5;152.5;-155;;152.5;;;;;;152.5;4;105.59;104.57;100.79;78.35;Yes;Russia;;FPR;IPF;2018-05-09;Russia;MUR;Murmansk;Murmansk Oblast Bench Press Championships
Aleksandr Klepikov;M;SBD;Raw;43.5;40-44;40-49;Open;79.95;83;;;;;180;;;;;155;;;;;235;570;4;393.19;389.29;375.11;80.42;Yes;Russia;;FPR;IPF;2018-04-21;Russia;MUR;Murmansk;Murmansk Oblast Powerlifting Championships
Aleksandr Klepikov;M;B;Raw;42.5;40-44;40-49;Open;81.8;83;;;;;;142.5;152.5;155;;155;;;;;;155;2;105.51;104.37;100.46;78.44;Yes;Russia;;FPR;IPF;2017-05-14;Russia;MUR;Murmansk;Murmansk Oblast Classic Bench Press Championships
Aleksandr Klepikov;M;B;Raw;40.5;40-44;40-49;Open;85.7;93;;;;;;155;162.5;-167.5;;162.5;;;;;;162.5;1;107.79;106.49;102.28;80.30;Yes;Russia;;FPR;IPF;2015-05-02;Russia;MUR;Murmansk;Murmansk Oblast Classic Bench Press Championships
Aleksandr Klepikov;M;SBD;Raw;39.5;35-39;40-49;Open;85.15;93;;;;;177.5;;;;;155;;;;;230;562.5;4;374.41;369.95;355.45;76.87;Yes;Russia;;FPR;IPF;2014-12-08;Russia;MUR;Murmansk;Northwestern District Powerlifting Championships
Aleksandr Klepikov;M;SBD;Single-ply;39.5;35-39;40-49;Open;87.3;93;175;190;195;;195;155;165;-175;;165;235;250;255;;255;615;4;403.94;398.93;382.86;69.00;Yes;Russia;;FPR;IPF;2014-05-10;Russia;MUR;Murmansk;Murmansk Oblast Powerlifting Championships
Aleksandr Klepikov;M;SBD;Single-ply;38.5;35-39;24-39;Open;84.5;93;170;180;187.5;;187.5;142.5;152.5;-160;;152.5;235;-245;-245;;235;575;7;384.33;379.82;365.06;65.72;Yes;Russia;;FPR;IPF;2013-11-23;Russia;MUR;Murmansk;Murmansk Powerlifting Cup
